title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Giá Treo Màn Hình LCD Gắn Bàn NB J7 Hồng LED RGB (32"" - 60"") – Hàng Chính Hãng",278994044,tiki,Điện Tử - Điện Lạnh,Âm thanh & Phụ kiện Tivi,Phụ kiện Tivi,https://tiki.vn/product-p278994044.html?spid=278994045,2080000.0,0.0,0,0,T-WOLF,2026-04-29 13:39:25
"Giá Treo Màn Hình LCD Gắn Bàn NB L70 LED RGB (32"" - 60"") – Hàng Chính Hãng",278994036,tiki,Điện Tử - Điện Lạnh,Âm thanh & Phụ kiện Tivi,Phụ kiện Tivi,https://tiki.vn/product-p278994036.html?spid=278994037,2080000.0,0.0,0,0,T-WOLF,2026-04-29 13:39:25
"Giá Treo Hai Màn Hình LCD NB H180 (17"" - 27"") – Hàng Chính Hãng",278973268,tiki,Điện Tử - Điện Lạnh,Âm thanh & Phụ kiện Tivi,Phụ kiện Tivi,https://tiki.vn/product-p278973268.html?spid=278973269,741000.0,0.0,0,0,T-WOLF,2026-04-29 13:39:25
"Giá Treo Hai Màn Hình LCD NB P160 (17"" - 27"") – Hàng Chính Hãng",278973234,tiki,Điện Tử - Điện Lạnh,Âm thanh & Phụ kiện Tivi,Phụ kiện Tivi,https://tiki.vn/product-p278973234.html?spid=278973235,650000.0,0.0,0,0,T-WOLF,2026-04-29 13:39:25
Tivi box Xiaomi Mi Box S EU 4K- Tiếng Việt - Hàng Chính hãng - PFJ4086EU,278930055,tiki,Điện Tử - Điện Lạnh,Âm thanh & Phụ kiện Tivi,"Android TV Box, Smart Box",https://tiki.vn/product-p278930055.html?spid=198955737,1890000.0,0.0,0,7,Xiaomi,2026-04-29 13:39:25
Khung Treo Tivi XOAY P65 Dành Cho Tivi 55 Inch - 85 Inch Tải Trọng 68.2kg - Hàng Nhập Khẩu - Thiết Kế Tay Đòn Kép Tăng Cường Độ Bền - Sơn Tĩnh Điện Bóng Bẩy -Hàng nhập khẩu,278903049,tiki,Điện Tử - Điện Lạnh,Âm thanh & Phụ kiện Tivi,Phụ kiện Tivi,https://tiki.vn/product-p278903049.html?spid=278903050,863880.0,0.0,0,0,Apollo,2026-04-29 13:39:25
Remote Điều khiển dành cho tivi led Darling Smart  - hàng nhập khẩu,278248640,tiki,Điện Tử - Điện Lạnh,Âm thanh & Phụ kiện Tivi,Phụ kiện Tivi,https://tiki.vn/product-p278248640.html?spid=278248641,89000.0,0.0,0,0,Đăng Huấn,2026-04-29 13:39:25
"Khung treo tivi nghiêng D01 Thiết Kế Nghiêng, Chắc Chắn, Phù Hợp Mọi Không Gian - Hàng nhập khẩu",278122288,tiki,Điện Tử - Điện Lạnh,Âm thanh & Phụ kiện Tivi,Phụ kiện Tivi,https://tiki.vn/product-p278122288.html?spid=278122289,194400.0,0.0,0,0,Apollo,2026-04-29 13:39:25
Camera IP Wifi IMOU A42P 4.0MP Giám Sát An Ninh có kèm thẻ nhớ - Hàng Chính Hãng,279279485,tiki,Máy Ảnh - Máy Quay Phim,Camera Giám Sát,Camera IP,https://tiki.vn/product-p279279485.html?spid=162387658,779000.0,0.0,0,4,IMOU,2026-04-29 13:40:14
Camera IP Wifi Trong Nhà EZVIZ C6N 1080p (CS-C6N) - Hàng Chính Hãng,279278362,tiki,Máy Ảnh - Máy Quay Phim,Camera Giám Sát,Camera IP,https://tiki.vn/product-p279278362.html?spid=90684128,538000.0,4.7,3,25,EZVIZ,2026-04-29 13:40:14
"Camera KBVISION KX-S3L-4G dùng SIM 4G quay quét 3MP, đèn kép 30m, báo động đèn/còi, đàm thoại 2 chiều - Hàng chính hãng",278896631,tiki,Máy Ảnh - Máy Quay Phim,Camera Giám Sát,Camera IP,https://tiki.vn/product-p278896631.html?spid=278896633,1155000.0,0.0,0,0,KBVISION,2026-04-29 13:40:14
Camera PT WiFi KABEVISION ống kính cố định quay quét ngoài trời 5MP KX-S5L - Hàng chính hãng,278896156,tiki,Máy Ảnh - Máy Quay Phim,Camera Giám Sát,Camera IP,https://tiki.vn/product-p278896156.html?spid=278896158,1055000.0,0.0,0,0,KBVISION,2026-04-29 13:40:14
"Đầu ghi hình HIKVISION 16 kênh Turbo HD 5 DS-7216HGHI-M1, gán thêm 2 camera IP 5MP, phân biệt người và phương tiện - Hàng chính hãng",278680454,tiki,Máy Ảnh - Máy Quay Phim,Camera Giám Sát,Đầu Ghi Hình Camera,https://tiki.vn/product-p278680454.html?spid=278680456,1098000.0,0.0,0,0,Hikvision,2026-04-29 13:40:14
"Camera Wifi DAHUA DH-H4AE 4M Đàm Thoại Hai Chiều, Công Nghệ Hồng Ngoại Thông Minh và Có Cảnh Báo Chuyển Động - Hàng chính hãng",278668978,tiki,Máy Ảnh - Máy Quay Phim,Camera Giám Sát,Camera IP,https://tiki.vn/product-p278668978.html?spid=278668982,560000.0,0.0,0,1,Dahua,2026-04-29 13:40:14
"Camera IP wifi trong nhà quay quét MEARI S1 Plus 3M, Đàm thoại 2 chiều, phát hiện chuyển động và dáng người, có cổng LAN - Hàng chính hãng",278598254,tiki,Máy Ảnh - Máy Quay Phim,Camera Giám Sát,Camera IP,https://tiki.vn/product-p278598254.html?spid=278598256,417000.0,0.0,0,0,Meari,2026-04-29 13:40:14
"Camera wifi Imou A32EP Phân giải 3M, Hồng ngoại 10m, Đàm thoại 2 chiều, Phát hiện chuyển động, con người, và âm thanh - Hàng chính hãng",278484813,tiki,Máy Ảnh - Máy Quay Phim,Camera Giám Sát,Camera IP,https://tiki.vn/product-p278484813.html?spid=278484815,555000.0,0.0,0,0,IMOU,2026-04-29 13:40:14
"Camera Wifi Ezviz C6N G1 độ phân giải 4k 8MP, Quay quét 360 độ, Phát hiện chuyển động - Hàng chính hãng",278484225,tiki,Máy Ảnh - Máy Quay Phim,Camera Giám Sát,Camera IP,https://tiki.vn/product-p278484225.html?spid=278484227,720000.0,0.0,0,5,EZVIZ,2026-04-29 13:40:14
