title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Chai Xịt côn trùng ARS 600ML diệt muỗi và các loại côn trùng trong 1 lần xịt,2457517867,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cá Nhân,Chống Côn Trùng,https://www.lazada.vn/products/pdp-i2457517867.html,33900,0.0,0,532,No Brand,2026-05-05 21:33:36
"Lắp Cống Ngăn Mùi Hôi , Nắp Đậy Cống Thoát Nước Sàn Nhà Tắm Chống Mùi Hôi Chống Côn Trùng Bằng Đồng",2258108096,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cá Nhân,Chống Côn Trùng,https://www.lazada.vn/products/pdp-i2258108096.html,23000,4.8,960,11900,No Brand,2026-05-05 21:33:36
"Nắp Bịt Cống Chống Côn Trùng Hiệu Quả, Nắp Cống Ngăn Mùi Hôi",2419662109,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cá Nhân,Chống Côn Trùng,https://www.lazada.vn/products/pdp-i2419662109.html,89000,4.9,177,1000,No Brand,2026-05-05 21:33:36
"Lắp Cống Ngăn Mùi Hôi , Nắp Đậy Cống Thoát Nước Sàn Nhà Tắm Chống Mùi Hôi Chống Côn Trùng Bằng Đồng",2861024170,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cá Nhân,Chống Côn Trùng,https://www.lazada.vn/products/pdp-i2861024170.html,22700,4.7,154,1500,No Brand,2026-05-05 21:33:36
[HCM]Võng Mùng 3 Lớp Loại Lớn Dài 2M5 Dày Giữ Ấm Chống Côn Trùng Cắn Đốt Màu Rằn Ri,404498348,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cá Nhân,Chống Côn Trùng,https://www.lazada.vn/products/pdp-i404498348.html,198000,4.6,424,1700,No Brand,2026-05-05 21:33:36
"[FREESHIP] Ống Chặn Mùi Hôi Cống, Phễu Thoát Sàn Chống Hôi Thoát Nước Chắn Côn Trùng Hiệu Quả",1804027538,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cá Nhân,Chống Côn Trùng,https://www.lazada.vn/products/pdp-i1804027538.html,6600,4.9,57,1100,No Brand,2026-05-05 21:33:36
"Ron Dán Chân Cửa 35 Mm, Thanh Chắn Khe Hở Chống Côn Trùng, Giữ Nhiệt Máy Lạnh - HÀNG CÓ SẴN",2017361769,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cá Nhân,Chống Côn Trùng,https://www.lazada.vn/products/pdp-i2017361769.html,16500,4.9,100,1200,No Brand,2026-05-05 21:33:36
"Nắp Cống Ngăn Mùi Hôi, Chất Liệu Nhựa PVC, Nắp Đậy Cống Chống Côn Trùng Chuột Bọ Vào Nhà Hiệu Quả",3070355310,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cá Nhân,Chống Côn Trùng,https://www.lazada.vn/products/pdp-i3070355310.html,70000,4.9,14,91,No Brand,2026-05-05 21:33:36
"Santoso 100SC - Hiệu Con Két Xanh Chai 1 lít - Tên Cũ Vẹt Xanh, Đặc trừ  bướm, ruồi vàng, kiến, muỗi, gián, sâu và côn trùng tổng hợp  ( Mộc Farm",2421848073,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cá Nhân,Chống Côn Trùng,https://www.lazada.vn/products/pdp-i2421848073.html,110000,4.9,48,383,No Brand,2026-05-05 21:33:36
"Mặt Bích Bồn Cầu Cao Cấp - Gioăng Chống Hôi Bồn Cầu, Chống Côn Trùng Và Chặn Nước Rò Rỉ",3194242063,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cá Nhân,Chống Côn Trùng,https://www.lazada.vn/products/pdp-i3194242063.html,81900,4.9,14,126,Couspan,2026-05-05 21:33:36
"Lưới Chắn Cửa Sổ Tự Lắp Đặt, Chống Muỗi, Chống Bụi, Chống Côn Trùng, Chất Liệu Sợi Polyester, Lưới Thay Thế Cho Hộ Gia Đình, Bảo Vệ Khỏi Cát",2750891497,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cá Nhân,Chống Côn Trùng,https://www.lazada.vn/products/pdp-i2750891497.html,142400,5.0,18,80,No Brand,2026-05-05 21:33:36
"Chế Phẩm Sinh Học Radiant 60sc( mẫu mới) Gói 15ml Giúp Diệt Được Nhiều Loại Côn Trùng Hại Cây Trồng, Hoa Kiểng, Rau Màu",2359101121,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cá Nhân,Chống Côn Trùng,https://www.lazada.vn/products/pdp-i2359101121.html,48500,4.7,13,247,No Brand,2026-05-05 21:33:36
