title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Set 50 Miếng Dán Thấm Hút Mồ Hôi Nách Vô Hình, Thấm Hút Giúp Khô Thoáng, Khử Mùi Hiệu Quả Dùng 1 Lần",3092544326,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cá Nhân,Khử Mùi,https://www.lazada.vn/products/pdp-i3092544326.html,35000,0.0,0,234,No Brand,2026-05-05 21:17:59
Lăn khử mùi Old spice cánh buồm đỏ,2391320827,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cá Nhân,Khử Mùi,https://www.lazada.vn/products/pdp-i2391320827.html,46200,0.0,0,31,No Brand,2026-05-05 21:17:59
Xịt khử mùi toàn thân Xmen For Boss,3161172573,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cá Nhân,Khử Mùi,https://www.lazada.vn/products/pdp-i3161172573.html,80000,3.0,2,10,No Brand,2026-05-05 21:17:59
Thảo mộc A Lử cao cấp khử mùi các loại sú cho nam - hàng sin chính hãng,3323181773,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cá Nhân,Khử Mùi,https://www.lazada.vn/products/pdp-i3323181773.html,209148,4.5,19,93,No Brand,2026-05-05 21:17:59
[TĂNG 40% DUNG TÍCH] Combo 2 Lăn khử mùi Xmen Wood 70ml/chai - Hương thơm nam tính,2858456084,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cá Nhân,Khử Mùi,https://www.lazada.vn/products/pdp-i2858456084.html,66000,4.9,116,363,X-men,2026-05-05 21:17:59
Lăn khử mùi đá khoáng Grace Natural Deodorant 70gr Thái Lan,2470409483,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cá Nhân,Khử Mùi,https://www.lazada.vn/products/pdp-i2470409483.html,50500,5.0,65,271,Novolife,2026-05-05 21:17:59
Lăn khử mùi Sáp Old Spice Cánh buồm đỏ Mỹ 85g,3134428877,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cá Nhân,Khử Mùi,https://www.lazada.vn/products/pdp-i3134428877.html,80132,4.4,7,23,No Brand,2026-05-05 21:17:59
Xịt khử mùi Xmen For Boss 150ml đủ màu,2025973409,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cá Nhân,Khử Mùi,https://www.lazada.vn/products/pdp-i2025973409.html,82000,4.9,274,1500,X-men for Boss,2026-05-05 21:17:59
"(S-Xù) Lăn Khử Mùi Dạng Sáp Old Spice Pure Sport Đỏ 85g Khử Mùi Khô Thoáng, Kiềm Mồ hôi , Se Khít Chân Lông hot",13314028377,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cá Nhân,Khử Mùi,https://www.lazada.vn/products/pdp-i13314028377.html,77605,1.0,1,7,No Brand,2026-05-05 21:17:59
Xịt khử mùi DOVE go fresh 150ml,2930732787,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cá Nhân,Khử Mùi,https://www.lazada.vn/products/pdp-i2930732787.html,74000,4.9,36,181,Dove,2026-05-05 21:17:59
