title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Kem tẩy lông vĩnh viễn Xịt tẩy lông 150ml Tẩy lông không đau Tẩy lông nhẹ nhàng,Kem tẩy lông cho mọi loại da, vùng chân, tay, nách và bikini, tẩy lông nhanh không đau",2395063849,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Tẩy Lông,https://www.lazada.vn/products/pdp-i2395063849.html,52210,4.6,58,211,No Brand,2026-05-05 21:59:38
Kem tẩy lông Otou nội địa trung,2812837206,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Tẩy Lông,https://www.lazada.vn/products/pdp-i2812837206.html,25000,4.9,9,42,No Brand,2026-05-05 21:59:38
Voucher Sở hữu lPhone 17 Pro Max 512Gb BASICA 2026 - Hàng Chính Hãng,13378847180,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Tẩy Lông,https://www.lazada.vn/products/pdp-i13378847180.html,33000,5.0,2,0,No Brand,2026-05-05 21:59:38
"Kem tẩy lông OLLIE , tẩy lông vùng kín , nách, tay, chân, triệt lông an toàn không đau rát dung tích 70g",2182146846,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Tẩy Lông,https://www.lazada.vn/products/pdp-i2182146846.html,60000,4.9,2578,10300,OLLIE,2026-05-05 21:59:38
"Kem tẩy lông OTOU chai lớn có thể được sử dụng trên toàn cơ thể để loại bỏ lông môi, lông tay, lông nách, lông chân, giống nhau cho nam và nữ, không đau và không co giãn",3011835713,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Tẩy Lông,https://www.lazada.vn/products/pdp-i3011835713.html,25000,5.0,2,14,No Brand,2026-05-05 21:59:38
"Kem tẩy lông KORMESIC , tẩy lông vùng kín, nách, tay, chân, triệt lông an toàn không đau rát dung tích",2757021050,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Tẩy Lông,https://www.lazada.vn/products/pdp-i2757021050.html,61890,4.6,90,258,No Brand,2026-05-05 21:59:38
Kem Tẩy lông Veet 100ml,2725467634,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Tẩy Lông,https://www.lazada.vn/products/pdp-i2725467634.html,38610,4.3,6,30,No Brand,2026-05-05 21:59:38
Kem tẩy lông HOBEBAR 50g + Gel dưỡng phục hồi 30g chiết xuất thực vật dành cho nam và nữ giúp loại bỏ lông tay chân nách,2415727332,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Tẩy Lông,https://www.lazada.vn/products/pdp-i2415727332.html,59000,4.8,40,133,No Brand,2026-05-05 21:59:38
Kem Tẩy Lông Triệt Lông Nách Triệt Lông Vùng Kín Lông Tay Chân Cơ Thể An Toàn Tại Nhà Sạch An Toàn Không Đau Rát Wax,3109870748,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Tẩy Lông,https://www.lazada.vn/products/pdp-i3109870748.html,62860,4.7,21,77,No Brand,2026-05-05 21:59:38
"Kem tẩy lông chính hãng OLLIE 70g, tẩy lông vùng kín, nách, tay, chân, triệt lông an toàn không đau",3140464096,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Tẩy Lông,https://www.lazada.vn/products/pdp-i3140464096.html,55000,5.0,3,17,OLLIE,2026-05-05 21:59:38
"Kem Tẩy Lông OTOU - OTOU Tẩy Lông Cơ Thể, Nách, Bikini Nhanh Chóng, An Toàn Không Gây Kích Ứng, Đau Rát",2910287273,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Tẩy Lông,https://www.lazada.vn/products/pdp-i2910287273.html,147510,5.0,5,21,No Brand,2026-05-05 21:59:38
"Kem tẩy lông Velvet Nga - triệt lông, tẩy sạch lông trong 5 phút - an toàn cho da",2214625960,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Tẩy Lông,https://www.lazada.vn/products/pdp-i2214625960.html,79000,4.5,6,21,No Brand,2026-05-05 21:59:38
"Kem tẩy lông SADOER , tẩy lông vùng kín , bikini , nách, tay, chân, triệt lông an toàn không đau rát dung tích 150ml",13360207905,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Tẩy Lông,https://www.lazada.vn/products/pdp-i13360207905.html,48000,0.0,0,5,No Brand,2026-05-05 21:59:38
"Kem Tẩy Lông OTOU 100g Không Gây Kích Ứng, Kem Triệt Lông Vùng Nách Tay Chân An Toàn",3152200370,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Tẩy Lông,https://www.lazada.vn/products/pdp-i3152200370.html,120000,3.0,1,0,No Brand,2026-05-05 21:59:38
"Kem Tẩy Lông Vĩnh Viễn Cho Nam Giới,Kem tẩy lông râu,tay,chân,triệt lông an toàn vĩnh viễn không gây kích ứng 60g",2665427460,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Tẩy Lông,https://www.lazada.vn/products/pdp-i2665427460.html,54000,4.3,47,145,No Brand,2026-05-05 21:59:38
Kem tẩy lông vĩnh viến xịt tẩy lông 150 ml tẩy lông không đau tẩy lông nhẹ nhàng tẩy lông sạch sẽ tẩy lông nách lông cánh tay lông chân nhanh chóng an toàn nhẹ nhàng và hiệu quả,2728965340,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Tẩy Lông,https://www.lazada.vn/products/pdp-i2728965340.html,75840,4.7,51,192,No Brand,2026-05-05 21:59:38
"Kem tẩy lông veet 100ml dành cho da nhạy cảm Kem Tẩy Lông Veet 100ml  dưỡng ẩm làm se khít lỗ chân lông, ngăn ngừa mọc lông, an toàn, dịu nhẹ, không gây kích ứng da",812210715,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Tẩy Lông,https://www.lazada.vn/products/pdp-i812210715.html,55000,4.6,19,88,No Brand,2026-05-05 21:59:38
"Hũ 500g sáp wax lông sữa dừa siêu bám, siêu sạch, tẩy lông nhanh chóng Lyihome tặng que phết",2312100079,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Tẩy Lông,https://www.lazada.vn/products/pdp-i2312100079.html,75999,4.9,68,299,Lyihome.20,2026-05-05 21:59:38
"Kem Tẩy Lông Hobebar Giúp Lông Mọc Thưa, Cấp Ẩm, Sáng Da 50g",3189114576,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Tẩy Lông,https://www.lazada.vn/products/pdp-i3189114576.html,44100,5.0,1,0,No Brand,2026-05-05 21:59:38
