title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"[Chỉ 5-7.5_X2 Voucher giảm 24%] [MỚI] Dầu xả Palmolive chiết xuất thiên nhiên & keratin cho tóc mềm mượt, lưu hương bền lâu 180ml",3224147714,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Dầu Xả,https://www.lazada.vn/products/pdp-i3224147714.html,52000,5.0,402,1500,Palmolive,2026-05-05 18:38:57
Dầu xả thiên nhiên dừa oliu - hết xơ rối chẻ ngọn Giọt Lành 250gram,1336936508,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Dầu Xả,https://www.lazada.vn/products/pdp-i1336936508.html,155000,5.0,589,2400,Giọt Lành Vẻ Đẹp Thuần Chay,2026-05-05 18:38:57
Dầu xả dưỡng tóc siêu mượt Enchanteur Vitamin B5 Charming 300g/150g,3140207982,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Dầu Xả,https://www.lazada.vn/products/pdp-i3140207982.html,29000,5.0,7,33,No Brand,2026-05-05 18:38:57
Dầu Xả Siêu Dưỡng PANTENE Miracles Ngăn Rụng Tóc/ Phục Hồi Hư Tổn Chai 480ML,2057148742,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Dầu Xả,https://www.lazada.vn/products/pdp-i2057148742.html,181000,5.0,1516,5700,Pantene,2026-05-05 18:38:57
Dầu xả dược liệu Nguyên Xuân 318g - Tặng 32g giá không đổi,2402563286,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Dầu Xả,https://www.lazada.vn/products/pdp-i2402563286.html,159000,5.0,1188,4600,Nguyên Xuân.,2026-05-05 18:38:57
Dầu Xả TRESemmé 620g Chính Hãng,2182993126,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Dầu Xả,https://www.lazada.vn/products/pdp-i2182993126.html,145000,5.0,1,14,No Brand,2026-05-05 18:38:57
[5.5 MUA LÀ CÓ QUÀ] Kem Xả Serum Dove (Mới) Hasaki Sản Phẩm Chính Hãng,3225405849,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Dầu Xả,https://www.lazada.vn/products/pdp-i3225405849.html,107000,5.0,33,115,Dove,2026-05-05 18:38:57
(hàng khuyến mãi 300g ) Dầu Xả Dưỡng Tóc Siêu Mượt Enchanteur Charming,279076786,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Dầu Xả,https://www.lazada.vn/products/pdp-i279076786.html,49000,4.9,96,439,Enchanteur,2026-05-05 18:38:57
Dầu Xả Siêu Dưỡng & Phục Hồi Tóc Salon Link Repair & Protect Extra 1000ml,1532274875,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Dầu Xả,https://www.lazada.vn/products/pdp-i1532274875.html,129000,4.7,19,186,Salon Link,2026-05-05 18:38:57
Dầu Xả Siêu Dưỡng PANTENE Miracles Ngăn Rụng Tóc/ Phục Hồi Hư Tổn/ Suôn Mượt Óng Ả/ Thẳng Mượt Chai 150ML,1558975765,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Dầu Xả,https://www.lazada.vn/products/pdp-i1558975765.html,62000,4.9,209,1200,Pantene,2026-05-05 18:38:57
