title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
phụ kiện cài đầu chun buộc tóc,13377395491,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Phụ Kiện Chăm Sóc Tóc,https://www.lazada.vn/products/pdp-i13377395491.html,,0.0,0,0,No Brand,2026-05-05 18:48:59
"Mũ trùm đầu ủ tóc dùng 1 lần, mũ tắm trùm đầu đóng túi 100 cái chống ướt tóc BELIMART BL054",2194683860,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Phụ Kiện Chăm Sóc Tóc,https://www.lazada.vn/products/pdp-i2194683860.html,35000,0.0,0,196,No Brand,2026-05-05 18:48:59
"Lược Tạo Kiểu Curl Define, Lược Chải Tóc Chống Rối Dành Cho Tóc Xoăn Ướt, Tạo Kiểu Tóc Xoăn, Lược Tạo Kiểu Rỗng, Dụng Cụ Làm Tóc Cho Thợ Cắt Tóc 24x7cm",3272285264,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Phụ Kiện Chăm Sóc Tóc,https://www.lazada.vn/products/pdp-i3272285264.html,55500,0.0,0,48,No Brand,2026-05-05 18:48:59
Combo 3 lược chải đầu - Lược Massage - Lược Chải Tóc Gỡ Rối - Lược Chải Tóc Chuyên Dụng - Lược Tạo Nếp Tóc,1939664825,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Phụ Kiện Chăm Sóc Tóc,https://www.lazada.vn/products/pdp-i1939664825.html,40200,0.0,0,3900,No Brand,2026-05-05 18:48:59
"(Hộp 10 Gói) Dầu Gội Nhuộm Màu Tóc Thảo Dược  Phủ Bạc ,Màu Nâu Hạt Dẻ , Nuôi Dưỡng Tóc Khoẻ Óng Mượt",2605073937,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Phụ Kiện Chăm Sóc Tóc,https://www.lazada.vn/products/pdp-i2605073937.html,57000,0.0,0,93,No Brand,2026-05-05 18:48:59
"Lược Chải Tóc Gỡ Rối Tạo Kiểu Tóc Nam Nữ, Lược Gỡ Rối Massage Tóc Phụ Kiện Cho Tiệm Salon Thợ Cắt Tóc Dlabora",2598366003,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Phụ Kiện Chăm Sóc Tóc,https://www.lazada.vn/products/pdp-i2598366003.html,61000,0.0,0,7,No Brand,2026-05-05 18:48:59
"Lược Răng Thưa Dành Cho Tóc Xoăn, Tóc Uốn, Tóc Rối, Tóc Dày – Chất Liệu Nhựa PP Cao Cấp, Bền Bỉ, Lược Dài 24cm, Răng Lược 4cm, Màu Đen",1889671710,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Phụ Kiện Chăm Sóc Tóc,https://www.lazada.vn/products/pdp-i1889671710.html,20287,0.0,0,197,No Brand,2026-05-05 18:48:59
"[CHÍNH HÃNG] Xịt dưỡng tóc tinh dầu bưởi MỘC ÂN Hair Care 120ml - Tinh dầu dưỡng tóc, xịt kích mọc tóc cao cấp",2399825441,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Phụ Kiện Chăm Sóc Tóc,https://www.lazada.vn/products/pdp-i2399825441.html,59410,5.0,124,459,No Brand,2026-05-05 18:48:59
Kẹp Cắt Tóc Mái tại nhà tiện dụng cho nữ,496484793,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Phụ Kiện Chăm Sóc Tóc,https://www.lazada.vn/products/pdp-i496484793.html,17820,4.6,27,115,No Brand,2026-05-05 18:48:59
Lược Bán Nguyệt Chải Tóc Gỡ Rối Đa Năng | Lược Tạo Phồng Chân Tóc & Massage Da Đầu Tiện Lợi,3105045459,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Phụ Kiện Chăm Sóc Tóc,https://www.lazada.vn/products/pdp-i3105045459.html,14000,5.0,4,13,No Brand,2026-05-05 18:48:59
"Phụ Kiện Tóc Mùa Hè Biển: Khăn Đầu, Dải Đeo Đầu, Dây buộc Tóc",13361198173,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Phụ Kiện Chăm Sóc Tóc,https://www.lazada.vn/products/pdp-i13361198173.html,26600,0.0,0,13,No Brand,2026-05-05 18:48:59
3 Bộ Lược Chải Gốc Tóc Chuyên Nghiệp Bộ Dụng Cụ Thoa Tinh Dầu Mềm Mại Massage Da Đầu Chất Lỏng Bộ Lược Chải Tóc Tại Nhà Chăm Sóc Tóc Nhựa,3271999823,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Phụ Kiện Chăm Sóc Tóc,https://www.lazada.vn/products/pdp-i3271999823.html,129000,0.0,0,6,No Brand,2026-05-05 18:48:59
"Lược Chải Tóc Massage Bằng Đệm Khí - Dụng Cụ Chăm Sóc Da Đầu Chống Tĩnh Điện, Gỡ Rối Tóc, Dành Cho Tóc Thẳng Và Tóc Xoăn, Chất Lượng Salon",2957816229,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Phụ Kiện Chăm Sóc Tóc,https://www.lazada.vn/products/pdp-i2957816229.html,44250,4.9,19,46,No Brand,2026-05-05 18:48:59
