title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Kem Ủ Tóc Cao Cấp Fino Phục Hồi Hư Tổn Premium Touch 230g,2132878068,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Chăm Sóc Tóc,https://www.lazada.vn/products/pdp-i2132878068.html,154000,5.0,539,2700,FINO,2026-05-05 15:25:10
SPECIAL COMBO 2 chai Nước Dưỡng Tóc Tinh Dầu Bưởi Cocoon 140ml - tặng dầu gội bưởi 310ml,2407851544,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Chăm Sóc Tóc,https://www.lazada.vn/products/pdp-i2407851544.html,306000,5.0,410,2000,the COCOON ORIGINAL VIETNAM,2026-05-05 15:25:10
"Tẩy tế bào chết da đầu dầu, thường và gàu peeling capilo - Sản Phẩm Chăm Sóc Tóc Chính Hãng",2597261462,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Chăm Sóc Tóc,https://www.lazada.vn/products/pdp-i2597261462.html,75000,0.0,0,14,Eva Professional Hair Care,2026-05-05 15:25:10
"Kem Tạo Kiểu Tóc Xoăn 280ml, Công Thức Dưỡng Ẩm Làm Mượt, Tăng Độ Đàn Hồi, Bóng Mượt, Dễ Tạo Kiểu, Sản Phẩm Chăm Sóc Tóc.",13357426929,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Chăm Sóc Tóc,https://www.lazada.vn/products/pdp-i13357426929.html,121550,0.0,0,6,No Brand,2026-05-05 15:25:10
"Mọc Tóc, Mọc Râu Minoxidil 5% Kirkland Signature 1 Chai 60ml Mỹ",2705826689,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Chăm Sóc Tóc,https://www.lazada.vn/products/pdp-i2705826689.html,180000,5.0,100,419,Kirkland Signature,2026-05-05 15:25:10
"Sửa chữa tóc Kem làm tóc thẳng Kem xả Phục hồi Hư tổn,phục hồi tóc hư tổn, bổ sung keratin Chăm sóc tóc chuyên sâu , Nuôi Dưỡng Đa Tác Dụng, Điều Hòa, Kiểm Soát Dầu Và Làm Mịn,180ML điều chỉnh protein làm mượt tó",2987798257,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Chăm Sóc Tóc,https://www.lazada.vn/products/pdp-i2987798257.html,79800,5.0,1,0,No Brand,2026-05-05 15:25:10
Kem Ủ Tóc Ellips Vitamin Hair Mask with Pro-Keratin Complex | Hasaki | Sản Phẩm Chính Hãng,1943028097,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Chăm Sóc Tóc,https://www.lazada.vn/products/pdp-i1943028097.html,10000,5.0,172,2800,ellips,2026-05-05 15:25:10
Bảo vệ tóc sẽ mềm mại hơn 100% Chính Hãng serum mọc tóc Tinh chất dưỡng tóc Tinh Chất Chống Rụng Tóc 30ml Chăm Sóc Tóc serum amber Nữ Women GSD,3143195552,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Chăm Sóc Tóc,https://www.lazada.vn/products/pdp-i3143195552.html,31500,0.0,0,9,No Brand,2026-05-05 15:25:10
"Tinh Chất Mọc Tóc Nam Kinh Đồng Nhân Đường Dành Cho Nam Và Nữ Kích Thích Mọc Tóc Nhanh, Làm Dày Tóc, Chống Rụng Tóc, Tóc Chắc Khoẻ, Phục Hồi Và Chăm Sóc Tóc",2427256394,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Chăm Sóc Tóc,https://www.lazada.vn/products/pdp-i2427256394.html,37800,4.7,78,269,No Brand,2026-05-05 15:25:10
Kem duỗi tóc tại nhà chiết suất nhân sâm | Ép side chứa Protein không làm tổn thương tóc Kem Làm Thẳng Nhanh Chóng,13361144268,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Chăm Sóc Tóc,https://www.lazada.vn/products/pdp-i13361144268.html,63000,0.0,0,5,No Brand,2026-05-05 15:25:10
"【Mua 2 tặng 1 】HAIR MASK Hair Treatment Mask Mặt nạ tóc phục hồi tóc hư tổn,Giữ ẩm nuôi dưỡng làm mềm tóc 500g Không có tác dụng phụ,phục hồi tóc hư tổn hua zhong dinh dưỡng hiệu quả cao bổ sung chất đạm chăm sóc tóc chuyên sâu",2537845155,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Chăm Sóc Tóc,https://www.lazada.vn/products/pdp-i2537845155.html,180000,5.0,2,0,No Brand,2026-05-05 15:25:10
"Ủ TÓC CHĂM SÓC TÓC GIÚP TÓC MƯỢT, ĐEN ÓNG Ả ELYBIOHAIR NOURISHING REPAIRING HAIR MASK 500ML HÀN QUỐC - 19537 - Nuôi dưỡng sợi tóc giúp tóc mềm mại và giảm rối hiệu quả  Phục hồi tóc yếu tóc hư tổn do hóa chất và nhiệt",3325437181,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Chăm Sóc Tóc,https://www.lazada.vn/products/pdp-i3325437181.html,289900,0.0,0,0,No Brand,2026-05-05 15:25:10
Xịt Dưỡng Tóc Hunmui 80ml Giúp Tóc Chắc Khoẻ Mềm Mượt Giảm Khô Sơ Tóc Chẻ Ngọn,2284537420,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Chăm Sóc Tóc,https://www.lazada.vn/products/pdp-i2284537420.html,69000,4.9,162,567,HUNMUI,2026-05-05 15:25:10
Kem duỗi tóc tại nhà chiết suất nhân sâm | Ép side chứa Protein không làm tổn thương tóc Kem Làm Thẳng Nhanh Chóng 180ml,2986550328,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Chăm Sóc Tóc,https://www.lazada.vn/products/pdp-i2986550328.html,79800,5.0,3,24,No Brand,2026-05-05 15:25:10
