title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
[TỪ 20H 4.5: SIÊU SALE 5.5] Máy sấy và tạo kiểu tóc Dyson Airwrap ™ Origin HS02 (Không hộp da/No leather box),3224183347,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Tạo Kiểu Tóc,https://www.lazada.vn/products/pdp-i3224183347.html,13290000,0.0,0,42,No Brand,2026-05-05 17:05:20
[TỪ 20H 4.5: SIÊU SALE 5.5] Máy tạo kiểu tóc Dyson Airwrap Coanda 2x HS09 (Ceramic pink/Rose gold),3204849740,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Tạo Kiểu Tóc,https://www.lazada.vn/products/pdp-i3204849740.html,16990000,0.0,0,36,No Brand,2026-05-05 17:05:20
[FULL LINE] Reuzel Pomade tạo kiểu tóc [Blue - Pink - Red - Extreme Hold - Green - Matte Clay - Fiber - Concrete] - Full size - New Label,2159072267,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Tạo Kiểu Tóc,https://www.lazada.vn/products/pdp-i2159072267.html,259000,0.0,0,885,No Brand,2026-05-05 17:05:20
"Gôm xịt tóc Butterfly Shadow 150ml 320ml 600ml Chính hãng, Gôm bạc giữ nếp tạo kiểu nam nữ",3107136524,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Tạo Kiểu Tóc,https://www.lazada.vn/products/pdp-i3107136524.html,38000,5.0,25,121,Butterfly,2026-05-05 17:05:20
[ Trọn bộ ] Sáp Reuzel tạo kiểu tóc [Blue - Pink - Red - Extreme Hold - Green - Matte Clay - Fiber] - Full size,3078935042,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Tạo Kiểu Tóc,https://www.lazada.vn/products/pdp-i3078935042.html,556000,5.0,11,29,No Brand,2026-05-05 17:05:20
"Gel Mềm B4 Tạo Kiểu, Giữ Nếp Tóc Xoăn Hippie Xù Mì Tự Nhiên Không Bết Tóc B4, Mùi Siêu Thơm 350ml..",1420338917,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Tạo Kiểu Tóc,https://www.lazada.vn/products/pdp-i1420338917.html,179000,5.0,39,113,No Brand,2026-05-05 17:05:20
Bộ 10 dụng cụ thanh cuộn tạo kiểu tóc xoăn bằng xốp mềm linh hoạt,2035055404,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Tạo Kiểu Tóc,https://www.lazada.vn/products/pdp-i2035055404.html,45000,5.0,2,13,No Brand,2026-05-05 17:05:20
"[Chính hãng- Giá Sỉ] Keo xịt tóc familiar tạo kiểu,  siêu thơm chai 350ml 2 mẫu date mới",330826155,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Tạo Kiểu Tóc,https://www.lazada.vn/products/pdp-i330826155.html,75000,4.9,160,1200,familia,2026-05-05 17:05:20
[Karseell]Gel bóp tóc tạo kiểu uốn xoăn Karseell mềm mượt( wax) 500ml,2109804778,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Tạo Kiểu Tóc,https://www.lazada.vn/products/pdp-i2109804778.html,169000,5.0,62,221,Karseell,2026-05-05 17:05:20
"Kem Tạo Kiểu Tóc Xoăn Dưỡng Ẩm & Làm Mượt, Tăng Độ Đàn Hồi, Tạo Độ Bóng, Dễ Tạo Kiểu, Sản Phẩm Chăm Sóc Tóc",3282172761,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Tạo Kiểu Tóc,https://www.lazada.vn/products/pdp-i3282172761.html,95250,5.0,4,17,No Brand,2026-05-05 17:05:20
