title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Combo 3 Chai Sữa Tắm Maqueen 1200ml- Sữa Tắm - Sữa tắm chính hãng - Sữa Tắm Nhập Khẩu - Sữa Tắm Cao Cấp Thái Lan - sữa tắm hương nước hoa - sữa tắm trắng da -Làm đẹp - Chăm sóc cá nhân -Tắm & Chăm sóc cơ thể,1525972612,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Tắm & Chăm Sóc Cơ Thể,https://www.lazada.vn/products/pdp-i1525972612.html,53920,4.8,418,1200,No Brand,2026-05-05 18:09:20
Sữa Tắm Lux Màu Hồng Soft Rose Thái Lan 500ml,1528811272,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Tắm & Chăm Sóc Cơ Thể,https://www.lazada.vn/products/pdp-i1528811272.html,65550,5.0,1,0,No Brand,2026-05-05 18:09:20
"[CHÍNH HÃNG]Thanh tắm ngừa mụn Panoxyl 10% BPO loại bỏ yếu tố gây mụn cơ thể, mùi hôi cơ thể, dùng được cho da nhạy cảm",3019898356,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Tắm & Chăm Sóc Cơ Thể,https://www.lazada.vn/products/pdp-i3019898356.html,309571,5.0,5,20,PanOxyl,2026-05-05 18:09:20
"Sữa tắm thảo dượċ sả chanh ngăn mùi cơ thể, ngăn mụn lưng 500 ML",2692848159,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Tắm & Chăm Sóc Cơ Thể,https://www.lazada.vn/products/pdp-i2692848159.html,85284,5.0,4,15,No Brand,2026-05-05 18:09:20
"Dove Deeply Nourishing Moisturizing Body Wash with Nutrium Moisture - Anti-Bacterial, Fragrance-Free, 1L",2416019258,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Tắm & Chăm Sóc Cơ Thể,https://www.lazada.vn/products/pdp-i2416019258.html,199000,4.9,51,164,No Brand,2026-05-05 18:09:20
"Sữa Tắm Thảo Dược Hữu Cơ Gừng Nghệ Cỏ Cây Hoa Lá Việt Nam- Dành riêng cho Mẹ Bầu, Mẹ Sau Sinh",2685848225,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Tắm & Chăm Sóc Cơ Thể,https://www.lazada.vn/products/pdp-i2685848225.html,215000,5.0,5,9,COCAYHOALA,2026-05-05 18:09:20
Sữa tắm gội King Monster ICEMAN 3 in 1 Hương mới cao cấp Iceman,2714685081,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Tắm & Chăm Sóc Cơ Thể,https://www.lazada.vn/products/pdp-i2714685081.html,199000,3.0,2,14,No Brand,2026-05-05 18:09:20
Sữa Tắm Johnson's Adult pH 5.5 Cho Người Lớn 750ml,3210244865,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Tắm & Chăm Sóc Cơ Thể,https://www.lazada.vn/products/pdp-i3210244865.html,109000,4.9,17,56,No Brand,2026-05-05 18:09:20
Combo 2 Chai Sữa Tắm Lux 500ml Thái Lan Chính Hãng,1534950109,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Tắm & Chăm Sóc Cơ Thể,https://www.lazada.vn/products/pdp-i1534950109.html,74000,4.8,16,74,No Brand,2026-05-05 18:09:20
Sữa Tắm Dove Dưỡng Ẩm Chuyên Sâu Deeply Nourishing Thái Lan - 1000ml,3080455275,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Tắm & Chăm Sóc Cơ Thể,https://www.lazada.vn/products/pdp-i3080455275.html,179000,5.0,3,28,No Brand,2026-05-05 18:09:20
"sữa tắm dưỡng trắng Niacinamide 500ml, Làm trắng da, làm sạch cơ thể, làm mới và dưỡng ẩm cho da, nhẹ nhàng và không gây kích ứng",2672808083,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Tắm & Chăm Sóc Cơ Thể,https://www.lazada.vn/products/pdp-i2672808083.html,69900,5.0,2,0,No Brand,2026-05-05 18:09:20
