title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"kem xóa nám, kem collagen, kem xóa nám chống lão hóa, xóa nám hiệu quả, làm mờ vết thâm nám tàn nhang, đồi mồi, săn chắc dưỡng ẩm da mặt",3012422264,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Cho Sắc Đẹp,Dưỡng Da,https://www.lazada.vn/products/pdp-i3012422264.html,135000,4.9,26,85,No Brand,2026-05-05 17:54:45
Kem nám tàn nhang USA kem đặc chấm tàn nhang nám tàn nhang 20g Loại bỏ các đốm đen sâu làm sáng trắng da,2885307756,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Cho Sắc Đẹp,Dưỡng Da,https://www.lazada.vn/products/pdp-i2885307756.html,54846,4.6,30,56,No Brand,2026-05-05 17:54:45
Kem dưỡng da tay Tinh dầu Gardenia Neon Vitamin E Urê dưỡng ẩm dưỡng trắng da chống Lão Hóa 300g,2661562278,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Cho Sắc Đẹp,Dưỡng Da,https://www.lazada.vn/products/pdp-i2661562278.html,62220,4.8,39,78,No Brand,2026-05-05 17:54:45
COMBO 20/50/100 Mặt Nạ Dưỡng Trắng Da Giảm Mụn Mờ Thâm Tái Tạo Phục Hồi Da và Cấp Ẩm - MIX nhiều loại nội địa Trung CAO CẤP,1581731682,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Cho Sắc Đẹp,Dưỡng Da,https://www.lazada.vn/products/pdp-i1581731682.html,56100,4.9,2155,9000,No Brand,2026-05-05 17:54:45
Total Relief Magnesiums Cream Lotion làm dịu dây thần kinh Nhẹ nhàng hydrating cho khỏe mạnh chăm sóc da Lotion,13349188082,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Cho Sắc Đẹp,Dưỡng Da,https://www.lazada.vn/products/pdp-i13349188082.html,126995,5.0,1,10,No Brand,2026-05-05 17:54:45
Tinh Chất Vitamin E Dưỡng Ẩm Sáng Da Ngăn Ngừa Mụn Và Loại Bỏ Nếp Nhăn Vùng Da Thâm Sạm 30g,2496666400,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Cho Sắc Đẹp,Dưỡng Da,https://www.lazada.vn/products/pdp-i2496666400.html,47850,4.9,142,482,No Brand,2026-05-05 17:54:45
Serum Dưỡng Ẩm Trắng Da Xóa Sạch Thâm Nám Tàn Nhang Ngăn Ngừa Mụn Quay Trở Lại 50ml,2541765873,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Cho Sắc Đẹp,Dưỡng Da,https://www.lazada.vn/products/pdp-i2541765873.html,50215,4.9,122,522,No Brand,2026-05-05 17:54:45
Kem dưỡng Vitamin E Cream 300g Úc chính hãng,2751427765,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Cho Sắc Đẹp,Dưỡng Da,https://www.lazada.vn/products/pdp-i2751427765.html,70800,4.9,72,123,No Brand,2026-05-05 17:54:45
Kem dưỡng da chàm cho bé Aveeno Baby Eczema Therapy Moisturizing Cream của Mỹ,2672498884,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Cho Sắc Đẹp,Dưỡng Da,https://www.lazada.vn/products/pdp-i2672498884.html,200043,5.0,16,87,Aveeno Baby,2026-05-05 17:54:45
Tặng 2 vỉ vitamin E - Chính Hãng - Sữa dưỡng Rong Nho Nhật Bản Las Beauty truyền trắng dưỡng da căng bóng Skin Perfect Emulsion 50ml,2766176997,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Cho Sắc Đẹp,Dưỡng Da,https://www.lazada.vn/products/pdp-i2766176997.html,155000,5.0,44,262,No Brand,2026-05-05 17:54:45
