title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"(LL) Kem Trắng Da Body Collagen X3 Luxury Đông Anh SPF 45+ 250g Trắng Mịn da , Chống Lão Hóa",2804756886,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Cho Sắc Đẹp,Trắng da,https://www.lazada.vn/products/pdp-i2804756886.html,49000,0.0,0,59,No Brand,2026-05-05 22:26:24
"(LL) Kem Body Dưỡng Trắng Da RMON White 200ml Tế Bào Gốc , Thẩm Thấu Nhanh , Trắng Sáng Bật Tone , Ko Bất Nắng",3310394199,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Cho Sắc Đẹp,Trắng da,https://www.lazada.vn/products/pdp-i3310394199.html,68000,0.0,0,16,No Brand,2026-05-05 22:26:24
"(S- BBull) Sữa Rửa Mặt Ý Dĩ Hatomugi 170g khử thâm , Trắng da , dưỡng ẩm , mềm mịn da",3139794051,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Cho Sắc Đẹp,Trắng da,https://www.lazada.vn/products/pdp-i3139794051.html,36000,0.0,0,13,No Brand,2026-05-05 22:26:24
Làm Trắng Da Kem body siêu trắng nhanh chính hãng toàn thân Chống nắng Giá rẻ Toàn thân Body Cream,3104979398,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Cho Sắc Đẹp,Trắng da,https://www.lazada.vn/products/pdp-i3104979398.html,69800,5.0,1,0,No Brand,2026-05-05 22:26:24
COMBO 10/20/50 Mặt Nạ Trái Cây Bioaqua Mask Dưỡng Trắng Cấp Ẩm Căng Bóng- Cung Cấp Vitamin Cho Làn Da Khỏe Đẹp (MỚI) A199,1492972290,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Cho Sắc Đẹp,Trắng da,https://www.lazada.vn/products/pdp-i1492972290.html,56100,4.9,4149,44900,No Brand,2026-05-05 22:26:24
Kem kích trắng Vaseline ngày và đêm Thái Lan hộp 250gram Dưỡng  chất  từ hoa anh đào và sirum làm cho da trắng sáng mịn,3080413680,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Cho Sắc Đẹp,Trắng da,https://www.lazada.vn/products/pdp-i3080413680.html,22000,4.5,15,88,No Brand,2026-05-05 22:26:24
MẪU MỚI HÀNG CTY Kem Dưỡng Trắng Da Body Mềm A Cosmetics dưỡng ẩm trắng da- kem body chăm sóc da,539950802,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Cho Sắc Đẹp,Trắng da,https://www.lazada.vn/products/pdp-i539950802.html,109000,4.4,65,519,No Brand,2026-05-05 22:26:24
"(Hộp 8 Chai) Nước Uống Collagen Rose Beauty Yến Tươi , Trắng Mịn Da , Chống Lão Hóa , Tăng Cường Tiết Tố Nữ , Mờ Thâm Nám Rosebeauty",2163209156,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Cho Sắc Đẹp,Trắng da,https://www.lazada.vn/products/pdp-i2163209156.html,145000,5.0,3,27,No Brand,2026-05-05 22:26:24
[BÁN LẺ GIÁ GỐC] Kem body livy's Thái Lan trắng da chống nắng spf45++ 250g - dữong trắng da mịn màng tự nhiên,620136122,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Cho Sắc Đẹp,Trắng da,https://www.lazada.vn/products/pdp-i620136122.html,69000,4.8,8,105,No Brand,2026-05-05 22:26:24
"【Mua 2 tặng 1】Kem Dưỡng Da Kem làm trắng da Mặt Dành Cho Nam Giới Dưỡng Ẩm, Nâng Cơ, Làm Sáng Da, Đều Màu Da, Sạch Mụn Và Làm Mờ Nếp Nhăn Da Mặt",3194847389,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Cho Sắc Đẹp,Trắng da,https://www.lazada.vn/products/pdp-i3194847389.html,59800,3.5,2,14,No Brand,2026-05-05 22:26:24
