title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Xà bông tắm thảo dược SORITOX SOAP 130g , chăm sóc da , vẩy nến , viêm da mẩn ngứa , tróc da",3123198374,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Chăm Sóc Da Mụn,https://www.lazada.vn/products/pdp-i3123198374.html,105000,0.0,0,100,No Brand,2026-05-05 21:14:28
JUEFANG 72 80 miếng dán điều trị mụn trứng cá hình ngôi sao dễ thương đầy màu sắc miếng dán mụn vô hình chăm sóc da,3125897017,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Chăm Sóc Da Mụn,https://www.lazada.vn/products/pdp-i3125897017.html,8773,0.0,0,27,No Brand,2026-05-05 21:14:28
"(Combo 3 Cục) Xà Phòng Dok Anchan Blue Soap Hỗ Trợ Làm Sáng Da 65g Khử Mụn Thâm, Se Khít Chân Lông",13386308601,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Chăm Sóc Da Mụn,https://www.lazada.vn/products/pdp-i13386308601.html,35000,0.0,0,0,No Brand,2026-05-05 21:14:28
Miếng dán mụn FOCALLURE tái tạo chăm sóc làn da tiện dụng 2g,1078866190,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Chăm Sóc Da Mụn,https://www.lazada.vn/products/pdp-i1078866190.html,30000,4.9,1015,13100,Focallure,2026-05-05 21:14:28
Heabety 120 360 Miếng dán mụn hình con bướm Miếng Dán Che khuyết điểm che khuyết điểm 0.1mm điều trị mụn loại bỏ mụn chăm sóc da,3289774468,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Chăm Sóc Da Mụn,https://www.lazada.vn/products/pdp-i3289774468.html,23839,5.0,3,5,Heabety,2026-05-05 21:14:28
"Sữa Rửa Mặt Cerave 473ml Xanh Ngọc Cho Da Dầu Mụn, Khô, Nhạy Cảm",3295820429,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Chăm Sóc Da Mụn,https://www.lazada.vn/products/pdp-i3295820429.html,52000,0.0,0,18,No Brand,2026-05-05 21:14:28
MIRELAE  Axit Azelaic 12% 15% 20% Kem Axit Azelaic Giảm mụn trứng cá và mụn nhọt  Nicotinamide Kem  Axit Azelaic 15%  Da mịn màng Kem  Axit Azelaic 20% cho việc chăm sóc da,13369830059,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Chăm Sóc Da Mụn,https://www.lazada.vn/products/pdp-i13369830059.html,63000,5.0,1,0,Fudeshe,2026-05-05 21:14:28
"(Mp-TH) Sữa Rửa Mặt Cerave 473ml Xanh Ngọc Cho Da Dầu Mụn, Khô, Nhạy Cảm",3300825609,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Chăm Sóc Da Mụn,https://www.lazada.vn/products/pdp-i3300825609.html,52000,4.4,9,29,No Brand,2026-05-05 21:14:28
1KG  Bột nghệ đen Nghệ An - Thảo Dược Việt hỗ trợ viêm loét dạ dạy hoặc chăm sóc mụn,1636227969,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Chăm Sóc Da Mụn,https://www.lazada.vn/products/pdp-i1636227969.html,115000,5.0,4,22,Thảo Dược Việt,2026-05-05 21:14:28
"Combo 3 Tẩy Da Chết Da Mặt Lô Hội Tặng SRM Làm Trắng Da, Ngừa Mụn Trẻ Hóa, Kiểm Soát Dầu, Dưỡng Ẩm Lấy Sạch Bụi Bẩn Sạch Sâu Trắng Hồng Ẩm Mượt",2285690153,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Chăm Sóc Da Mụn,https://www.lazada.vn/products/pdp-i2285690153.html,59000,4.9,122,281,No Brand,2026-05-05 21:14:28
