title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Sữa Tăng Cân Tăng Cơ Muscle Mass AFit Nutrition 1 Kg + Quà Tặng,3073702075,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Tăng Cơ,https://www.lazada.vn/products/pdp-i3073702075.html,384000,4.9,166,1100,No Brand,2026-05-05 18:51:42
Tăng cân Seng Yong Wan ( Sâm Nhung Hoàn ) - Xuất xứ Malaysia - Hộp 20 viên - Mã 1469,3162444830,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Tăng Cơ,https://www.lazada.vn/products/pdp-i3162444830.html,150000,5.0,2,28,No Brand,2026-05-05 18:51:42
"OstroVit Creatine Monohydrate 300g, 500g, 1000g – Hỗ trợ tăng cơ, tăng sức mạnh & phục hồi nhanh",3202207774,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Tăng Cơ,https://www.lazada.vn/products/pdp-i3202207774.html,449000,5.0,53,209,Ostrovit,2026-05-05 18:51:42
COMBO MUA 2 Sữa tăng cân tăng cơ AFIT - super mass hỗ trợ tăng cơ tăng cân nhanh hiệu quả 1kg,2778088809,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Tăng Cơ,https://www.lazada.vn/products/pdp-i2778088809.html,656000,0.0,0,133,No Brand,2026-05-05 18:51:42
Combo 2 Hộp Sữa Tăng Cơ Giảm Mỡ Vegan Protein -AFit Nutrition 1 Kg + Quà Tặng,3073694247,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Tăng Cơ,https://www.lazada.vn/products/pdp-i3073694247.html,784000,0.0,0,17,No Brand,2026-05-05 18:51:42
Tăng cân Ginseng Kianpi Pil ( Nhân sâm kiện tỳ khai vị bổ hoàn ) - Loại siêu xịn - Mã 1538,3191456382,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Tăng Cơ,https://www.lazada.vn/products/pdp-i3191456382.html,160000,0.0,0,30,No Brand,2026-05-05 18:51:42
Bột Soy Protein Isolate Musaking túi 1kg - Tăng Cơ Tăng Cân + Tặng bình lắc Shaker 600ml,3326435113,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Tăng Cơ,https://www.lazada.vn/products/pdp-i3326435113.html,336000,0.0,0,33,No Brand,2026-05-05 18:51:42
"BulkSupplements.com L-Citrulline Power hỗ trợ tăng cơ, tăng cường hiệu suất tập luyện 500gr USA",3121285663,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Tăng Cơ,https://www.lazada.vn/products/pdp-i3121285663.html,1690000,0.0,0,14,No Brand,2026-05-05 18:51:42
Rule 1 Blend Protein Tăng Cơ Giảm Mỡ Gói Dùng Thử,3079092091,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Tăng Cơ,https://www.lazada.vn/products/pdp-i3079092091.html,880800,0.0,0,54,No Brand,2026-05-05 18:51:42
[Giá hủy diệt] [Chính hãng] Whey | Sữa Tăng Cơ Cho Người Tập Gym - Scitec 100% Whey Protein Professional 2.35Kg,2421932156,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Tăng Cơ,https://www.lazada.vn/products/pdp-i2421932156.html,4000000,0.0,0,0,No Brand,2026-05-05 18:51:42
"Viên nhai bổ sung Protein Ahlozen tăng cơ, giảm mỡ hiệu quả",3072908383,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Tăng Cơ,https://www.lazada.vn/products/pdp-i3072908383.html,99000,0.0,0,638,No Brand,2026-05-05 18:51:42
SUPER MASS PRO 500g – Mass Tăng Cân Tăng Cơ 1057 Kcal – Mass Gainer Cho Người Gầy – MUSCLE ONE,13353938538,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Tăng Cơ,https://www.lazada.vn/products/pdp-i13353938538.html,218000,0.0,0,0,No Brand,2026-05-05 18:51:42
"BUTAMIN B12 5.000 - Nuôi gà tăng cơ, nở khung, hừng gà, tải cựa (Chai 50ml)",3119795348,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Tăng Cơ,https://www.lazada.vn/products/pdp-i3119795348.html,78000,0.0,0,253,No Brand,2026-05-05 18:51:42
Viên uống tăng cơ giảm mỡ tự nhiên bổ sung năng lượng CLA 1500 mg 120 viên,2509992930,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Tăng Cơ,https://www.lazada.vn/products/pdp-i2509992930.html,220000,0.0,0,43,No Brand,2026-05-05 18:51:42
[Chính hãng] Bột tăng cơ bắp PrimaForce Taurine nhập khẩu Mỹ - tại Whey Sinh Viên HP,2515924890,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Tăng Cơ,https://www.lazada.vn/products/pdp-i2515924890.html,550000,0.0,0,13,No Brand,2026-05-05 18:51:42
"Xemenry Vitamin tự nhiên cho nam giới, viên nang Maca, thực phẩm bổ sung tăng cường cơ bắp, cải thiện tâm trạng và sức khỏe tổng thể,  tăng cường sức bền và năng lượng",2925111900,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Tăng Cơ,https://www.lazada.vn/products/pdp-i2925111900.html,77473,0.0,0,42,No Brand,2026-05-05 18:51:42
