title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Xịt chống nắng Maycreate giúp trắng da SPF35 an toàn cho da Xịt chống nắng body trắng da Maycreate nâng tone da body dạng xịt phun sương,2615592221,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i2615592221.html,25000,4.8,53,516,No Brand,2026-05-08 21:22:20
Tắm trắng tẩy mạnh cấp tốc tẩy trắng da toàn thân | Sét T.ẩy trắng liền sau 5',2281211605,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i2281211605.html,85000,4.9,61,247,No Brand,2026-05-08 21:22:20
[OLAY]Dưỡng thể Olay Body Cellscience B3+ Whitening Radiance siêu trắng sáng da Nội Địa Trung 260ml/ 30g,3317431203,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i3317431203.html,140650,0.0,0,0,Olay,2026-05-08 21:22:20
"(Hộp 8 Chai) Nước Uống Collagen Rose Beauty Yến Tươi , Trắng Mịn Da , Chống Lão Hóa , Tăng Cường Tiết Tố Nữ , Mờ Thâm Nám Rosebeauty",2163209156,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i2163209156.html,145000,5.0,3,27,No Brand,2026-05-08 21:22:20
COMBO 20/50/100 Mặt Nạ Dưỡng Trắng Da Giảm Mụn Mờ Thâm Tái Tạo Phục Hồi Da và Cấp Ẩm - MIX nhiều loại nội địa Trung CAO CẤP,1581731682,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i1581731682.html,65000,4.9,2155,9000,No Brand,2026-05-08 21:22:20
Kem chống nắng trắng da chống nước NICOR 50g bảo vệ da với SPF 50+ PA++++ giúp da sáng rạng rỡ,1722578051,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i1722578051.html,35000,4.9,2712,17300,No Brand,2026-05-08 21:22:20
"[MUA 3 GIẢM 50%] Dầu dưỡng trắng da toàn thân MOAW MOAWS - làm sáng da, mềm da, giảm thâm",2810767705,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i2810767705.html,159000,4.9,169,1100,Milaganics,2026-05-08 21:22:20
"Kem Fango BD Sạch Nấm Ngứa, Nấm Da, Bạch Biến, Đốm Trắng Da - Kem Bôi Lang Ben Fango-B Cream Thái Lan",2911390445,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i2911390445.html,145000,5.0,1,9,No Brand,2026-05-08 21:22:20
Sữa Dưỡng Thể Trắng da chống nắng NIVEA 350ml,13358252710,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i13358252710.html,109999,5.0,2,13,No Brand,2026-05-08 21:22:20
Kem kích trắng Vaseline ngày và đêm Thái Lan hộp 250gram Dưỡng  chất  từ hoa anh đào và sirum làm cho da trắng sáng mịn,3080413680,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i3080413680.html,22000,4.5,16,95,No Brand,2026-05-08 21:22:20
"Kem Dưỡng Trắng da V7 Toning Light, chẳng sợ da không đều màu",3011868693,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i3011868693.html,25000,5.0,5,28,No Brand,2026-05-08 21:22:20
Kem body kích trắng da collagenx9 hủ 1 kí (trắng sau 7 ngày),2629928761,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i2629928761.html,47400,4.9,103,475,No Brand,2026-05-08 21:22:20
"(LL) Kem Chống Nắng O'Mayln 50g Cho Da Mặt Kem Chống Nắng Chống Lão Hóa , trắng Mịn da , Dưỡng ẩm",3318137193,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i3318137193.html,63000,5.0,1,17,No Brand,2026-05-08 21:22:20
"Kem Dưỡng Trắng da V7 Toning Light, chẳng sợ da không đều màu",2812949039,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i2812949039.html,25000,5.0,4,51,No Brand,2026-05-08 21:22:20
SERUM Trắng Da Ngừa Mụn Senana 15ml Trẻ Hóa Da Kiểm Soát Dầu Dưỡng Ẩm,1729938188,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i1729938188.html,26000,4.9,1793,11100,No Brand,2026-05-08 21:22:20
"(LL) Kem Body Dưỡng Trắng Da RMON White 200ml Tế Bào Gốc , Thẩm Thấu Nhanh , Trắng Sáng Bật Tone , Ko Bất Nắng",3310394199,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i3310394199.html,68000,0.0,0,18,No Brand,2026-05-08 21:22:20
Combo 2 Hộp Collagen truyền trắng KHIẾT HỒNG NHAN mờ ƞám Եàn nhang dưỡng trắng da,2636607841,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i2636607841.html,99000,0.0,0,7,No Brand,2026-05-08 21:22:20
[BÁN LẺ GIÁ GỐC] Kem body livy's Thái Lan trắng da chống nắng spf45++ 250g - dữong trắng da mịn màng tự nhiên,620136122,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i620136122.html,69000,0.0,0,105,No Brand,2026-05-08 21:22:20
MẪU MỚI HÀNG CTY Kem Dưỡng Trắng Da Body Mềm A Cosmetics dưỡng ẩm trắng da- kem body chăm sóc da,539950802,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i539950802.html,109000,0.0,0,519,No Brand,2026-05-08 21:22:20
"Kem Chống Nắng Trắng Da O’Mayln UV SPF50+++,Chống Nắng Chống Tia UV Nâng Tông, Sáng Hơn Gấp 2X",3192118715,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i3192118715.html,75000,0.0,0,0,No Brand,2026-05-08 21:22:20
"Sữa rửa mặt làm trắng da và tàn nhang Aofuxue Sữa rửa mặt làm sạch nhẹ nhàng và không căng, kiểm soát dầu và làm sáng amide chính hãng",2881645840,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i2881645840.html,35000,0.0,0,28,No Brand,2026-05-08 21:22:20
"Kem làm trắng da xóa nám, mụn AC Thái Lan",704078953,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i704078953.html,19000,0.0,0,1300,No Brand,2026-05-08 21:22:20
serum colgagen x3 làm sạch mụn và dưỡng trắng da,1718348681,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i1718348681.html,15000,0.0,0,17,No Brand,2026-05-08 21:22:20
"(Tặng kèm quà) Kem Dưỡng Trắng Da Body UME Giúp Hỗ Trợ Mờ Vết Thâm Sạm, Cấp Ẩm Tăng Độ Đàn Hồi, Chống Nắng Cho Da",3040323577,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i3040323577.html,298000,0.0,0,26,No Brand,2026-05-08 21:22:20
Kem Sâm Dưỡng Trắng Da Thorakao 7g,3188903333,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i3188903333.html,60000,0.0,0,145,No Brand,2026-05-08 21:22:20
"Tinh chất bóc đen da Vip giúp trắng da, bật tone da đen chai lì sử dụng cho body",2400379174,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i2400379174.html,36999,0.0,0,1800,No Brand,2026-05-08 21:22:20
"(LL) Sữa Dưỡng thể Vaseline 10x UV Extra Brightening Ngọc Trai 320ml - 500ml Bật Tone trắng mịn da , cấp ẩm , chống nắng , chống lão hóa da",3317449297,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i3317449297.html,98000,0.0,0,8,No Brand,2026-05-08 21:22:20
"Kem chống nắng missa hàn quốc , nâng tone dưỡng trắng da mặt",3089997248,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i3089997248.html,19500,0.0,0,46,No Brand,2026-05-08 21:22:20
Kem xóa nếp nhăn nhanh chóng chống lão hoá làm trắng da 5 giây loại bỏ nếp nhăn 50g nhanh chóng làm mịn nếp nhăn nâng cơ và săn chắc da mặt làm mịn và dưỡng ẩm se lỗ chân lông thông dụng cho mọi loại da nam và nữ,2873924713,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i2873924713.html,59800,0.0,0,163,No Brand,2026-05-08 21:22:20
Serum dưỡng trắng da VitaminC Tế bào gốc C7 xóa thâm nám hiệu quả,1140226216,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i1140226216.html,32000,0.0,0,1500,No Brand,2026-05-08 21:22:20
Kem Dưỡng Trắng Da Chống Nắng Alpha Arbutin Collagen Body Serum 500g UV 50 SPF Precious Skin Thái Lan,2623186918,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i2623186918.html,35000,4.5,11,63,No Brand,2026-05-08 21:22:20
Kem Kone Thái Lan mụn nám trắng da,2207812128,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i2207812128.html,45000,4.6,9,115,No Brand,2026-05-08 21:22:20
"(S-Xù) Kem chống nắng múi xù Gorgeous 100g Trắng da , mềm mịn , se khít chân lông",2916341200,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i2916341200.html,42000,4.7,3,25,No Brand,2026-05-08 21:22:20
Kem body ủ trắng mix,1617441767,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i1617441767.html,26400,4.7,954,5400,No Brand,2026-05-08 21:22:20
"(LL) Hộp 6 Gói Kem Dưỡng Trắng Da Garnier Thái Lan , Khử Nám , Tàn Nhang , Mụn Lâu Năm , Chống Nắng SPF 30+",13336396885,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i13336396885.html,92000,5.0,1,0,No Brand,2026-05-08 21:22:20
COMBO Viên Uống DHC Vitamin C 60 Ngày + DHC Trắng Da 20 Ngày Nhật Bản,2523349736,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i2523349736.html,115000,5.0,150,611,No Brand,2026-05-08 21:22:20
"SERUM Trắng Da, Ngừa Mụn Senana 15ml Trẻ Hóa Da, Kiểm Soát Dầu, Dưỡng Ẩm",2358911037,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i2358911037.html,28090,4.9,33,328,SENANA,2026-05-08 21:22:20
"(LL) Nước Lột Collagen NN Thay Da Sinh Học Mảng To , 100ml Trắng da , Loại Bỏ da Chết",2655689161,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i2655689161.html,45000,5.0,1,72,No Brand,2026-05-08 21:22:20
Kem làm trắng da 50g Kem Trắng Nách mờ thâm Bẹn Mông Khủy tay Đầu Gối [CAM KẾT HẾT THÂM] Nuôi dưỡng và tái tạo da trắng sáng Whitening Cream For Sensitive Areas,2660975102,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i2660975102.html,58100,5.0,3,13,No Brand,2026-05-08 21:22:20
Sữa Dưỡng Thể Trắng Da Ý Dĩ Body Naturie Hatomugi The Body Milk 400ml  Moisturizing & Conditioning shop Cosin Store,2308154957,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i2308154957.html,129000,5.0,80,254,Naturie,2026-05-08 21:22:20
Kem face Nhật bản dưỡng trắng da hanako x3,2609114692,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i2609114692.html,42000,4.5,23,112,No Brand,2026-05-08 21:22:20
"Kem chống nắng múi xù gorgeous trắng da, nâng tone, chống nước lâu trôi tuýp SPF50+PA+++ Kem chống nắng Múi Xù GORGEOUS dưỡng trắng da mặt, kem chống nắng dưỡng ẩm toàn thân nâng tone da SPF 50+ 100gr",2614271585,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i2614271585.html,45000,5.0,6,32,No Brand,2026-05-08 21:22:20
Combo Kem cốt tẩy trắng body siêu trắng thấm không bết dính,2383323461,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i2383323461.html,160000,5.0,7,39,No Brand,2026-05-08 21:22:20
Sữa Dưỡng thể Body lotion 300ml Thân thể làm trắng dưỡng ẩm nâng tông tức thì phù hợp mọi loại da dưỡng thể/Body Lotion,2751386765,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i2751386765.html,72210,5.0,98,272,No Brand,2026-05-08 21:22:20
"OSUFI Tinh Chất Cô Đặc Tổ Yến Trị Tàn Nhan, Đốm Da, Sậm Da Do Môi Trường, Ánh Nắng, Mất Ngủ Giúp Da Căng Bóng Trắng Đều Màu Hết Sạch Tàn Nhan",2352888644,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i2352888644.html,118000,4.9,143,562,No Brand,2026-05-08 21:22:20
[Sỉ-Rẻ] Kem Ủ Trắng Da Gluta White Thái Lan 600gr,2024297754,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i2024297754.html,45000,5.0,13,96,No Brand,2026-05-08 21:22:20
Xà bông trắng da Kojiesan chính hãng 135g (SỈ INBOX),1595022364,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i1595022364.html,109000,4.9,341,2300,No Brand,2026-05-08 21:22:20
"【Mua 2 tặng 1】Kem Dưỡng Da Kem làm trắng da Mặt Dành Cho Nam Giới Dưỡng Ẩm, Nâng Cơ, Làm Sáng Da, Đều Màu Da, Sạch Mụn Và Làm Mờ Nếp Nhăn Da Mặt",3194847389,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i3194847389.html,59800,3.5,2,14,No Brand,2026-05-08 21:22:20
"kem làm trắng cấp tốc kem dưỡng ẩm dành cho da mặt lem loại bỏ nám và tàn nhang, nam nữ cấp nước nhanh chóng khóa nước dài lâu kiềm dầu che khuyết làm sáng da săn chắc da chống lão hóa ngăn ngừa nếp nhăn da 30g",2183487305,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i2183487305.html,60000,4.8,111,370,No Brand,2026-05-08 21:22:20
"(LL) Kem Ủ Trắng Body Siêu Cấp 220g Tẩy Trắng Da Đen Ngâm Chai Lì Hiệu Quả , Trắng Sáng Mịn Màng",3310448408,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i3310448408.html,35000,0.0,0,0,No Brand,2026-05-08 21:22:20
Kem dưỡng trắng da tay Tinh dầu Gardenia Neon Vitamin E Urê dưỡng ẩm chống Lão Hóa 300g,2661453488,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i2661453488.html,68200,5.0,82,213,No Brand,2026-05-08 21:22:20
"kem làm trắng cấp tốc kem dưỡng ẩm dành cho da mặt lem loại bỏ nám và tàn nhang,Kem dưỡng ẩm tối ưu Giúp Da Mặt Mịn Màng Se Khít Lỗ Chân Lông Giữ Ẩm Và Tái Tạo Da Mặt Tươi Trẻ Đầy Sức Sống, Dưỡng ẩm và giữ ẩm cứu làn da khô lớn 30g",2737053825,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i2737053825.html,64000,4.9,22,63,No Brand,2026-05-08 21:22:20
"Kem demejine Hàn Quốc [GIẢM GIÁ CỰC SỐC], kem dưỡng trắng da mặt, dưỡng trắng hồng trắng khỏe loại bỏ nám đốm nâu tàn nhang loại bỏ mụn thâm mụn",495078888,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i495078888.html,75000,4.9,451,4200,No Brand,2026-05-08 21:22:20
[HCM] Kem Body Collagen X3 Luxury,1726897250,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i1726897250.html,45000,4.0,2,28,No Brand,2026-05-08 21:22:20
Kem Trắng Da 377 Mmẻir 50g Kem Dưỡng Quý Bà Trang Điểm Dưỡng Trắng,3212971320,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Trắng da,https://www.lazada.vn/products/pdp-i3212971320.html,79000,5.0,8,24,No Brand,2026-05-08 21:22:20
