title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Hôp 12 cây son gió sping song lipstick _ Thái Lan,2029015375,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Môi,https://www.lazada.vn/products/pdp-i2029015375.html,139000,0.0,0,56,No Brand,2026-05-05 18:34:13
HOÀN TIỀN 15% - Son Thỏi Lì Shuzili Cao Cấp Lên Màu Cực Chuẩn Dưỡng Ẩm Mềm Mịn Môi Chống Thấm Nước,2342121455,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Môi,https://www.lazada.vn/products/pdp-i2342121455.html,80000,4.9,1154,3600,Cosmetic,2026-05-05 18:34:13
"Set Son 10 Cây ERSHIQI Velvet Siêu Lì , Lên Màu Chuẩn , Lâu Trôi 6-12h",2001468484,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Môi,https://www.lazada.vn/products/pdp-i2001468484.html,73000,4.8,4,18,No Brand,2026-05-05 18:34:13
Son Lì Agag Cây 6 Màu Cô Gái Ai Cập Tiện Lợi - Son Thỏi Siêu Lì 6 Màu Học Sinh Dành Cho Mọi Lứa Tuổi,2107451512,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Môi,https://www.lazada.vn/products/pdp-i2107451512.html,58000,4.5,2,12,No Brand,2026-05-05 18:34:13
Son Thỏi Miss Rose 3D siêu lì và mềm môi,1519837484,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Môi,https://www.lazada.vn/products/pdp-i1519837484.html,24900,4.9,62,417,No Brand,2026-05-05 18:34:13
"1 HỘP 12 THỎI-Son Môi Trái Bơ, Son Dưỡng Làm Mềm, Hồng Môi",3177390604,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Môi,https://www.lazada.vn/products/pdp-i3177390604.html,99000,5.0,3,15,No Brand,2026-05-05 18:34:13
son gấc thiên nhiên . son ko chì. an toàn   ko thâm môi  lì ko  lem ko trôi . dùng thử chắc chắn các c ưng ý liền  .,2009373997,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Môi,https://www.lazada.vn/products/pdp-i2009373997.html,55000,4.9,122,475,No Brand,2026-05-05 18:34:13
Combo 6 Cây Son Gió Thái Lan Jackelin _  Đỏ,1857537942,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Môi,https://www.lazada.vn/products/pdp-i1857537942.html,79000,4.8,267,1100,No Brand,2026-05-05 18:34:13
Son thỏi lì lâu trôi siêu mịn môi MISS ROSE,1677730244,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Môi,https://www.lazada.vn/products/pdp-i1677730244.html,24900,4.8,136,856,Miss Rose,2026-05-05 18:34:13
"(MS8) Son lì không trôi cao cấp , son môi đổi màu anh đào lên màu cực chuẩn, son phát sáng, son hồng đào... giúp bạn xinh đẹp, quyến rũ hơn",2485837724,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Môi,https://www.lazada.vn/products/pdp-i2485837724.html,22220,4.9,294,745,No Brand,2026-05-05 18:34:13
"Son Môi Dạng Bút Lì Không Thấm Nước, Lâu Trôi, Không Dính, Màu Nude, Son Tint Trang Điểm Môi, Mỹ Phẩm Trang Điểm Môi",3112092791,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Môi,https://www.lazada.vn/products/pdp-i3112092791.html,47250,4.8,22,44,No Brand,2026-05-05 18:34:13
"(S- BBull) Son Môi Nữ Hoàng AGAG 5 Màu Con Ong Honey , bền màu , màu tươi , ko lem trôi",3139183697,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Môi,https://www.lazada.vn/products/pdp-i3139183697.html,50000,0.0,0,0,No Brand,2026-05-05 18:34:13
Son lì Ai Cập 2 đầu 6 màu lên môi mỏng mịn,2150377630,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Môi,https://www.lazada.vn/products/pdp-i2150377630.html,65000,0.0,0,0,No Brand,2026-05-05 18:34:13
"Son Thỏi Lì Cappuvini Không Thấm Nước, Lâu Trôi, Siêu Lì, Siêu Mềm Mịn, Dưỡng Ẩm Môi, Cho Đôi Môi Đầy Đặn Quyến Rũ",2511300131,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Môi,https://www.lazada.vn/products/pdp-i2511300131.html,61047,4.8,367,1100,Cappuvini,2026-05-05 18:34:13
[HCM]Son Kem Lì Herorange Siêu Xinh Chất Mềm Và Mịn Môi Lên Màu Cực Chuẩn (SIÊU HOT),2358817750,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Môi,https://www.lazada.vn/products/pdp-i2358817750.html,16000,0.0,0,0,No Brand,2026-05-05 18:34:13
