title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Jill LEEN Kem má hồng bùn đỏ mặt màu tím sáng mở rộng dưỡng ẩm lâu dài,2982755115,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Phấn Má,https://www.lazada.vn/products/pdp-i2982755115.html,61260,0.0,0,23,No Brand,2026-05-05 21:24:02
Phấn Má Hồng 6 Màu Tùy Chọn Trang Điểm Tự Nhiên Phong Cách Hàn Quốc Cho Nữ,1528314403,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Phấn Má,https://www.lazada.vn/products/pdp-i1528314403.html,10000,0.0,0,25,No Brand,2026-05-05 21:24:02
Phấn má hồng nội địa kèm gương soi siêu xinh,2200573468,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Phấn Má,https://www.lazada.vn/products/pdp-i2200573468.html,15000,0.0,0,11,No Brand,2026-05-05 21:24:02
Má Hồng Dạng Kem Peripera Syrupy Tok Cheek (new),3111775504,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Phấn Má,https://www.lazada.vn/products/pdp-i3111775504.html,85000,3.7,9,40,Peripera,2026-05-05 21:24:02
"Phấn Má Hồng Face Blush, Phấn Má Siêu Mịn, Lên Màu Tự Nhiên, Lâu Trôi 3CE",2831775382,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Phấn Má,https://www.lazada.vn/products/pdp-i2831775382.html,138000,4.3,4,8,3CE,2026-05-05 21:24:02
Dorisna Blush Stick Không Thấm Nước làm sáng da mặt Đường Viền Bóng Blusher Lâu Dài Má trang điểm Hàn Quốc Mỹ Phẩm,2528351371,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Phấn Má,https://www.lazada.vn/products/pdp-i2528351371.html,43100,4.9,115,60,No Brand,2026-05-05 21:24:02
Phấn Má Hồng Phủ Sáng Lâu Trôi,3255718218,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Phấn Má,https://www.lazada.vn/products/pdp-i3255718218.html,144000,0.0,0,87,Flower Knows,2026-05-05 21:24:02
[HCM]Hộp má hồng 2 ngăn màu sắc đơn giản,1328360634,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Phấn Má,https://www.lazada.vn/products/pdp-i1328360634.html,8300,5.0,1,0,No Brand,2026-05-05 21:24:02
FOCALLURE Má hồng dạng kem Hangover Red Wine 4 màu đẹp tự nhiên,2641198114,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Phấn Má,https://www.lazada.vn/products/pdp-i2641198114.html,65900,5.0,236,741,Focallure,2026-05-05 21:24:02
Phấn Má Focallure Mịn Nhẹ Tự Nhiên Lâu Trôi Color Mix 2.8g,13358683780,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Phấn Má,https://www.lazada.vn/products/pdp-i13358683780.html,48000,0.0,0,0,Focallure,2026-05-05 21:24:02
Má Hồng Kem Maybelline Căng Mọng Bền Màu 12H 4.7ml Hasaki Sản Phẩm Chính Hãng,3020816914,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Phấn Má,https://www.lazada.vn/products/pdp-i3020816914.html,156000,4.8,13,63,Maybelline,2026-05-05 21:24:02
Phấn Má Hồng Lameila Gốm Vitality Blush - BUM STORE,935814468,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Phấn Má,https://www.lazada.vn/products/pdp-i935814468.html,21000,4.8,845,5500,No Brand,2026-05-05 21:24:02
"Phấn Má Hồng Bắt Sáng, Phấn Má Makup XIXI D511 Bảng Phấn 4 Màu Siêu Xinh, Hotrend, Nội Địa Trung",3134526358,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Phấn Má,https://www.lazada.vn/products/pdp-i3134526358.html,65000,0.0,0,0,XIXI,2026-05-05 21:24:02
"Phấn Má Hồng MEIDIAN Dạng Thỏi Hai Đầu – MEIDIAN Phấn Má Hồng Lâu Trôi, Chống Thấm Nước Với Tông Màu Tự Nhiên",3251195207,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Phấn Má,https://www.lazada.vn/products/pdp-i3251195207.html,135000,5.0,2,18,No Brand,2026-05-05 21:24:02
Phấn Má Hồng Fomix Light and Soft Powder Blusher Sự Trẻ Trung Thanh Lịch Tràn Đầy Sức Sống Đặc Biệt Thích Hợp Cho Người Mới Tập Trang Điểm,2254970120,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Phấn Má,https://www.lazada.vn/products/pdp-i2254970120.html,43200,4.9,89,335,FOMIX,2026-05-05 21:24:02
"Phấn Bắt Sáng Ánh Nhũ 3 Màu Trang Điểm Phấn Má Hồng, Phấn Tạo Khối, Highlight Maxfine Có Độ Bóng Cao, Tinh Tế, Tự Nhiên, Chống nước, Lâu Trôi, Nhỏ Gọn & Tiện Lợi",2563094751,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Phấn Má,https://www.lazada.vn/products/pdp-i2563094751.html,79000,5.0,19,34,No Brand,2026-05-05 21:24:02
Phấn Má Hồng Mịn Lì 3CE Mood Recipe Face Blush 5.5g Hasaki Sản Phẩm Chính Hãng,2728047695,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Phấn Má,https://www.lazada.vn/products/pdp-i2728047695.html,284000,4.9,44,221,3CE,2026-05-05 21:24:02
Dorisna thạch màu mặt Blush Stick giữ ẩm lâu trôi Matte Rouge má má hồng son thỏi Stick trang điểm đẹp,2638055019,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Phấn Má,https://www.lazada.vn/products/pdp-i2638055019.html,45700,4.9,29,87,No Brand,2026-05-05 21:24:02
Phấn Má Lameila Colour Geometry Vitality Blush Phiên Bản Mới Kiềm Dầu Bắt Sáng Lâu Trôi 5g,2329730417,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Phấn Má,https://www.lazada.vn/products/pdp-i2329730417.html,32840,4.8,32,69,Lameila,2026-05-05 21:24:02
[HCM]Má Hồng Esance 2 Tầng Việt Nam 16gram tặng cọ,272498451,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Phấn Má,https://www.lazada.vn/products/pdp-i272498451.html,45000,4.3,33,82,Lacvert Essance,2026-05-05 21:24:02
