title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
[XẢ KHO GIÁ GỐC] Kem DUAI 18SEC XXL hỗ trợ tăng kích cỡ nam nhanh chóng  - Tăng +7cm tự nhiên - giữ mãi,13341458585,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Cải Thiện & Chăm Sóc Cơ Thể,https://www.lazada.vn/products/pdp-i13341458585.html,79466,0.0,0,32,No Brand,2026-05-05 21:30:25
[hũ xanh] Kem Bôi Nấm Ngứa Hũ Ông Lão Xanh Bọ Cạp bôi nấm ngứa,3167360981,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Cải Thiện & Chăm Sóc Cơ Thể,https://www.lazada.vn/products/pdp-i3167360981.html,130000,0.0,0,27,No Brand,2026-05-05 21:30:25
Vòng tay chăm sóc cơ thể của nam giới Silicone Sport Power Vòng tay để cải thiện lưu thông máu S1-9LA-HOS-VN,3173839381,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Cải Thiện & Chăm Sóc Cơ Thể,https://www.lazada.vn/products/pdp-i3173839381.html,111000,4.0,1,0,HERORANGE,2026-05-05 21:30:25
"Kem Làm Ấm Cơ Thể YuTaKa, Cải Thiện Nhức Mỏi Cơ Thể & Xương KhớpL- Chiết Xuất Gừng, Ngãi Cứu, Dầu Đinh HươLàm- 50gram",13329216506,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Cải Thiện & Chăm Sóc Cơ Thể,https://www.lazada.vn/products/pdp-i13329216506.html,30000,4.2,5,63,No Brand,2026-05-05 21:30:25
Sữa Tắm Hết Mụn 260ml sữa tắm mụn lưng viêm nang lông Làm Trắng Mịn Da Dưỡng Ẩm Chăm Sóc Phục Hồi Da Cải thiện mụn,2663653025,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Cải Thiện & Chăm Sóc Cơ Thể,https://www.lazada.vn/products/pdp-i2663653025.html,62370,5.0,13,24,No Brand,2026-05-05 21:30:25
Xịt Thảo Dược Hết Đau Nhức Xương Khớp Trên Toàn Cơ Thể Cải Thiện Các Bệnh Viêm Phù Nề Sưng Tấy,2141539079,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Cải Thiện & Chăm Sóc Cơ Thể,https://www.lazada.vn/products/pdp-i2141539079.html,50000,4.9,335,1800,No Brand,2026-05-05 21:30:25
"Vitamin B1 lọ 1800 viên - Bổ sung vitamin B1, cải thiện tình trạng thiếu hụt vitamin nhóm B cho cơ thể",1525191704,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Cải Thiện & Chăm Sóc Cơ Thể,https://www.lazada.vn/products/pdp-i1525191704.html,59000,5.0,5,24,No Brand,2026-05-05 21:30:25
"(Combo 2 Chai) Dầu gió xanh lá bồ đề massage balm nhập khẩu Thái Lan 5ml Giảm đau Bụng , Đầu , đau Nhứt xướng Cơ Khớp Hiệu Quả",2408995993,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Cải Thiện & Chăm Sóc Cơ Thể,https://www.lazada.vn/products/pdp-i2408995993.html,55000,5.0,1,10,No Brand,2026-05-05 21:30:25
10 gói Cao dán con cọp 5 chữ 7 chữ giảm đau nhức mỏi hàng nội địa china,2873167422,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Cải Thiện & Chăm Sóc Cơ Thể,https://www.lazada.vn/products/pdp-i2873167422.html,50000,4.9,40,257,No Brand,2026-05-05 21:30:25
"SCORPION XT thể tích 1ml Công dụng: - Tăng bo siêu khủng, tải cựa tốt. - Chống sốc giảm đau giúp gà siêu lỳ đòn, gây đu bám cực tốt. - Cải thiện tốc độ & sức bật. - Bố sung khoáng chất giúp cơ bắp săn chắc top max",2866152490,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Cải Thiện & Chăm Sóc Cơ Thể,https://www.lazada.vn/products/pdp-i2866152490.html,195000,4.9,9,39,No Brand,2026-05-05 21:30:25
"Kem Ủ Trắng Body Cam Vũ Trụ 300g – Dưỡng Da Mềm Mịn, Hương Cam Nhẹ Dễ Chịu",13367386508,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Cải Thiện & Chăm Sóc Cơ Thể,https://www.lazada.vn/products/pdp-i13367386508.html,269000,0.0,0,0,No Brand,2026-05-05 21:30:25
