title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Máy Cạo Râu Mini Yandou SC-W301U Nhỏ Gọn Cắt Siêu Sắc Siêu Bền Pin Cực Trâu Có Thể Thay Lưỡi.,1505341939,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Cạo Râu Và Chăm Sóc,https://www.lazada.vn/products/pdp-i1505341939.html,82000,4.9,315,1200,No Brand,2026-05-05 21:59:02
Máy cạo râu nam giới nhỏ gọn Yandou,2028149456,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Cạo Râu Và Chăm Sóc,https://www.lazada.vn/products/pdp-i2028149456.html,120000,4.3,6,13,No Brand,2026-05-05 21:59:02
Máy cạo râu Panasonic mini ES-RS10 - Made in Japan - Nhập từ Nhật,2660297627,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Cạo Râu Và Chăm Sóc,https://www.lazada.vn/products/pdp-i2660297627.html,420000,4.3,24,91,No Brand,2026-05-05 21:59:02
New Máy cạo râu Flyco Poree sạc nhanh chống nước màn hình kỹ thuật số PS165 PS166 FS901 FS903,1227737747,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Cạo Râu Và Chăm Sóc,https://www.lazada.vn/products/pdp-i1227737747.html,389000,5.0,8,21,No Brand,2026-05-05 21:59:02
"Máy cạo râu A1 phong cách hàn cuốc ,máy nhỏ gọn dùng pin sạc",151599162,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Cạo Râu Và Chăm Sóc,https://www.lazada.vn/products/pdp-i151599162.html,118800,4.8,301,1500,No Brand,2026-05-05 21:59:02
"Dao cạo râu 5 lưỡi kèm hộp, dao cạo râu Đức cho nam kèm lưỡi dao sắc không đau rát cho da mặt, máy cạo râu ENO - DCR03",3259268383,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Cạo Râu Và Chăm Sóc,https://www.lazada.vn/products/pdp-i3259268383.html,64900,4.5,6,29,No Brand,2026-05-05 21:59:02
Máy cạo râu Km 2024 với 2 Lưỡi Dao Cạo Sát Không Rát Sạch Gọn,2277886097,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Cạo Râu Và Chăm Sóc,https://www.lazada.vn/products/pdp-i2277886097.html,239000,0.0,0,0,Kemei,2026-05-05 21:59:02
Máy cạo râu Kemei KM-2024,2487302310,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Cạo Râu Và Chăm Sóc,https://www.lazada.vn/products/pdp-i2487302310.html,229000,5.0,5,17,Kemei,2026-05-05 21:59:02
Máy cạo râu Yandou SC-W301U,2879937178,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Cạo Râu Và Chăm Sóc,https://www.lazada.vn/products/pdp-i2879937178.html,120652,4.5,4,24,No Brand,2026-05-05 21:59:02
"Dao cạo râu 3 lưỡi kèm hộp, dao cạo râu Đức cho nam kèm lưỡi dao sắc không đau rát cho da mặt, máy cạo râu ENO - DCR04",3259247601,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Cạo Râu Và Chăm Sóc,https://www.lazada.vn/products/pdp-i3259247601.html,60400,0.0,0,7,No Brand,2026-05-05 21:59:02
