title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Viên uống Glutathione Liposomal Bunkka dung tích 120 viên chăm sóc sức khỏe toàn diện,2935698771,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Chăm Sóc Sức Khỏe,https://www.lazada.vn/products/pdp-i2935698771.html,253000,0.0,0,60,No Brand,2026-05-05 20:57:42
Thực phẩm bảo vệ sức khỏe Enterogermina Gut Defense,3276418885,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Chăm Sóc Sức Khỏe,https://www.lazada.vn/products/pdp-i3276418885.html,193030,0.0,0,5800,No Brand,2026-05-05 20:57:42
Viên uống  Selenium tăng miễn dịch chống oxy hoá hỗ trợ sức khỏe tuyến giáp  250 mcg 200 viên,2637394118,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Chăm Sóc Sức Khỏe,https://www.lazada.vn/products/pdp-i2637394118.html,180000,0.0,0,154,No Brand,2026-05-05 20:57:42
Bộ Quà Tặng Chăm Sóc Làn Da Whoo Bichup Ultimate Recovery Youth Serum Advent Calendar - Cải Thiện Sức Khỏe Da Toàn Diện,2982489762,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Chăm Sóc Sức Khỏe,https://www.lazada.vn/products/pdp-i2982489762.html,1188000,0.0,0,0,No Brand,2026-05-05 20:57:42
Thực phẩm bảo vệ sức khỏe PREGNACARE BREAST-FEEDING,3289775577,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Chăm Sóc Sức Khỏe,https://www.lazada.vn/products/pdp-i3289775577.html,676400,0.0,0,10,No Brand,2026-05-05 20:57:42
"KẼM ADA (Hộp 60 viên) tăng cường sức khỏe, hỗ trợ tăng testosterone ,tăng sinh lực phái mạnh",3180971886,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Chăm Sóc Sức Khỏe,https://www.lazada.vn/products/pdp-i3180971886.html,185000,0.0,0,43,No Brand,2026-05-05 20:57:42
Viên uống vitamin tổng hợp PHAMAGEL PLUS (PHAGELVIT PLUS) tăng cường sức khỏe Hộp 100 viên,2804888327,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Chăm Sóc Sức Khỏe,https://www.lazada.vn/products/pdp-i2804888327.html,120000,0.0,0,21,No Brand,2026-05-05 20:57:42
"KẼM ADA (Hộp 90 viên không có quà). Hỗ trợ tăng cường sức khỏe nam giới,tăng testosterone,giảm mệt mỏi suy nhược",3181132258,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Chăm Sóc Sức Khỏe,https://www.lazada.vn/products/pdp-i3181132258.html,265000,0.0,0,92,No Brand,2026-05-05 20:57:42
🌟 NUTRIBOS – BÍ QUYẾT ĐÀN ÔNG KHỎE MẠNH 🌟( Hộp 4 viên xanh ),3206968293,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Chăm Sóc Sức Khỏe,https://www.lazada.vn/products/pdp-i3206968293.html,110000,0.0,0,9,No Brand,2026-05-05 20:57:42
Viên uống vitamin tổng hợp PHARMAGEL PLUS tăng cường sức khỏe Hộp 100 viên,2698361158,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Chăm Sóc Sức Khỏe,https://www.lazada.vn/products/pdp-i2698361158.html,93000,5.0,1,12,No Brand,2026-05-05 20:57:42
