title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Cây lăn massage ngón tay bi nam châm giảm mỏi ngón tay bấm huyệt thư giãn chăm sóc sức khỏe ENO - CM02,3236432990,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Chăm Sóc Tay,https://www.lazada.vn/products/pdp-i3236432990.html,51000,0.0,0,24,No Brand,2026-05-05 13:07:13
"Kem làm trắng da làm trắng nách cổ đầu gối vùng kín cả người làm trắng dưỡng ẩm Làm mờ hắc tố chăm sóc cơ thể 50ml,giây Hết Thâm Bẹn Thâm Gối Khuỷu Tay Chân",2744742913,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Chăm Sóc Tay,https://www.lazada.vn/products/pdp-i2744742913.html,55840,0.0,0,48,No Brand,2026-05-05 13:07:13
Kem dưỡng da tay Vaseline dưỡng ẩm dưỡng trắng da chống Lão Hóa 60g Hand Cream,2728861317,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Chăm Sóc Tay,https://www.lazada.vn/products/pdp-i2728861317.html,52353,0.0,0,355,No Brand,2026-05-05 13:07:13
Kem Dưỡng Da Tay Vaseline Dưỡng Ẩm Chống Lão Hóa Và Làm Trắng Da 60g Giúp Chăm Sóc Làm Mềm Mịn Da Tay,3075091063,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Chăm Sóc Tay,https://www.lazada.vn/products/pdp-i3075091063.html,51933,0.0,0,636,No Brand,2026-05-05 13:07:13
Găng Tay Silicon - Bao Tay Ủ Kem Dưỡng Chống Khô Nứt Nẻ Làm Mềm Da Cao Cấp Chăm Sóc Da tay - Tất Vớ Găng Tay Ủ Kem Co Giãn Tốt Chăm Sóc tay Mềm Mịn,3055241943,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Chăm Sóc Tay,https://www.lazada.vn/products/pdp-i3055241943.html,14515,0.0,0,74,No Brand,2026-05-05 13:07:13
Kem Dưỡng Da Tay Vaseline Chính Hãng Dưỡng Tay Mịn Trắng Hồng Hào Dưỡng Móng Đẹp 60g/Hand Care,2657406735,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Chăm Sóc Tay,https://www.lazada.vn/products/pdp-i2657406735.html,69160,0.0,0,235,No Brand,2026-05-05 13:07:13
Kem Dưỡng Da Tay Vaseline Dưỡng Ẩm Chống Lão Hóa Và Làm Trắng Da Giúp Chăm Sóc Làm Mềm Mịn Da Tay 60g,3074955549,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Chăm Sóc Tay,https://www.lazada.vn/products/pdp-i3074955549.html,56990,0.0,0,18,No Brand,2026-05-05 13:07:13
"Combo10 Kem tay dưỡng da tay cấp ẩm dưỡng ẩm trắng da tay, kem dưỡng da tay giúp dưỡng ẩm cho tay và mùi thơm dễ chịu",2072693210,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Chăm Sóc Tay,https://www.lazada.vn/products/pdp-i2072693210.html,59000,0.0,0,175,No Brand,2026-05-05 13:07:13
"Kem Bôi Hết Đau Nhức, Tê Bì Cổ Tay SUMIFUN Arthritis Cream  Hiệu Quả Tức Thì, Tiện Lợi 20g",1926962933,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Chăm Sóc Tay,https://www.lazada.vn/products/pdp-i1926962933.html,44878,0.0,0,4200,No Brand,2026-05-05 13:07:13
"[Bill Pháp] Kem Dưỡng Da Tay Eucerin Urea Repair Plus 5% Urea An Toàn, Lành Tính Cho Da Tay Khô Và Dễ Dị Ứng 75ML",2486539590,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Chăm Sóc Tay,https://www.lazada.vn/products/pdp-i2486539590.html,210000,0.0,0,0,No Brand,2026-05-05 13:07:13
Bóng Gai Cao Su Tập Cơ Tay Phục Hồi Chức Năng Sau Tai Biến,2378885478,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Chăm Sóc Tay,https://www.lazada.vn/products/pdp-i2378885478.html,15000,0.0,0,25,No Brand,2026-05-05 13:07:13
"Cao dán ngải cứu thảo dược 12 miếng hỗ trợ giảm đau gân cốt cổ tay, cổ chân, các khớp ngón tay",2292217412,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Chăm Sóc Tay,https://www.lazada.vn/products/pdp-i2292217412.html,38500,0.0,0,296,No Brand,2026-05-05 13:07:13
Kem dưỡng da tay và móng tay Vaseline Intensive Care 85g,1554546741,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Chăm Sóc Tay,https://www.lazada.vn/products/pdp-i1554546741.html,69000,0.0,0,8600,No Brand,2026-05-05 13:07:13
Kem dưỡng da tay， 30g phục hồi da tay chân dưỡng ẩm ngăn ngừa lão hóa trẻ hóa làn da làm trắng dưỡng ẩm khô da bong tróc ngạnh xỉn màu vàng đen,2989550964,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Chăm Sóc Tay,https://www.lazada.vn/products/pdp-i2989550964.html,39800,0.0,0,0,No Brand,2026-05-05 13:07:13
Nước rửa tay White Love 500ml,1831282644,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Chăm Sóc Tay,https://www.lazada.vn/products/pdp-i1831282644.html,26000,0.0,0,14300,No Brand,2026-05-05 13:07:13
DILI | Bột Tẩy Dầu Mỡ Cho Tay,3206971025,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Chăm Sóc Tay,https://www.lazada.vn/products/pdp-i3206971025.html,180000,0.0,0,5,No Brand,2026-05-05 13:07:13
🍀 Nước Rửa Tay Diệt Khuẩn 500ml 🍀,2825417048,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Chăm Sóc Tay,https://www.lazada.vn/products/pdp-i2825417048.html,23000,0.0,0,72,No Brand,2026-05-05 13:07:13
Kem Dưỡng Da Tay Tinh dầu Gardenia Neon Vitamin E Urê Dưỡng Ẩm Chống Lão Hóa Và Làm Trắng Da Giúp Chăm Sóc Làm Mềm Mịn Da Tay 300g,2661425691,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Chăm Sóc Tay,https://www.lazada.vn/products/pdp-i2661425691.html,70210,0.0,0,34,No Brand,2026-05-05 13:07:13
"Mặt Nạ Tay, Chân Dưỡng Ẩm, Dưỡng Trắng Da Tay Hiệu Quả Nicotinamide Perfect Moisturize Hand Mask",1676171048,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Chăm Sóc Tay,https://www.lazada.vn/products/pdp-i1676171048.html,6000,0.0,0,1300,No Brand,2026-05-05 13:07:13
Kem dưỡng trắng da tay Vaseline dưỡng ẩm chống Lão Hóa 60g/Hand cream,2654592122,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Chăm Sóc Tay,https://www.lazada.vn/products/pdp-i2654592122.html,54880,0.0,0,50,No Brand,2026-05-05 13:07:13
"Kem Bôi Gót Chân, Bàn Tay MAIGOOLE - Kem Dưỡng Tay Chân MAIGOOLE Cấp Ẩm, Làm Mềm Mịn, Xóa Nhăn Tay Chân",2959162330,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Chăm Sóc Tay,https://www.lazada.vn/products/pdp-i2959162330.html,139000,0.0,0,36,No Brand,2026-05-05 13:07:13
Kem Dưỡng Trắng Da Tay Giúp Da Mềm Mịn Cấp Ẩm Xóa Nhăn Mờ Thâm Sạm Bong Tróc Da 80g,2484254835,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Chăm Sóc Tay,https://www.lazada.vn/products/pdp-i2484254835.html,61272,0.0,0,141,No Brand,2026-05-05 13:07:13
"Lăn bi tay gỗ hương đỏ (1 cặp) hỗ trợ phục hồi chức năng cho người sau tai biến, người già",2366314329,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Chăm Sóc Tay,https://www.lazada.vn/products/pdp-i2366314329.html,38800,0.0,0,47,No Brand,2026-05-05 13:07:13
Kem dưỡng trắng da tay Tinh dầu Gardenia Neon Vitamin E Urê dưỡng ẩm chống Lão Hóa 300g,2661453488,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Chăm Sóc Tay,https://www.lazada.vn/products/pdp-i2661453488.html,68200,0.0,0,212,No Brand,2026-05-05 13:07:13
"COMBO 2 quả bi 5cm lăn tay Gỗ Thơm - Mát xa giúp dẻo tay, chống mỏi toàn diện - MH881 - HAHANCO",478804154,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Chăm Sóc Tay,https://www.lazada.vn/products/pdp-i478804154.html,90000,0.0,0,363,No Brand,2026-05-05 13:07:13
"Kem Tan U Mỡ, Bướu Mỡ, Mỡ Thừa Bắp tay chân,  tinh chất thảo dược thiên nhiên giúp da khỏe thẩm mỹ, cam kết hiệu quả",1987069377,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Chăm Sóc Tay,https://www.lazada.vn/products/pdp-i1987069377.html,112000,0.0,0,552,No Brand,2026-05-05 13:07:13
