title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Kem ủ giúp phục hồi tóc hư tổn Olaplex No.3 Hair Perfector,2338433359,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Chăm Sóc Tóc Chuyên Sâu,https://www.lazada.vn/products/pdp-i2338433359.html,823000,4.9,211,1000,Olaplex,2026-05-05 18:39:31
SPECIAL COMBO 2 chai Nước Dưỡng Tóc Tinh Dầu Bưởi Cocoon 140ml - tặng dầu gội bưởi 310ml,2407851544,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Chăm Sóc Tóc Chuyên Sâu,https://www.lazada.vn/products/pdp-i2407851544.html,306000,5.0,411,2000,the COCOON ORIGINAL VIETNAM,2026-05-05 18:39:31
Kem Ủ Tóc Cao Cấp Fino Phục Hồi Hư Tổn Premium Touch 230g,2132878068,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Chăm Sóc Tóc Chuyên Sâu,https://www.lazada.vn/products/pdp-i2132878068.html,154000,5.0,539,2700,FINO,2026-05-05 18:39:31
"Xịt Dưỡng Tóc Thơm Nước Hoa Tinh Chất Geleimei Chăm Sóc Tóc Chuyên Sâu Hương Thơm Dịu Nhẹ Cải Thiện Tóc Xoăn, Chẻ Ngọn, Khô Cứng, Chăm Sóc Và Dưỡng Ẩm Tóc 60ML",2507305273,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Chăm Sóc Tóc Chuyên Sâu,https://www.lazada.vn/products/pdp-i2507305273.html,61047,4.9,369,1200,No Brand,2026-05-05 18:39:31
"MOROCCANOIL Tinh Dầu Dưỡng Tóc Moroccanoil Original - Light Đủ Size 💖 Dầu Dưỡng Tóc Chính Hãng 💖 Dưỡng Ẩm, Chăm Sóc #tinhdau",1790347980,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Chăm Sóc Tóc Chuyên Sâu,https://www.lazada.vn/products/pdp-i1790347980.html,179000,5.0,561,3400,Morocanoil,2026-05-05 18:39:31
Tonic Michi xịt kích thích mọc tóc cung cấp dưỡng chất cho da đầu 100ml hàng chính hãng Hàn Quốc,2474524449,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Chăm Sóc Tóc Chuyên Sâu,https://www.lazada.vn/products/pdp-i2474524449.html,550000,5.0,4,16,No Brand,2026-05-05 18:39:31
Mặt nạ hấp chăm sóc tóc hư tổn Nounou Davines Hair Mask 250ml,2176149086,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Chăm Sóc Tóc Chuyên Sâu,https://www.lazada.vn/products/pdp-i2176149086.html,199000,5.0,17,37,Fanola,2026-05-05 18:39:31
Kem Ủ Double Rich Chăm Sóc Chuyên Sâu Dành Cho Tóc Nhuộm 150G,3054964813,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Chăm Sóc Tóc Chuyên Sâu,https://www.lazada.vn/products/pdp-i3054964813.html,76000,5.0,3,6,Double Rich,2026-05-05 18:39:31
"Kem Ủ Dưỡng Tóc Chắc Khỏe, Óng Ả U'ROSE Giảm Khô Xơ 200ML - Kem U'ROSE Chăm Sóc Tóc Chuyên Sâu Bảo Vệ Tóc",2910419027,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Chăm Sóc Tóc Chuyên Sâu,https://www.lazada.vn/products/pdp-i2910419027.html,129000,5.0,5,15,No Brand,2026-05-05 18:39:31
"[CHĂM SÓC TÓC] Tinh Dầu Dưỡng Tóc JCKOO Perfect Repair 70ml Chiết Xuất Từ Thiên Nhiên – Chăm Sóc Tóc Chuyên Sâu, Phục Hồi Tóc Hư Tổn, Giúp Tóc Đẹp Suôn Mượt, Bồng Bềnh",2288724130,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Chăm Sóc Tóc Chuyên Sâu,https://www.lazada.vn/products/pdp-i2288724130.html,45815,5.0,1,10,No Brand,2026-05-05 18:39:31
