title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"❄️HÀNG LOẠI 1❄️ Gối Băng Lạnh Gòn Nhập Khẩu Microfier Cao Cấp Êm Mềm, Thoáng Khí _ Ship Hỏa Tốc HCM",3112697361,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Gói Khuyến Mãi,https://www.lazada.vn/products/pdp-i3112697361.html,102935,4.8,266,778,No Brand,2026-05-05 16:45:39
(combo 50 gói x5ml hàng khuyến mãi) Dầu xả dưỡng tóc Selsun,2380060626,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Gói Khuyến Mãi,https://www.lazada.vn/products/pdp-i2380060626.html,43000,5.0,82,380,Selsun,2026-05-05 16:45:39
50 gói dầu gội clear thảo dược/ clear bạc hà/Thái Dương 3 (Hàng khuyến mãi),252526981,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Gói Khuyến Mãi,https://www.lazada.vn/products/pdp-i252526981.html,84000,4.9,570,2000,No Brand,2026-05-05 16:45:39
[HCM][KHUYẾN MÃI] 10 gói muối  sấy Ngọc Yến loại 250g,916474306,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Gói Khuyến Mãi,https://www.lazada.vn/products/pdp-i916474306.html,209000,5.0,12,62,Dược Liệu Tuệ Tâm,2026-05-05 16:45:39
"Set 3 Chai Sữa tắm Lifebuoy Chăm Sóc Chuyên Sâu, giúp detox sạch sâu và giảm mụn trên da chai 100g - Hàng khuyến mãi",2901367866,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Gói Khuyến Mãi,https://www.lazada.vn/products/pdp-i2901367866.html,49000,5.0,12,45,No Brand,2026-05-05 16:45:39
Dây 14 Gói Dầu Gội Nước Hoa XMen Wood tuỳ đợt khuyến mãi,1901160399,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Gói Khuyến Mãi,https://www.lazada.vn/products/pdp-i1901160399.html,12390,5.0,1,0,No Brand,2026-05-05 16:45:39
BVS Diana Sensi Cool Fresh siêu mỏng cánh gói 8 miếng/ 20 miếng 23cm - hàng khuyến mãi,252555862,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Gói Khuyến Mãi,https://www.lazada.vn/products/pdp-i252555862.html,22000,4.9,100,797,Diana,2026-05-05 16:45:39
[QUÀ TẶNG KHÔNG BÁN] Gói Khuyến Mãi THE FUCOIDAN - Chiết xuất 100% Tảo nâu Okinawa Nhật Bản,1629299414,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Gói Khuyến Mãi,https://www.lazada.vn/products/pdp-i1629299414.html,1000000,5.0,1,0,Waki Pharma,2026-05-05 16:45:39
Khuyến mãi toàn diện 65 Gói trà dưỡng ẩm thường ngày Bishengyuan   2.5g/ Túi   Trà nhuận tràng có nhiều kích cỡ.  65 Bags  Authentic Bishengyuan Changrun Tea,13386067543,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Gói Khuyến Mãi,https://www.lazada.vn/products/pdp-i13386067543.html,486544,0.0,0,0,No Brand,2026-05-05 16:45:39
"Gối Massage Cổ Vai Gáy Chống Đau Mỏi Chất Liệu Cotton Dệt Kim, Gối Ngủ Gối Spa Cao Cấp",2398704667,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Tóc,Gói Khuyến Mãi,https://www.lazada.vn/products/pdp-i2398704667.html,64872,4.8,1039,4300,No Brand,2026-05-05 16:45:39
