title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Dao cạo râu Max3,  Max SIRROKO Lưỡi 3s/ Giá 1 bịch 5 cây",2138921743,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Dao Cạo,https://www.lazada.vn/products/pdp-i2138921743.html,24837,0.0,0,403,No Brand,2026-05-05 17:31:45
"Dao cạo lông mày, Dao cạo mặt cho nữ Lameila Hộp 3 cái lưỡi dao bằng thép không gỉ an toàn cho da - BUM STORE",244266897,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Dao Cạo,https://www.lazada.vn/products/pdp-i244266897.html,34000,0.0,0,2800,No Brand,2026-05-05 17:31:45
dao cạo râu cổ điển Ming shi 2000S,2804901294,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Dao Cạo,https://www.lazada.vn/products/pdp-i2804901294.html,169000,0.0,0,5,No Brand,2026-05-05 17:31:45
Máy cạo râu điện nhỏ cạo độ bền lâu dài có thể giặt gắn trên xe di động cho nam,3125969074,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Dao Cạo,https://www.lazada.vn/products/pdp-i3125969074.html,36000,0.0,0,17,No Brand,2026-05-05 17:31:45
dao cạo râu inox cổ điển chính hãng cao cấp NJ,1728466224,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Dao Cạo,https://www.lazada.vn/products/pdp-i1728466224.html,39500,0.0,0,31,No Brand,2026-05-05 17:31:45
Dao Cạo Râu 6 Tầng Lưỡi Cao Cấp,3225710226,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Dao Cạo,https://www.lazada.vn/products/pdp-i3225710226.html,11000,0.0,0,7,No Brand,2026-05-05 17:31:45
Dao cạo râu cổ điển cao cấp đồng nguyên khối,689338719,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Dao Cạo,https://www.lazada.vn/products/pdp-i689338719.html,285000,0.0,0,389,No Brand,2026-05-05 17:31:45
Dao cạo râu chuyên nghiệp + Hộp 10 dao lam hai mặt,536276330,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Dao Cạo,https://www.lazada.vn/products/pdp-i536276330.html,69000,0.0,0,2100,No Brand,2026-05-05 17:31:45
"Dao Cạo Râu Cổ Điển Barber, Dao Cạo Mặt cán nhựa, inox cao cấp lưỡi rút thay thế gấp gọn thép không gỉ chuyên dùng cho thợ",1559506898,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Dao Cạo,https://www.lazada.vn/products/pdp-i1559506898.html,37514,0.0,0,312,No Brand,2026-05-05 17:31:45
"Dụng cụ cắt tỉa lông mũi xoay 360 độ, dao cạo lông mũi 2 đầu thông minh",2921010994,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Dao Cạo,https://www.lazada.vn/products/pdp-i2921010994.html,19800,4.9,14,100,No Brand,2026-05-05 17:31:45
Dao cạo lông mặt- cạo râu cán nhôm (Siêu nhẹ),2040880572,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Dao Cạo,https://www.lazada.vn/products/pdp-i2040880572.html,33900,4.5,8,42,No Brand,2026-05-05 17:31:45
"Dao cạo nữ, dao cạo vùng kín bikini, cạo lông toàn thân cho nữ NEVAKI 5 lưỡi",2866302775,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Dao Cạo,https://www.lazada.vn/products/pdp-i2866302775.html,44550,5.0,26,147,NEVAKI,2026-05-05 17:31:45
Dao Cạo Cán Nhựa Thân Inox Không Gỉ Cao Cấp Chuyên Nam Barber Razor Stainless steel shaving - KVD0740,2290432908,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Dao Cạo,https://www.lazada.vn/products/pdp-i2290432908.html,30000,5.0,1,17,No Brand,2026-05-05 17:31:45
Set 2 Dao Cạo Vùng Bikini KAI  | Hasaki | Sản phẩm chính hãng,1909801540,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Dao Cạo,https://www.lazada.vn/products/pdp-i1909801540.html,39000,5.0,87,484,AKAI,2026-05-05 17:31:45
