title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Tăng cân Ying Yang Wan ( Dinh dưỡng hoàn ) xuất xứ Hồng Kong - Mã 1534,3162513100,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Dinh Dưỡng Thể Thao,https://www.lazada.vn/products/pdp-i3162513100.html,160000,0.0,0,35,No Brand,2026-05-05 14:43:31
"Flash sale Whey protein siêu tăngcơ, giảmmỡ, Whey Lực Sĩ 4 dòng, túi 1kg",3112740502,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Dinh Dưỡng Thể Thao,https://www.lazada.vn/products/pdp-i3112740502.html,345000,0.0,0,83,No Brand,2026-05-05 14:43:31
Gói Dùng Thử Whey Protein ISO HD Isolate,2222712817,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Dinh Dưỡng Thể Thao,https://www.lazada.vn/products/pdp-i2222712817.html,550000,4.9,29,87,BPI Sports,2026-05-05 14:43:31
Bột Rule 1 - Clean Gainer (9.85 Lbs Lbs) - Bổ sung dinh dưỡng tăng cân lành mạnh Chính Hãng,3165984351,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Dinh Dưỡng Thể Thao,https://www.lazada.vn/products/pdp-i3165984351.html,2596000,5.0,1,0,No Brand,2026-05-05 14:43:31
(Túi 1kg) CRITICAL MASS 1KG Applied Nutrition - Sữa tăng cân tăng cơ,2491005690,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Dinh Dưỡng Thể Thao,https://www.lazada.vn/products/pdp-i2491005690.html,650000,0.0,0,0,APPLIED NUTRITION,2026-05-05 14:43:31
[Tặng Bình Lắc Shaker] [Vị Mango] Ostrovit Creatine Monohydrate (Gói Dùng Thử) - Thế Giới Whey,3280399318,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Dinh Dưỡng Thể Thao,https://www.lazada.vn/products/pdp-i3280399318.html,280000,5.0,1,5,Ostrovit,2026-05-05 14:43:31
"Muscle Mass Gainer 5.45kg 12Lbs - Sữa tăng cân cho người gầy hiệu quả, bổ sung thành phần dinh dưỡng hoàn chỉnh, an toàn",535496799,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Dinh Dưỡng Thể Thao,https://www.lazada.vn/products/pdp-i535496799.html,529500,4.7,40,233,Labrada,2026-05-05 14:43:31
"Athleo Pro Whey Protein Mass Builder 1KG - Tăng Cân và Tăng Cơ, Hỗ Trợ Luyện Tập, Hộp Đơn",2627668584,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Dinh Dưỡng Thể Thao,https://www.lazada.vn/products/pdp-i2627668584.html,345000,4.7,57,206,"Athleopro , Whey Lực Sĩ",2026-05-05 14:43:31
Sữa Dưỡng Thể Vaseline Healthy Bright Gluta HYA Serum 10X Thái Lan 300ml,2927988825,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Dinh Dưỡng Thể Thao,https://www.lazada.vn/products/pdp-i2927988825.html,99000,4.7,16,31,No Brand,2026-05-05 14:43:31
Ostrovit Creatine Tăng Sức Mạnh Cơ Bắp Chuyển Hóa Năng lượng Đốt Mỡ Ostrovit Creatine Monohydrate 500g/300g/1000g,2603226219,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Chức Năng,Dinh Dưỡng Thể Thao,https://www.lazada.vn/products/pdp-i2603226219.html,449000,5.0,10,61,Ostrovit,2026-05-05 14:43:31
