title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"❄️HÀNG LOẠI 1❄️ Gối Băng Lạnh Gòn Nhập Khẩu Microfier Cao Cấp Êm Mềm, Thoáng Khí _ Ship Hỏa Tốc HCM",3112697361,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Gói Khuyến Mãi,https://www.lazada.vn/products/pdp-i3112697361.html,102935,0.0,0,778,No Brand,2026-05-05 21:00:47
"Gói trà Atiso100 túi lọc đặc sản Đà Lạt (gói màu xanh lá) giúp mát gan, lợi tiểu, ngủ ngon, đẹp da, tốt cho sức khỏe của bạn, mang lại cho bạn vóc đang chuẩn thanh lọc cơ thể",1457804015,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Gói Khuyến Mãi,https://www.lazada.vn/products/pdp-i1457804015.html,68000,0.0,0,9000,No Brand,2026-05-05 21:00:47
(combo 50 gói x5ml hàng khuyến mãi) Dầu xả dưỡng tóc Selsun,2380060626,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Gói Khuyến Mãi,https://www.lazada.vn/products/pdp-i2380060626.html,43000,0.0,0,380,No Brand,2026-05-05 21:00:47
50 gói dầu gội clear thảo dược/ clear bạc hà/Thái Dương 3 (Hàng khuyến mãi),252526981,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Gói Khuyến Mãi,https://www.lazada.vn/products/pdp-i252526981.html,84000,0.0,0,2000,No Brand,2026-05-05 21:00:47
"Gối Massage Cổ Vai Gáy Chống Đau Mỏi Chất Liệu Cotton Dệt Kim, Gối Ngủ Gối Spa Cao Cấp",2398704667,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Gói Khuyến Mãi,https://www.lazada.vn/products/pdp-i2398704667.html,64872,4.8,1039,4300,No Brand,2026-05-05 21:00:47
Ngũ cốc Yến mạch Maccereal (Bịch 20 gói x 24gr) - Hàng tách khuyến mãi có dính keo,2243901933,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Gói Khuyến Mãi,https://www.lazada.vn/products/pdp-i2243901933.html,66999,4.9,70,388,Maccoffee,2026-05-05 21:00:47
"Gói 1kg - Phân Đạm Ure, Đạm Phú Mỹ, Đạm Trắng thúc đẩy tăng trưởng, nâng cao năng suất cây trồng",3087627223,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Gói Khuyến Mãi,https://www.lazada.vn/products/pdp-i3087627223.html,30000,0.0,0,0,No Brand,2026-05-05 21:00:47
Combo 2 Ruột Gối Nằm Sợi Tơ Gòn Size 50x70cm cao cấp Hilton êm ái bông gòn kháng khuẩn chuẩn khách sạn 5 sao - ADU79,3134842601,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Gói Khuyến Mãi,https://www.lazada.vn/products/pdp-i3134842601.html,65000,4.5,6,31,No Brand,2026-05-05 21:00:47
"COMBO 2 chiếc gối nằm gòn 40x60cm cao cấp, cặp gối nằm gòn 3D siêu êm cam kết hàng chuẩn",2073274283,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Gói Khuyến Mãi,https://www.lazada.vn/products/pdp-i2073274283.html,49000,4.7,426,1500,No Brand,2026-05-05 21:00:47
gói 355 hạt giống cây hoa thược dược lùn siêu đẹp giá rẻ khuyến mãi giảm giá đặc biệt,2343872018,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Gói Khuyến Mãi,https://www.lazada.vn/products/pdp-i2343872018.html,98999,0.0,0,0,No Brand,2026-05-05 21:00:47
[Quà tặng không bán] Gói khuyến mãi 12 viên KIDNEY & MEN'S - Bí quyết dưỡng thận và sinh lý nam từ Nhật Bản,1900457029,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Gói Khuyến Mãi,https://www.lazada.vn/products/pdp-i1900457029.html,500000,0.0,0,0,Waki Pharma,2026-05-05 21:00:47
