title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
[MUA LÀ CÓ QUÀ] Sữa Chống Nắng Anessa Dưỡng Da Kiềm Dầu 60ml (Bản Mới) Perfect UV Sunscreen Skincare Milk N SPF50+ PA++++ Hasaki Sản Phẩm Chính Hãng,1968847147,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Kem Chống Nắng,https://www.lazada.vn/products/pdp-i1968847147.html,213000,0.0,0,1200,No Brand,2026-05-05 17:37:03
Kem Chống Nắng L’Oreal Paris UV Defender SPF50+ PA++++ 50ml Hasaki Sản Phẩm Chính Hãng,2320537992,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Kem Chống Nắng,https://www.lazada.vn/products/pdp-i2320537992.html,272000,0.0,0,697,No Brand,2026-05-05 17:37:03
🔥100% hàng thật🔥Kem chống nắng La Roche-Posay UVMune 400 SPF 50+ Oil Control Cream bảo vệ tia UV kiểm soát dầu 50ml,3140267472,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Kem Chống Nắng,https://www.lazada.vn/products/pdp-i3140267472.html,223226,4.9,16,69,No Brand,2026-05-05 17:37:03
Kem Chống Nắng Nâng Tone GC Nature Sun Cream SPF 50+ PA++++ 60ml Hàn Quốc Chính Hãng,2702815316,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Kem Chống Nắng,https://www.lazada.vn/products/pdp-i2702815316.html,89582,5.0,1,39,No Brand,2026-05-05 17:37:03
"Xả Hàng Cắt Lỗ Kem Chống Nắng Nâng Tone Da Tạo Lớp Makeup Mỏng Nhẹ 60g, kcn Dạng Gel Sữa Thấm Nhanh Không Bết Dính",3116767750,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Kem Chống Nắng,https://www.lazada.vn/products/pdp-i3116767750.html,27450,5.0,40,252,No Brand,2026-05-05 17:37:03
"Kem chống nắng Sunplay cực mạnh, ngừa đen sạm da hiệu quả dạng sữa Sunplay Super Block SPF 50+, PA++++ 30g",101087289,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Kem Chống Nắng,https://www.lazada.vn/products/pdp-i101087289.html,92000,5.0,2634,15700,Sunplay,2026-05-05 17:37:03
Kem chống nắng không gây nhờn rít Vichy Ideal Soleil Dry Touch SPF 50 Chống Tia UVA + UVB 50ml,467418922,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Kem Chống Nắng,https://www.lazada.vn/products/pdp-i467418922.html,68000,4.6,105,494,Vichy,2026-05-05 17:37:03
"Kem chống nắng nâng tông Skin Aqua Tone up Lavender cho da tối màu & da vàng, dạng tinh chất Sunplay Skin Aqua Tone Up UV Essence Lavender SPF 50+ PA++++ 50g",3138212451,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Kem Chống Nắng,https://www.lazada.vn/products/pdp-i3138212451.html,83955,0.0,0,6,Sunplay,2026-05-05 17:37:03
[5.5 MUA LÀ CÓ QUÀ] Kem Chống Nắng Skin1004 Cho Da Nhạy Cảm SPF 50+ 50ml Madagascar Centella Air-Fit Suncream Plus SPF50+ PA++++ Hasaki Sản Phẩm Chính Hãng,1872507756,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Kem Chống Nắng,https://www.lazada.vn/products/pdp-i1872507756.html,288000,5.0,870,3400,SKIN1004,2026-05-05 17:37:03
Kem Chống Nắng Innisfree Tone Up Màu Hồng SPF 35++ Nâng Tone Da  Kiềm Dầu 50ml - Kisoha COSMETIC,2509695876,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Kem Chống Nắng,https://www.lazada.vn/products/pdp-i2509695876.html,95000,0.0,0,0,Kisoha,2026-05-05 17:37:03
