title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Combo 2 Kem Dưỡng Ẩm Hằng Ngày BEPANTHEN Sensidaily Tuýp 200ml x2 Dành Cho Da Khô, Nhạy Cảm và Dễ Bị Chàm",1776074385,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Kem Dưỡng Ẩm Nam,https://www.lazada.vn/products/pdp-i1776074385.html,1530000,0.0,0,238,No Brand,2026-05-05 21:05:19
Kem dưỡng ẩm đa năng 5 trong 1 kiểm soát dầu nhờn cho nam Men Stay Simplicity 5 in 1 Facial Moisturizer 80g,1699985395,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Kem Dưỡng Ẩm Nam,https://www.lazada.vn/products/pdp-i1699985395.html,230000,5.0,164,544,Men Stay Simplicity,2026-05-05 21:05:19
Kem xóa nếp nhăn nhanh chóng chống lão hoá làm trắng da 5 giây loại bỏ nếp nhăn 50g nhanh chóng làm mịn nếp nhăn nâng cơ và săn chắc da mặt làm mịn và dưỡng ẩm se lỗ chân lông thông dụng cho mọi loại da nam và nữ,2873924713,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Kem Dưỡng Ẩm Nam,https://www.lazada.vn/products/pdp-i2873924713.html,104052,4.7,58,163,No Brand,2026-05-05 21:05:19
Kem Dưỡng Ẩm Phục Hồi Da B5 La- Roche,1780026431,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Kem Dưỡng Ẩm Nam,https://www.lazada.vn/products/pdp-i1780026431.html,35000,4.9,63,506,No Brand,2026-05-05 21:05:19
"Mẫu mới Kem Dưỡng Da, dưỡng ẩm Nivea Men Cho Nam-150ml xách tay Đức",210481969,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Kem Dưỡng Ẩm Nam,https://www.lazada.vn/products/pdp-i210481969.html,239000,4.9,194,1100,NIVEA,2026-05-05 21:05:19
"Kem Urea 45g 42% Với Axit Salicylic, Kem Dưỡng Ẩm Chuyên Sâu Cho Tay Và Chân, Dành Cho Da Khô Cực Kỳ, Giao Hàng Nhanh, Chăm Sóc Chân",3294014261,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Kem Dưỡng Ẩm Nam,https://www.lazada.vn/products/pdp-i3294014261.html,57750,5.0,5,957,No Brand,2026-05-05 21:05:19
Làm trắng vĩnh viễn Kem làm trắng da mặt Kem dưỡng ẩm tối ưu Kem làm mờ vết thâm làm trắng da Serum xóa vết thâm làm sáng da giảm đốm tàn nhang Kem dưỡng da mặt,3081368250,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Kem Dưỡng Ẩm Nam,https://www.lazada.vn/products/pdp-i3081368250.html,69600,4.8,99,273,No Brand,2026-05-05 21:05:19
Kem Dưỡng Da Ngừa Mụn Giảm Nhăn Giảm lỗ Chân Lông To Dành Cho Nam Giới moisturizing lotion for Men 120gm Bảo Vệ Da Dưới Ánh Nắng Mặt Trời Dưỡng Ẩm Cho Da Thu Nhỏ Lỗ Chân Lông,1961862139,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Kem Dưỡng Ẩm Nam,https://www.lazada.vn/products/pdp-i1961862139.html,48000,4.8,393,1500,No Brand,2026-05-05 21:05:19
"Kem Urea 60% Làm Mềm Và Dưỡng Ẩm Cho Da Khô Ráp, Dày, Lý Tưởng Cho Chân, Đầu Gối, Khuỷu Tay - Kem Dưỡng Thể 150g Dùng Được Cho Cả Nam Và Nữ",3272274303,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Kem Dưỡng Ẩm Nam,https://www.lazada.vn/products/pdp-i3272274303.html,96000,5.0,1,21,No Brand,2026-05-05 21:05:19
"【Mua 2 tặng 1】Kem Dưỡng Da Kem làm trắng da Mặt Dành Cho Nam Giới Dưỡng Ẩm, Nâng Cơ, Làm Sáng Da, Đều Màu Da, Sạch Mụn Và Làm Mờ Nếp Nhăn Da Mặt",3194847389,lazada,Sức Khỏe & Làm Đẹp,Dành Cho Nam Giới,Kem Dưỡng Ẩm Nam,https://www.lazada.vn/products/pdp-i3194847389.html,59800,3.5,2,14,No Brand,2026-05-05 21:05:19
