title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"(Mua 10 tặng 1) Mặt nạ trái cây Bioaqua Nội địa Trung, giúp cấp ẩm tức thì, giúp da sáng mịn",1715398717,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Mặt,https://www.lazada.vn/products/pdp-i1715398717.html,4900,4.8,6,245,Bioaqua,2026-05-08 21:10:06
COMBO 50 miếng mặt nạ dưỡng da tinh chất trái cây nhiều mẫu cấp ẩm dưỡng trắng da giảm nếp nhăn giảm lão hoá giảm mụn th,3080334930,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Mặt,https://www.lazada.vn/products/pdp-i3080334930.html,109000,5.0,5,32,No Brand,2026-05-08 21:10:06
"Mặt Nạ Thạch Giúp Dưỡng Sáng Da Medicube PDRN Pink Collagen, Kojic Acid Turmeric Brightening Gel  TẶNG KÈM MEDICUBE One Day Exosome Shot 2000 30ml",3148564913,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Mặt,https://www.lazada.vn/products/pdp-i3148564913.html,286400,5.0,2,11,No Brand,2026-05-08 21:10:06
[ Sur.Medic] Mặt Nạ Phục Hồi Dưỡng Trắng Da - Full Hộp (10 miếng),2325746721,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Mặt,https://www.lazada.vn/products/pdp-i2325746721.html,272000,5.0,10,40,No Brand,2026-05-08 21:10:06
Mặt Nạ Lăn Trà Xanh Giúp Da Trắng Mịn Sạch Mụn Se Khít Lỗ Chân Lông Cân Bằng Ẩm Loại Bỏ Mụn Đầu Đen Và Sợi Bã Nhờn Dầu Nhờn Trên Da,2637857557,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Mặt,https://www.lazada.vn/products/pdp-i2637857557.html,49000,4.7,60,197,No Brand,2026-05-08 21:10:06
Mặt nạ thạch Medicube 28g Hàn Quốc - TẶNG KÈM MEDICUBE One Day Exosome Shot 2000 30ml,3149703831,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Mặt,https://www.lazada.vn/products/pdp-i3149703831.html,253520,5.0,5,20,No Brand,2026-05-08 21:10:06
"Hộp 5 Mặt Nạ Nâng Cơ Mặt MoxiegirlZ Cao Cấp Làm Căng Da Và Giảm Nếp Nhăn Tạo Cầm V-Line, Giúp Tái Tạo Làn Da Tươi Trẻ Và Rạng Rỡ",2407926646,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Mặt,https://www.lazada.vn/products/pdp-i2407926646.html,140000,4.8,56,252,No Brand,2026-05-08 21:10:06
Hộp 20 Gói Mặt Nạ Ngủ Đông Trùng Hạ Thảo SAMANLI,3002362470,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Mặt,https://www.lazada.vn/products/pdp-i3002362470.html,25000,5.0,5,45,No Brand,2026-05-08 21:10:06
[HCM](Hàng Mới Về) Mặt Nạ Bùn Trà Xanh Làm Sạch Mụn Đầu Đen Kiềm Dầu Làm Sáng Da Fenyi 100g,872410185,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Mặt,https://www.lazada.vn/products/pdp-i872410185.html,48000,4.8,652,3000,No Brand,2026-05-08 21:10:06
"CHÍNH HÃNG 💯Mặt nạ Vàng 24k Gold mask L-Glutathione 220ml Giúp da mịn màng, trẻ trυng và trắng sáng tự nhiên chính Hãng Hàn Quốc",2553874831,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Mặt,https://www.lazada.vn/products/pdp-i2553874831.html,77900,5.0,1,11,No Brand,2026-05-08 21:10:06
