title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Phấn Phủ Kiềm Dầu Perfect Diary Weightless Soft-Velvet Blurring Loose Powder 7g .#03,2399101036,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Phấn Phủ,https://www.lazada.vn/products/pdp-i2399101036.html,193000,0.0,0,775,No Brand,2026-05-05 20:29:57
"Phấn phủ nén GECOMO Giúp Làn Da mịn, nền lì, lâu trôi 20g",3274267492,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Phấn Phủ,https://www.lazada.vn/products/pdp-i3274267492.html,45000,5.0,0,41,No Brand,2026-05-05 20:29:57
[HCM]Phấn phủ kiềm dầu siêu mịn Images giúp da trắng sáng mịn màng - TONE TRẮNG SÁNG,471204799,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Phấn Phủ,https://www.lazada.vn/products/pdp-i471204799.html,26600,4.9,1624,8600,No Brand,2026-05-05 20:29:57
"Phấn phủ siêu mịn Catalina Geo Pact với các hạt phấn chứa Vitamin dễ dàng bám đều lên da, che phủ lỗ chân lông",3080981387,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Phấn Phủ,https://www.lazada.vn/products/pdp-i3080981387.html,69000,0.0,0,0,No Brand,2026-05-05 20:29:57
"Phấn Phủ Perfect Diary Kiềm Dầu, Ngăn Thấm Nước 7g Hasaki Sản Phẩm Chính Hãng",2543752797,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Phấn Phủ,https://www.lazada.vn/products/pdp-i2543752797.html,199000,4.9,36,188,Hasaki,2026-05-05 20:29:57
[HCM]Phấn trang điểm Ponds hộp tròn - MỊN SÁNG HỒNG,256667868,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Phấn Phủ,https://www.lazada.vn/products/pdp-i256667868.html,35000,4.7,438,2400,Pond's,2026-05-05 20:29:57
Phấn Phủ Teddy Bear Matte Long-lasting Separate Shell Core Makeup Fixing Powder Concealer Oil Control Beauty Tool,2722941679,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Phấn Phủ,https://www.lazada.vn/products/pdp-i2722941679.html,114680,5.0,6,390,No Brand,2026-05-05 20:29:57
"(Mp-TH) Phấn phủ nén GECOMO Giúp Làn Da mịn, nền lì, lâu trôi 20g",3300895053,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Phấn Phủ,https://www.lazada.vn/products/pdp-i3300895053.html,45000,5.0,4,23,No Brand,2026-05-05 20:29:57
Phấn Phủ Spenny Pink Pearl Loose Powder Matte Long-lasting Oil Control Translucent Setting Powder Mini Size 913,13313234153,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Phấn Phủ,https://www.lazada.vn/products/pdp-i13313234153.html,141000,0.0,0,162,No Brand,2026-05-05 20:29:57
"Phấn phủ che khuyết điểm tóc SUAKE, chấm che hói phủ bạc dặm chân tóc thưa nội địa Trung - BIGBA",2534274430,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Phấn Phủ,https://www.lazada.vn/products/pdp-i2534274430.html,39690,4.7,68,420,No Brand,2026-05-05 20:29:57
[20g]Phấn phủ kiềm dầu làm sáng mờ mịn khuyết điểm trên da Wet n Wild Photo Focus Loose Setting Powder màu Soft Pink - SẢN PHẨM RẤT ĐƯỢC ƯA CHUỘNG TRÊN THỊ TRƯỜNG KHÁCH YÊU TRẢI NGHIỆM THỬ NHÉ SẢN PHẨM TỐT CHẤT LƯỢNG CAO,3018917899,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Phấn Phủ,https://www.lazada.vn/products/pdp-i3018917899.html,389900,0.0,0,0,No Brand,2026-05-05 20:29:57
Phấn Phủ Bột Kiềm Dầu Siêu Mịn Aery Jo Loose Translucent Face Powder 20g Chuyên Dùng Makeup,2930628081,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Phấn Phủ,https://www.lazada.vn/products/pdp-i2930628081.html,237000,0.0,0,0,No Brand,2026-05-05 20:29:57
"Phấn phủ che hói ,che chân tóc maycher...",2197961828,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Phấn Phủ,https://www.lazada.vn/products/pdp-i2197961828.html,40000,4.8,101,719,No Brand,2026-05-05 20:29:57
FOCALLURE Phấn Phủ Dạng Bột Kiềm Dầu Che Phủ Toàn Diện 7g,2038294211,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Phấn Phủ,https://www.lazada.vn/products/pdp-i2038294211.html,68900,5.0,5336,4900,Focallure,2026-05-05 20:29:57
"(S- BBull) (Combo 5 hộp) Phấn Phủ Trang Điểm Bông Lúa Long Way Thái Lan 10g , thâm nhanh , ko bết , mùi dịu nhẹ",3110191359,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Phấn Phủ,https://www.lazada.vn/products/pdp-i3110191359.html,55000,5.0,4,22,No Brand,2026-05-05 20:29:57
