title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Sơn Dưỡng Cứng Móng Chính Hãng Cẩm Tú Darling , Làm Cứng Và Nuôi Dưỡng Móng Màu Sắc Đa Dạng",2300932914,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Sơn Móng Tay,https://www.lazada.vn/products/pdp-i2300932914.html,33500,4.9,867,2400,Darling,2026-05-05 18:30:57
"Sơn dưỡng móng tay / sơn dưỡng phẳng móng và dưỡng trắng hồng móng giúp móng chắc khoẻ Quyên , chai 15ml",2401829490,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Sơn Móng Tay,https://www.lazada.vn/products/pdp-i2401829490.html,120000,4.9,15,64,No Brand,2026-05-05 18:30:57
[MUA 2 GIẢM 5%]Nước sơn móng tay bóc được đồ chơi cho bé - 1 chai,1596799485,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Sơn Móng Tay,https://www.lazada.vn/products/pdp-i1596799485.html,17000,4.2,74,568,No Brand,2026-05-05 18:30:57
Sơn móng tay Canmake Nhật Bản đủ màu hot trend LYNHJP,1999205205,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Sơn Móng Tay,https://www.lazada.vn/products/pdp-i1999205205.html,139000,4.9,61,248,Canmake,2026-05-05 18:30:57
Sơn Móng Tay O.P.I (OPI) màu Hồng nhạt trẻ trung Nail Đẹp Siêu Hot,451938604,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Sơn Móng Tay,https://www.lazada.vn/products/pdp-i451938604.html,59150,4.8,162,814,No Brand,2026-05-05 18:30:57
Sơn móng tay màu đen mau khô,1780359058,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Sơn Móng Tay,https://www.lazada.vn/products/pdp-i1780359058.html,17800,4.8,24,112,No Brand,2026-05-05 18:30:57
Sơn móng tay - nhũ móng tay - Rẻ Vô Địch,2231841879,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Sơn Móng Tay,https://www.lazada.vn/products/pdp-i2231841879.html,25000,0.0,0,18,No Brand,2026-05-05 18:30:57
"Sơn Móng Tay Tự Khô Màu S1 Đến S49 Chính Hãng Cẩm Tú Darling, Lên Màu Chuẩn, Bền Màu, Khô Nhanh",2299408508,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Sơn Móng Tay,https://www.lazada.vn/products/pdp-i2299408508.html,23000,5.0,784,2300,Darling,2026-05-05 18:30:57
Ur Đường 125 Màu Sắc 7Ml Gel sơn móng tay nghệ thuật vật tư làm móng Vernis bán vĩnh viễn Móng Tay làm móng tay nghệ thuật Ngâm Tắt LED móng tay gel UV Vecni,2716032382,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Sơn Móng Tay,https://www.lazada.vn/products/pdp-i2716032382.html,14000,4.9,166,596,UR SUGAR,2026-05-05 18:30:57
15ML Chrome Top Coat Gel Cho DIY Sơn Móng Tay LED Chữa Bệnh Siêu Sáng Gương Hoàn Thiện Lâu Dài Không Chứa Cồn Công Thức Chuyên Nghiệp,3282225472,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Sơn Móng Tay,https://www.lazada.vn/products/pdp-i3282225472.html,62050,0.0,0,5,No Brand,2026-05-05 18:30:57
CANMAKE Sơn móng tay Colorful Nails nội địa Nhật,2607692727,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Sơn Móng Tay,https://www.lazada.vn/products/pdp-i2607692727.html,129000,5.0,4,48,Canmake,2026-05-05 18:30:57
Osnailmall 8 màu sắc Thạch Sơn móng tay dạng gel Đèn LED UV móng tay có thể hòa tan nghệ thuật đánh bóng màu nude móng tay gel UV bán vĩnh viễn,13345573987,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Sơn Móng Tay,https://www.lazada.vn/products/pdp-i13345573987.html,7552,0.0,0,0,No Brand,2026-05-05 18:30:57
"Vintlook sơn móng tay màu trắng và nước mới, không mùi, không nướng, làm khô nhanh, dầu sáng trong suốt, học sinh có thể gọt vỏ sơn móng tay",3016688043,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Sơn Móng Tay,https://www.lazada.vn/products/pdp-i3016688043.html,14900,4.9,308,1400,VINTLOOK,2026-05-05 18:30:57
AqToCna 20 màu Macaron sơn dầu sơn móng tay vỗ keo Smudge đóng hộp bão hòa cao phổ biến sơn móng tay bán rắn-Ma Ka dài,3162786382,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Sơn Móng Tay,https://www.lazada.vn/products/pdp-i3162786382.html,39582,5.0,6,19,AqToCna,2026-05-05 18:30:57
[HCM]Sơn móng tay Oulisi Candy,620916694,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Sơn Móng Tay,https://www.lazada.vn/products/pdp-i620916694.html,17000,4.9,250,1600,No Brand,2026-05-05 18:30:57
"Sơn móng tay gel lạnh tự khô cao cấp, không hơ máy màu hồng",2694416760,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Sơn Móng Tay,https://www.lazada.vn/products/pdp-i2694416760.html,19000,4.9,301,1200,Fairy,2026-05-05 18:30:57
Sơn Móng Tay OPI Nail Envy - Dòng Sơn Dưỡng Có Màu 15ml,3052177830,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Sơn Móng Tay,https://www.lazada.vn/products/pdp-i3052177830.html,185000,5.0,1,14,O.P.I,2026-05-05 18:30:57
"Sơn móng tay KUDAN 10ml - 40 màu xu hướng, nhanh khô tự nhiên, chất sơn xịn mịn bóng đẹp lung linh KUDAN",1312027709,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Sơn Móng Tay,https://www.lazada.vn/products/pdp-i1312027709.html,24700,4.8,542,2800,No Brand,2026-05-05 18:30:57
