title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Thùng 48 Hộp Sữa Dinh Dưỡng Flex Giàu Canxi Không Lactoza 180ml| Có thể nhận bao bì cũ/mới,2756756,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Sữa Dưỡng Thể,https://www.lazada.vn/products/pdp-i2756756.html,440432,5.0,7358,26400,Vinamilk,2026-05-05 12:12:47
[ CÓ THỂ NHẬN BAO BÌ CŨ/ MỚI] Sữa bột cho người lớn tuổi Vinamilk Sure Prevent 1600g (Hộp giấy) - bổ sung dinh dưỡng và tăng cường sức khỏe,2412734158,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Sữa Dưỡng Thể,https://www.lazada.vn/products/pdp-i2412734158.html,1157328,4.9,2835,7300,Vinamilk Sure,2026-05-05 12:12:47
Combo Sữa dưỡng thể Ngày & Đêm Vaseline Gluta-Hya Dưỡng Da Sáng Mịn Sau 7 Ngày 300ML/260ML (dung tích và bao bì tùy đợt nhập hàng),2107697975,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Sữa Dưỡng Thể,https://www.lazada.vn/products/pdp-i2107697975.html,239000,5.0,4426,18600,Vaseline,2026-05-05 12:12:47
Sữa Dưỡng Thể Jmella In France Hương Nước Hoa No.2 Femme Fatale Body Lotion Vải Và Huệ Trắng Phương Đông Cổ Điển 500ml,2669848637,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Sữa Dưỡng Thể,https://www.lazada.vn/products/pdp-i2669848637.html,152000,5.0,4,19,Jmella,2026-05-05 12:12:47
Combo 2 Sữa Dưỡng Thể Dưỡng Ẩm Vaseline Sáng Da Chống Nắng Toàn Spf24pa++ & Sáng Da Perfect Youth Cải Thiện Nếp Nhăn 350ml,1981871396,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Sữa Dưỡng Thể,https://www.lazada.vn/products/pdp-i1981871396.html,251000,4.9,2252,12000,Vaseline,2026-05-05 12:12:47
[DATE TỪ 6 THÁNG - 15 THÁNG] Sữa Dưỡng Thể Hương Nước Hoa CATHY DOLL Perfume Lotion 150ml,3134831952,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Sữa Dưỡng Thể,https://www.lazada.vn/products/pdp-i3134831952.html,111000,5.0,7,25,Cathy Doll,2026-05-05 12:12:47
Nivea Q10 Sữa dưỡng thể tay làm săn chắc cơ thể mịn màng không dính 400ml rạng rỡ,3227130196,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Sữa Dưỡng Thể,https://www.lazada.vn/products/pdp-i3227130196.html,207890,0.0,0,0,NIVEA,2026-05-05 12:12:47
Sữa Dưỡng Thể Chống Nắng Naturie Reihaku Hatomugi UV Milky Gel  SPF31 SPF50+ ý dĩ Nhật Bản 250ml UV Care & Moisturizing Cosin Store,1982521456,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Sữa Dưỡng Thể,https://www.lazada.vn/products/pdp-i1982521456.html,169000,5.0,170,614,Naturie,2026-05-05 12:12:47
"Sữa Dưỡng Thể Collagen Tinh Chất Vàng 300g Ngăn Ngừa Lão Hóa, Trắng Da, Mềm Mại Hiệu Quả, Giúp Da Trẻ Như Tuổi Whitening Body Cream",2625390954,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Sữa Dưỡng Thể,https://www.lazada.vn/products/pdp-i2625390954.html,66680,5.0,25,40,No Brand,2026-05-05 12:12:47
"(MPTH) Sữa Dưỡng Thể Olay B3 250ml dưỡng ẩm, ngăn ngừa sự khô rát da, dưỡng trắng mịn toàn thân",3143260171,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Cơ Thể,Sữa Dưỡng Thể,https://www.lazada.vn/products/pdp-i3143260171.html,53000,5.0,3,12,No Brand,2026-05-05 12:12:47
