title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
[5.5 MUA LÀ CÓ QUÀ] Sữa Rửa Mặt Cerave Sạch Sâu Hasaki Sản Phẩm Chính Hãng,2063275861,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Cho Sắc Đẹp,Chăm sóc da mụn,https://www.lazada.vn/products/pdp-i2063275861.html,155000,0.0,0,7600,No Brand,2026-05-05 21:11:11
Sữa rửa mặt kiểm soát nhờn ngăn ngừa mụn dạng gel Acnes Oil Control Cleanser 100g,1216340,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Cho Sắc Đẹp,Chăm sóc da mụn,https://www.lazada.vn/products/pdp-i1216340.html,60000,4.9,2095,12700,Rohto,2026-05-05 21:11:11
Kem dưỡng giảm mụn cho da mụn viêm nhạy cảm Bioderma Sebium Sensitive - 30 ml,579852214,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Cho Sắc Đẹp,Chăm sóc da mụn,https://www.lazada.vn/products/pdp-i579852214.html,395000,4.9,646,3500,BIODERMA,2026-05-05 21:11:11
Kem dưỡng giảm mụn nhanh sau 8 giờ La Roche-Posay Effaclar Duo+ M 40ml,2420960868,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Cho Sắc Đẹp,Chăm sóc da mụn,https://www.lazada.vn/products/pdp-i2420960868.html,459000,5.0,1772,9200,La Roche-Posay,2026-05-05 21:11:11
Gel rửa mặt cho da dầu nhạy cảm La Roche-Posay Effaclar Foaming Gel 400ml,353876199,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Cho Sắc Đẹp,Chăm sóc da mụn,https://www.lazada.vn/products/pdp-i353876199.html,557000,4.9,7855,51000,La Roche-Posay,2026-05-05 21:11:11
Sữa rửa mặt giảm mụn CeraVe Blemish Control Cleanser 473ml,3085554774,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Cho Sắc Đẹp,Chăm sóc da mụn,https://www.lazada.vn/products/pdp-i3085554774.html,470000,5.0,187,826,CeraVe,2026-05-05 21:11:11
Dưỡng chất giảm mụn 3 tác động La Roche-Posay Effaclar Serum 30ml,1083238627,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Cho Sắc Đẹp,Chăm sóc da mụn,https://www.lazada.vn/products/pdp-i1083238627.html,948000,4.8,2319,16400,La Roche-Posay,2026-05-05 21:11:11
"Sữa Rửa Mặt Dành Cho Nam DABO Black Force For Men 120ml - Chăm Sóc Da Mụn, Dưỡng Trắng Da, Sạch Sâu",2448466039,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Cho Sắc Đẹp,Chăm sóc da mụn,https://www.lazada.vn/products/pdp-i2448466039.html,159000,5.0,27,95,Dabo,2026-05-05 21:11:11
"Xà bông tắm thảo dược SORITOX SOAP 130g , chăm sóc da , vẩy nến , viêm da mẩn ngứa , tróc da",3123198374,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Cho Sắc Đẹp,Chăm sóc da mụn,https://www.lazada.vn/products/pdp-i3123198374.html,105000,5.0,18,100,No Brand,2026-05-05 21:11:11
"Bút Plasma Laser Loại Bỏ Nốt Ruồi, Mụn Cóc, Vết Thâm, Tàn Nhang, Mụn Trứng Cá, Hình Xăm - Dụng Cụ Chăm Sóc Sắc Đẹp Da Mặt",2621770326,lazada,Sức Khỏe & Làm Đẹp,Thực Phẩm Cho Sắc Đẹp,Chăm sóc da mụn,https://www.lazada.vn/products/pdp-i2621770326.html,302400,4.8,41,46,No Brand,2026-05-05 21:11:11
