title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
SADOER | SADOER Vitamin C Làm Trắng Da Mặt Serum Dành Cho Nữ Chống Lão Hóa Dưỡng Ẩm Chống Nếp Nhăn Tinh Chất Chăm Sóc Da Dạng Lỏng 15Ml,13368848924,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Tinh Chất Dưỡng Da,https://www.lazada.vn/products/pdp-i13368848924.html,122000,5.0,4,39,SADOER,2026-05-05 21:40:11
"Tinh Chất Chống Lão Hóa Oligopeptide Blue Copper Peptide 100ml - Dưỡng Ẩm Sâu, Làm Săn Chắc Da & Giảm Nếp Nhăn Cho Mọi Loại Da",13348061411,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Tinh Chất Dưỡng Da,https://www.lazada.vn/products/pdp-i13348061411.html,91000,5.0,2,15,No Brand,2026-05-05 21:40:11
Serum Hàn Quốc Xóa Nếp Nhăn Sạch Thâm Nám Tàn Nhang Dưỡng Ẩm Trắng Da Mịn Màng Từ Tinh Chất Nhân Sâm Tự Nhiên,2630431927,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Tinh Chất Dưỡng Da,https://www.lazada.vn/products/pdp-i2630431927.html,62084,4.8,67,310,No Brand,2026-05-05 21:40:11
[HCM]The Ordinary Hyadration Acid 2% + B5 tinh chất cấp nước phục hồi da,1336384778,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Tinh Chất Dưỡng Da,https://www.lazada.vn/products/pdp-i1336384778.html,79000,4.9,249,767,No Brand,2026-05-05 21:40:11
"Unifon | Tinh Chất Dưỡng Ẩm, Trẻ Hóa, Se Khít Lỗ Chân Lông và Chống Nhăn",3311940006,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Tinh Chất Dưỡng Da,https://www.lazada.vn/products/pdp-i3311940006.html,263000,4.8,8,0,Unifon,2026-05-05 21:40:11
"Tinh Chất Dưỡng Trắng Trẻ Hoa Da BIOAQUA Vitamin C – Serum BIOAQUA mờ thâm nám, dưỡng ẩm, làm trắng da hiệu quả",3161913665,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Tinh Chất Dưỡng Da,https://www.lazada.vn/products/pdp-i3161913665.html,149000,5.0,9,18,No Brand,2026-05-05 21:40:11
Tinh Chất Kích Thích Mọc Râu Quai Nón Lông Mày Dưỡng Ẩm Da Nuôi Dưỡng Lỗ Chân Lông Sạch Mịn Màng 30ml,2566217294,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Tinh Chất Dưỡng Da,https://www.lazada.vn/products/pdp-i2566217294.html,37215,4.7,38,147,No Brand,2026-05-05 21:40:11
"OHBT | Tinh Chất Dưỡng Da Làm Sáng, Giảm Nếp Nhăn và Chống Lão Hóa",13316454674,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Tinh Chất Dưỡng Da,https://www.lazada.vn/products/pdp-i13316454674.html,460000,5.0,2,0,OHBT,2026-05-05 21:40:11
HÀNG ÚC Tinh Chất 24K Xóa Nhăn Vĩnh Viễn Làm Căng Bóng Mọng Da Trắng Mịn Hết Sạch Nhăn Nám Tàn Nhang Trong Một Liệu Trình Ngắn 30ml,1499185685,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Tinh Chất Dưỡng Da,https://www.lazada.vn/products/pdp-i1499185685.html,52000,4.9,242,1000,No Brand,2026-05-05 21:40:11
"Tinh Chất Nicotinamide Arbutin Sadoer Giúp Làm Trắng Da, Dưỡng Ẩm, Phục Hồi Da Từ Sâu Bên Trong Mang Lại Làn Da Căng Mịn Đầy Sức Sống",2290944648,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Tinh Chất Dưỡng Da,https://www.lazada.vn/products/pdp-i2290944648.html,38556,5.0,16,102,SADOER,2026-05-05 21:40:11
"Tinh chất tái tạo da đa tầng hết mụn, nám, tàn nhang làm đầy sẹo rỗ và se khít lỗ chân lông 50ml",2119588250,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Tinh Chất Dưỡng Da,https://www.lazada.vn/products/pdp-i2119588250.html,232000,4.9,27,100,No Brand,2026-05-05 21:40:11
"(CHÍNH HÃNG )bộ tinh chất dưỡng trắng da làm ẩm xóa nhăn  se khít lỗ chân lông vĩnh viễn, mịn màng, lam trắng da hết mụn Bộ chăm sóc da mặt đẹp không tì vết",2004961519,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Tinh Chất Dưỡng Da,https://www.lazada.vn/products/pdp-i2004961519.html,250000,4.9,53,165,No Brand,2026-05-05 21:40:11
Tinh chất melson làm đẹp da (1 ống lẻ),3183343265,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Tinh Chất Dưỡng Da,https://www.lazada.vn/products/pdp-i3183343265.html,130000,4.4,7,33,No Brand,2026-05-05 21:40:11
Tinh chất dưỡng trắng da mờ thâm nám Derma Factory Niacin Tranexamic Acid 13% Serum,2528749115,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Tinh Chất Dưỡng Da,https://www.lazada.vn/products/pdp-i2528749115.html,199000,5.0,7,41,No Brand,2026-05-05 21:40:11
"Serum Tinh Chất Nhân Sâm Hàn Quốc,Giảm Nếp Nhăng,Chống Lão Hoá Da,Cung Cấp Độ Ẩm Trẻ Hoá Da 30ml",2871414745,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Tinh Chất Dưỡng Da,https://www.lazada.vn/products/pdp-i2871414745.html,64500,5.0,20,72,No Brand,2026-05-05 21:40:11
Derma - Age smart 688 Overnight Repair Serum Tinh chất dưỡng da ban đêm chống lão hóa làm da căng mịn Dermalogica 15ml,3153091798,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Tinh Chất Dưỡng Da,https://www.lazada.vn/products/pdp-i3153091798.html,2357220,0.0,0,0,No Brand,2026-05-05 21:40:11
"Tinh chất vitamin C dưỡng trắng, mờ thâm cao cấp Melano CC Premium Whitening Essence 20ml",3191958230,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Tinh Chất Dưỡng Da,https://www.lazada.vn/products/pdp-i3191958230.html,213000,4.0,1,24,No Brand,2026-05-05 21:40:11
[Mẫu Mới] Deleventh Arbutin Tinh Chất Dưỡng Trắng Giảm Thâm Làm Sáng Da Cấp Ẩm Từ Sâu Bên Trong Giảm Lão Hoá Phục Hồi Độ Đàn Hồi Của Da,2251304337,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Tinh Chất Dưỡng Da,https://www.lazada.vn/products/pdp-i2251304337.html,147000,4.9,163,553,DEleventh,2026-05-05 21:40:11
Tinh chất Serum Vitamin C Balance Active Formula Dưỡng Sáng Da Mờ Thâm nám sạm da 30ml - 60ml,258326559,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Tinh Chất Dưỡng Da,https://www.lazada.vn/products/pdp-i258326559.html,149000,4.7,92,489,Số dư tài khoản,2026-05-05 21:40:11
"Serum Trẻ Hóa Da Nhân Sâm BROLAMEN - Tinh Chất Nhân Sâm BROLAMEN Cấp Ẩm, Dưỡng Sáng, Mờ Nhăn, Chảy Xệ, Chống Lão Hóa",2909137369,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Tinh Chất Dưỡng Da,https://www.lazada.vn/products/pdp-i2909137369.html,149000,5.0,7,48,No Brand,2026-05-05 21:40:11
[HCM]Tinh Chất Serum The Ordinary AHA 30% + BHA 2% Peeling Solution Mặt Nạ Tẩy Tế Bào Chết 10 Phút Serum Dưỡng Da Xóa Sẹo Mụn Làm Trắng Da Chăm 30ML,1336390840,lazada,Sức Khỏe & Làm Đẹp,Chăm Sóc Da,Tinh Chất Dưỡng Da,https://www.lazada.vn/products/pdp-i1336390840.html,79000,4.8,271,775,The Ordinary,2026-05-05 21:40:11
