title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"(S- BBull) Kem lười nâng tone VC trang điểm lớp makeup dưỡng trắng , nâng tone , chống lão hóa",2978123547,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Xịt Dưỡng Trang Điểm,https://www.lazada.vn/products/pdp-i2978123547.html,41000,5.0,17,120,No Brand,2026-05-05 17:47:48
"Kem Chống Nắng Cách Ly Kiêm Lớp Nền SPF50+ - Dưỡng Trắng, Cân Bằng Sáng Da, Che Khuyết Điểm Nhẹ - Hoàn Hảo Cho Trang Điểm Hàng Ngày",13361747400,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Xịt Dưỡng Trang Điểm,https://www.lazada.vn/products/pdp-i13361747400.html,79000,5.0,1,11,No Brand,2026-05-05 17:47:48
Xịt Khóa Nền Trang Điểm Star Flash Makeup Spray,1302586905,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Xịt Dưỡng Trang Điểm,https://www.lazada.vn/products/pdp-i1302586905.html,30000,4.9,1274,7900,No Brand,2026-05-05 17:47:48
Xịt Khoá  Makeup Cố Định Trang Điểm Dưỡng Ẩm Kiềm Dầu Nicor 100ml,3074914058,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Xịt Dưỡng Trang Điểm,https://www.lazada.vn/products/pdp-i3074914058.html,34999,5.0,5,40,No Brand,2026-05-05 17:47:48
Xịt Khóa Lớp Trang Điểm Nicor Cố Định Makeup Lâu Trôi Kiểm Soát Dầu Nhờn Dưỡng Da 100ml,3108797843,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Xịt Dưỡng Trang Điểm,https://www.lazada.vn/products/pdp-i3108797843.html,22000,0.0,0,0,No Brand,2026-05-05 17:47:48
Xịt khóa nền khóa lớp trang điểm dưỡng ẩm bắt sáng,2228594704,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Xịt Dưỡng Trang Điểm,https://www.lazada.vn/products/pdp-i2228594704.html,42500,4.8,45,248,No Banh,2026-05-05 17:47:48
Xịt Khoá Nền Giữ Lớp Trang Điểm Urban Decay All Nighter Makeup Setting Spray 15ml,3026500264,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Xịt Dưỡng Trang Điểm,https://www.lazada.vn/products/pdp-i3026500264.html,125000,0.0,0,5,No Brand,2026-05-05 17:47:48
"Xịt khoá trang điểm Nicor 100ml Cho Da Dầu, Da Khô",3074651937,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Xịt Dưỡng Trang Điểm,https://www.lazada.vn/products/pdp-i3074651937.html,34999,0.0,0,0,No Brand,2026-05-05 17:47:48
"Xịt Khoáng CẤP NƯỚC CĂNG BÓNG DA LENCOLOR Hoa cúc Đánh Thức Làn Da, Cấp Ẩm Và Bảo Vệ Da, Tạo Lớp Tráng Điểm Đẹp, Không Bị Mốc, Da Mịn Màng Căng Bóng, Không Bị Bết Dính",2724862972,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Xịt Dưỡng Trang Điểm,https://www.lazada.vn/products/pdp-i2724862972.html,29000,5.0,2,8,No Brand,2026-05-05 17:47:48
[HCM] Xịt Khoá Nền  Bắt Sáng MAKE UP FIXER Lifusha  Nội Địa Trung,429892298,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Xịt Dưỡng Trang Điểm,https://www.lazada.vn/products/pdp-i429892298.html,39000,4.9,13,57,No Brand,2026-05-05 17:47:48
"Xịt Khoáng Trang Điểm Makeup Spray, Dưỡng Da, Lâu Trôi, Giữ Ẩm Xịt cố định lớp Makeup nhũ chảy Stars shine galaxy fixed makeup spray chứa niacinamide, xịt giúp cố định lớp make up",791458669,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Xịt Dưỡng Trang Điểm,https://www.lazada.vn/products/pdp-i791458669.html,59000,5.0,3,9,No Brand,2026-05-05 17:47:48
"Xịt Khoáng Bắt Sáng Và Khoá Lớp Trang Điểm NOVO Chamomile Phát Sáng Da Phù Hợp Cho Da Dầu Dưỡng Ẩm Không Thấm Nước, Kiềm Dầu, Lôi Trôi, Giữ Lớp Makeup Suốt 12h",2487436548,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Xịt Dưỡng Trang Điểm,https://www.lazada.vn/products/pdp-i2487436548.html,69300,5.0,31,101,NOVO,2026-05-05 17:47:48
"Xịt khoá lớp makeup trang điểm Make-Up Fixer Spray, Xịt khoáng giữ lớp trang điểm dưỡng ẩm bắt sáng 100ml an toàn dành cho cả nam và nữ- XK01",1950061330,lazada,Sức Khỏe & Làm Đẹp,Trang Điểm,Xịt Dưỡng Trang Điểm,https://www.lazada.vn/products/pdp-i1950061330.html,65000,5.0,2,13,No Brand,2026-05-05 17:47:48
