title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Combo Lốc Khăn Ướt Mini LET-GREEN 12 Miếng/Gói, 6 Gói/Lốc",279135560,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc cá nhân,Khăn giấy ướt,https://tiki.vn/product-p279135560.html?spid=279135562,35000,0.0,0,0,Let-green,2026-04-27 17:47:21
"Combo 3 gói Băng Vệ Sinh Quần Peppy Shana Ngày Đêm Siêu Thấm, Freesize, Chống Tràn Tối Đa",278996459,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc cá nhân,"Băng vệ sinh, cốc nguyệt san",https://tiki.vn/product-p278996459.html?spid=278996461,195000,0.0,0,0,SHANA,2026-04-27 17:47:21
Kem Dưỡng Da Tay Cấp Ẩm Hương Cam Chanh Dành Cho Bé Từ 06 Tháng Tuổi Và Làn Da Nhạy Cảm Kissme Mommy Hand Cream C 60 G,278903667,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc cá nhân,"Chăm sóc tay, chân",https://tiki.vn/product-p278903667.html?spid=278903668,159000,0.0,0,2,Kissme Mommy,2026-04-27 17:47:21
[MỚI] Dung dịch vệ sinh phụ nữ Fresh&Care Odor Fresh+,278844507,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc cá nhân,Dung dịch vệ sinh,https://tiki.vn/product-p278844507.html?spid=278844527,45000,0.0,0,23,Fresh & Care,2026-04-27 17:47:21
Dao cạo Blue 3 FLexi,277020770,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc cá nhân,Sản phẩm cạo râu,https://tiki.vn/product-p277020770.html?spid=277020771,28500,0.0,0,19342,Gillette,2026-04-27 17:47:21
Tăm Bông JOMI Kháng Khuẩn (Hộp 200 que),276777806,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc cá nhân,Sản phẩm chăm sóc cá nhân khác,https://tiki.vn/product-p276777806.html?spid=276777808,37000,0.0,0,1,Linchido,2026-04-27 17:47:21
Khăn ướt cao cấp không mùi 80M,276497648,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc cá nhân,Khăn giấy ướt,https://tiki.vn/product-p276497648.html?spid=276497649,29200,0.0,0,4,Araso,2026-04-27 17:47:21
Lăn Khử Mùi Hương Vip Romano 50Ml,275926493,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc cá nhân,"Lăn, xịt khử mùi",https://tiki.vn/product-p275926493.html?spid=275926497,57500,5.0,2,1462,Romano,2026-04-27 17:47:21
Sáp Khử Mùi Enchanteur Sáng Da 40g,275925899,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc cá nhân,"Lăn, xịt khử mùi",https://tiki.vn/product-p275925899.html?spid=275925903,65500,5.0,1,24234,Enchanteur,2026-04-27 17:47:21
Bộ 6 gói băng vệ sinh Diana hàng ngày kháng khuẩn gói 20 miếng,275904638,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc cá nhân,"Băng vệ sinh, cốc nguyệt san",https://tiki.vn/product-p275904638.html?spid=275904639,99000,5.0,2,58,Diana,2026-04-27 17:47:21
