title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Sữa rửa mặt dành cho người da mụn,278965268,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,Sữa rửa mặt,https://tiki.vn/product-p278965268.html?spid=278965279,57000,4.0,1,0,Mistine,2026-04-27 16:00:31
Combo 10 gói Chống Nắng Dạng Sữa OHUI Day Shield Sunquid 1ml/gói,278786929,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,Kem chống nắng,https://tiki.vn/product-p278786929.html?spid=278786930,80000,0.0,0,6,OHUI,2026-04-27 16:00:31
"Nước Tẩy Trang Sen Hậu Giang Sạch Bụi Siêu Mịn PM1.0, Có Prebiotics Dịu Êm Cho Da Rất Nhạy Cảm Cocoon 140ml",278737951,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,Dung dịch tẩy trang,https://tiki.vn/product-p278737951.html?spid=278737952,139000,5.0,5,56,The Cocoon Original Vietnam,2026-04-27 16:00:31
Tinh chất dưỡng da Shiseido Ultimune Power Infusing 4.0 Serum 30ml,278457431,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,Serum,https://tiki.vn/product-p278457431.html?spid=278457432,1944000,3.7,3,6,Shiseido,2026-04-27 16:00:31
Kem dưỡng trẻ hóa da ban đêm Olay Regenerist Retinol 24 Night Moisturiser (50g) - Hàng chính hãng,277738721,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,Kem và sữa dưỡng da,https://tiki.vn/product-p277738721.html?spid=277738723,429000,4.8,4,12,Olay,2026-04-27 16:00:31
Kem dưỡng ban đêm Olay Regenerist Micro Sculpting Cream Night (50g) - Hàng chính hãng,277738698,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,Kem và sữa dưỡng da,https://tiki.vn/product-p277738698.html?spid=277738700,349000,4.7,3,13,Olay,2026-04-27 16:00:31
"Bông Tẩy Trang Miniso Nhật Bản 100% Cotton, 180 Miếng, Sạch Sâu, An Toàn Cho Da - HÀNG CHÍNH HÃNG MINIIN",277444032,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,Dung dịch tẩy trang,https://tiki.vn/product-p277444032.html?spid=277444034,19000,5.0,2,30,MINIIN,2026-04-27 16:00:31
"Dung dịch dưỡng trắng, cải thiện thâm nám, đốm nâu Melano CC Whitening Lotion (Rich Type)",276661012,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,Serum,https://tiki.vn/product-p276661012.html?spid=276661013,224000,5.0,2,15,Melano CC,2026-04-27 16:00:31
Nước Tẩy Trang Bioderma Sensibio dành cho mọi loại da và da nhạy cảm 500ml,276545421,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,Dung dịch tẩy trang,https://tiki.vn/product-p276545421.html?spid=276550694,420000,5.0,1,13,BIODERMA,2026-04-27 16:00:31
Sữa Rửa Mặt Rosette Làm Giảm Mụn Face Wash Pasta Acne Clear 120G,276486487,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,Sữa rửa mặt,https://tiki.vn/product-p276486487.html?spid=276486488,133200,5.0,1,7,Rosette,2026-04-27 16:00:31
Nước tẩy trang Evoluderm Eau Micellaire 500ml,276284395,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,Dung dịch tẩy trang,https://tiki.vn/product-p276284395.html?spid=276284622,135000,5.0,2,13,Evoluderm,2026-04-27 16:00:31
Dầu tẩy trang hoa hồng Cocoon 140ml,276130279,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,Dung dịch tẩy trang,https://tiki.vn/product-p276130279.html?spid=276130280,149950,5.0,3,41,The Cocoon Original Vietnam,2026-04-27 16:00:31
Kem dưỡng da giảm mụn chuyên sâu Acnes Lab Acne Repair Cream 20g,276032346,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,Kem và sữa dưỡng da,https://tiki.vn/product-p276032346.html?spid=276032349,157000,5.0,1,58,Acnes,2026-04-27 16:00:31
Sữa rửa mặt Simple Refreshing Facial Wash giúp làm sạch da (50ml/150ml) - Hàng chính hãng,275796078,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,Sữa rửa mặt,https://tiki.vn/product-p275796078.html?spid=275796084,79000,0.0,0,2,SIMPLE,2026-04-27 16:00:31
Gel rửa mặt cho da dầu nhạy cảm La Roche-Posay Effaclar Foaming Gel 400ml (Túi refill),275627181,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,Sữa rửa mặt,https://tiki.vn/product-p275627181.html?spid=275627187,503000,5.0,2,29,La Roche-Posay,2026-04-27 16:00:31
"Set 3 lọ xịt mọc tóc Minoxidil Bailleul Pháp, 2%",275587669,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,Serum,https://tiki.vn/product-p275587669.html?spid=275587670,750000,5.0,1,24,HISTOLAB,2026-04-27 16:00:31
