title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Cạo lưỡi kép YUMY TC002 dụng cụ cạo lưỡi nhựa, ngăn mùi, giảm hôi miệng, vệ sinh lưỡi (CL01_115)",279248666,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc răng miệng,Sản phẩm làm sạch lưỡi,https://tiki.vn/product-p279248666.html?spid=279248674,39000,0.0,0,0,YUMY,2026-04-27 18:10:25
Bàn chải đánh răng điện thương hiệu Hà Lan cao cấp Philips Sonicare Series 5200 HX3697 - Hàng nhập khẩu (Bảo Hành 24 Tháng),278733101,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc răng miệng,Bàn chải đánh răng,https://tiki.vn/product-p278733101.html?spid=278733103,2965000,0.0,0,0,Philips,2026-04-27 18:10:25
Bàn chải đánh răng điện thương hiệu Hà Lan cao cấp Philips DiamondClean Series 1 HX5070 - Hàng chính hãng,278733065,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc răng miệng,Bàn chải đánh răng,https://tiki.vn/product-p278733065.html?spid=278733067,2839000,0.0,0,2,Philips,2026-04-27 18:10:25
Bàn chải đánh răng điện thương hiệu Hà Lan cao cấp Philips HX5272/03 và HX5282/01 - Hàng nhập khẩu,278720487,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc răng miệng,Bàn chải đánh răng,https://tiki.vn/product-p278720487.html?spid=278720491,3101000,0.0,0,0,Philips,2026-04-27 18:10:25
Bàn chải đánh răng điện thương hiệu Hà Lan cao cấp Philips HX5272/03 và HX5282/01 - Hàng chính hãng,278720482,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc răng miệng,Bàn chải đánh răng,https://tiki.vn/product-p278720482.html?spid=278720486,3101000,0.0,0,0,Philips,2026-04-27 18:10:25
Bàn chải đánh răng điện Sonicare ProtectiveClean serial 5300 thương hiệu Hà Lan cao cấp Philips HX5181 - Hàng chính hãng,278717917,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc răng miệng,Bàn chải đánh răng,https://tiki.vn/product-p278717917.html?spid=278717925,2716000,0.0,0,0,Philips,2026-04-27 18:10:25
Bàn chải đánh răng điện Sonicare ProtectiveClean serial 5300. Thương hiệu Hà Lan cao cấp Philips - HX5181 - HÀNG CHÍNH HÃNG,278717692,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc răng miệng,Bàn chải đánh răng,https://tiki.vn/product-p278717692.html?spid=278717694,2716000,0.0,0,0,Philips,2026-04-27 18:10:25
Bộ Bàn Chải Điện Zenyum Sonic 2.0 + 3 Đầu Thay Thế Công nghệ Singapore - Màu Tím,278527327,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc răng miệng,Bàn chải đánh răng,https://tiki.vn/product-p278527327.html?spid=278527328,1709000,0.0,0,1,Zenyum,2026-04-27 18:10:25
Bộ 4 Đầu Thay Chuyên Biệt Máy Tăm Nước Zenyum Waterflosser Pro,278484398,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc răng miệng,Bộ sản phẩm chăm sóc răng miệng,https://tiki.vn/product-p278484398.html?spid=278484399,749000,0.0,0,0,Zenyum,2026-04-27 18:10:25
Bàn chải điện ZenyumSonic Spark - Màu Tím Lilac / Kem / Xanh Sage,278029766,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc răng miệng,Bàn chải đánh răng,https://tiki.vn/product-p278029766.html?spid=278029768,599000,0.0,0,0,Zenyum,2026-04-27 18:10:25
Máy tăm nước vệ sinh răng miệng Panasonic EW-DJ86-K442 - Hàng chính hãng,277770247,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc răng miệng,Máy tăm nước,https://tiki.vn/product-p277770247.html?spid=277770249,3990000,0.0,0,1,Panasonic,2026-04-27 18:10:25
Bàn chải tay Oral-B Gumcare (Trà xanh/ Trà đen) - Hàng chính hãng,277364328,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc răng miệng,Bàn chải đánh răng,https://tiki.vn/product-p277364328.html?spid=277364330,42000,0.0,0,0,Oral-B,2026-04-27 18:10:25
"Bàn Chải Cho Bé Tepe Supreme Compact Siêu Mềm (5-11 Tuổi) – Đầu Nhỏ, Lông 2 Tầng, Bảo Vệ Nướu - Nhập Khẩu Thụy Điển",275615974,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc răng miệng,Bàn chải đánh răng,https://tiki.vn/product-p275615974.html?spid=275615976,82500,0.0,0,0,Tepe,2026-04-27 18:10:25
Kem Đánh Răng Apagard Tẩy Vết Vàng Ố Apagard Smokin' 105 G,275250843,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc răng miệng,Bộ sản phẩm chăm sóc răng miệng,https://tiki.vn/product-p275250843.html?spid=275250844,325000,5.0,1,3,Apagard,2026-04-27 18:10:25
Bàn chải điện Mipow N2 Sonic CI-600 - Hàng chính hãng,274601502,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc răng miệng,Bàn chải đánh răng,https://tiki.vn/product-p274601502.html?spid=274601508,199000,0.0,0,0,MIPOW,2026-04-27 18:10:25
[Bộ 4] Kem Đánh Răng Sensodyne Deep Clean 100g/tuýp,273354515,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc răng miệng,Kem đánh răng,https://tiki.vn/product-p273354515.html?spid=273354516,274000,5.0,2,12,Sensodyne,2026-04-27 18:10:25
Bàn chải đánh răng điện Philips Sonicare HX2461 Serial 3600 - Tích hợp 3 chế độ - HÀNG NHẬP KHẨU,270308226,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc răng miệng,Bàn chải đánh răng,https://tiki.vn/product-p270308226.html?spid=270308228,2356000,0.0,0,0,Philips,2026-04-27 18:10:25
Bộ 2 đầu xịt máy tăm nước Philips Sonicare F1 Standard nozzle HX3042/00 - HÀNG CHÍNH HÃNG,270102060,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc răng miệng,Máy tăm nước,https://tiki.vn/product-p270102060.html?spid=270102061,1005000,0.0,0,0,Philips,2026-04-27 18:10:25
HÀNG CHÍNH HÃNG - Bàn chải đánh răng điện Philips Sonicare Gentle Multi-effec HX2491/01,269980540,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc răng miệng,Bàn chải đánh răng,https://tiki.vn/product-p269980540.html?spid=269980541,2113000,0.0,0,0,Philips,2026-04-27 18:10:25
"Bàn chải đánh răng điện, tích hợp 5 chế độ làm sạch Series 3200 Philips Sonicare HX2471 - Hàng Nhập Khẩu",268429960,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc răng miệng,Bàn chải đánh răng,https://tiki.vn/product-p268429960.html?spid=268429962,1560000,0.0,0,0,Philips,2026-04-27 18:10:25
Máy tăm nước mini Xiaomi Lydsto LQ-CYQ01 - Hàng nhập khẩu,263394080,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc răng miệng,Máy tăm nước,https://tiki.vn/product-p263394080.html?spid=263394081,439000,3.6,11,84,Xiaomi,2026-04-27 18:10:25
Máy tăm nước vệ sinh răng miệng Panasonic EW-DJ31-W451 - Hàng chính hãng,262068419,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc răng miệng,Máy tăm nước,https://tiki.vn/product-p262068419.html?spid=272282506,2800000,1.0,2,15,Panasonic,2026-04-27 18:10:25
