title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Chai xịt thơm và làm phẳng quần áo hương hoa Kao Flair Fragrance Nhật Bản 270ml,279329339,tiki,Làm Đẹp - Sức Khỏe,Nước hoa,Nước hoa nữ,https://tiki.vn/product-p279329339.html?spid=279329341,175000,0.0,0,0,Doori,2026-04-27 17:48:57
NƯỚC HOA SÁP MOODUP KEYRING,279005742,tiki,Làm Đẹp - Sức Khỏe,Nước hoa,Nước hoa nữ,https://tiki.vn/product-p279005742.html?spid=279005744,329000,0.0,0,0,myKella,2026-04-27 17:48:57
Nước Hoa Nam Charme Iris 50ml,278874026,tiki,Làm Đẹp - Sức Khỏe,Nước hoa,Nước hoa nam,https://tiki.vn/product-p278874026.html?spid=278874027,520000,0.0,0,0,Charme,2026-04-27 17:48:57
Nước hoa Armaf Club de Nuit Intense Man Limited Edition (105ml) - Hàng chính hãng,278569911,tiki,Làm Đẹp - Sức Khỏe,Nước hoa,Nước hoa nam,https://tiki.vn/product-p278569911.html?spid=278569913,2290000,0.0,0,0,Armaf,2026-04-27 17:48:57
Nước Hoa Unisex The Merchant of Venice Imperial Emerald EDP 100ml,278156229,tiki,Làm Đẹp - Sức Khỏe,Nước hoa,Nước hoa nữ,https://tiki.vn/product-p278156229.html?spid=278156230,3800000,0.0,0,0,The Merchant of Venice,2026-04-27 17:48:57
Nước Hoa 50ml E5 (Hồng),278122292,tiki,Làm Đẹp - Sức Khỏe,Nước hoa,Nước hoa nữ,https://tiki.vn/product-p278122292.html?spid=278122293,320000,0.0,0,0,E5,2026-04-27 17:48:57
"Body Mist Bath And Body Works Nam Nữ Chính Hãng Japanese Cherry Blossom, Xịt Thơm Body Toàn Thân Hương Nước Hoa 236ml",277411439,tiki,Làm Đẹp - Sức Khỏe,Nước hoa,Xịt thơm cơ thể,https://tiki.vn/product-p277411439.html?spid=273197616,254000,5.0,4,14,Bath And Body Work,2026-04-27 17:48:57
Nước hoa dịu dàng cuốn hút quyến rũ ROSE DES VENTS unisex DAMODE chai 50ml nước hoa thơm lâu chính hãng Pháp,276027574,tiki,Làm Đẹp - Sức Khỏe,Nước hoa,Nước hoa nam,https://tiki.vn/product-p276027574.html?spid=276027575,3575000,0.0,0,0,Damode,2026-04-27 17:48:57
"Nước Hoa Nam CHARME COOL WATER BẢN MỚI 2024 100ml Lưu Hương Lâu Thơm Mát, Mạnh Mẽ và Thanh Lịch Cho Các Quý Ông",275915860,tiki,Làm Đẹp - Sức Khỏe,Nước hoa,Nước hoa nam,https://tiki.vn/product-p275915860.html?spid=275915861,1056000,0.0,0,0,Charme,2026-04-27 17:48:57
( Phiên Bản mới nhất ) Nước hoa Nam Charme Giò hương gỗ ấm mát - 100ml,275418267,tiki,Làm Đẹp - Sức Khỏe,Nước hoa,Nước hoa nữ,https://tiki.vn/product-p275418267.html?spid=278969293,110000,0.0,0,0,Charme,2026-04-27 17:48:57
Nước Hoa Montale Aoud Leather Eau De Parfum 100ml,274900954,tiki,Làm Đẹp - Sức Khỏe,Nước hoa,Nước hoa nam,https://tiki.vn/product-p274900954.html?spid=274900955,2300000,0.0,0,0,MONTALE,2026-04-27 17:48:57
Nước Hoa Nữ Salvatore Ferragamo Signorina Libera 100ml,274900820,tiki,Làm Đẹp - Sức Khỏe,Nước hoa,Nước hoa nữ,https://tiki.vn/product-p274900820.html?spid=274900821,1900000,0.0,0,1,Salvatore Ferragamo,2026-04-27 17:48:57
Nước Hoa Unisex Creed Spice and Wood Exclusives 75ml,274716425,tiki,Làm Đẹp - Sức Khỏe,Nước hoa,Nước hoa nam,https://tiki.vn/product-p274716425.html?spid=274716426,9300000,0.0,0,0,Creed,2026-04-27 17:48:57
"Allure by Jubilé - Tinh dầu nước hoa Pháp Nam Dạng lăn 12ml Thơm Lâu, Sang Trọng, Đẳng Cấp",274095739,tiki,Làm Đẹp - Sức Khỏe,Nước hoa,Nước hoa nam,https://tiki.vn/product-p274095739.html?spid=274095740,499000,4.0,1,2,Jubilé,2026-04-27 17:48:57
Nước Hoa Nữ Misumi Romansu 20ml,273287161,tiki,Làm Đẹp - Sức Khỏe,Nước hoa,Nước hoa nữ,https://tiki.vn/product-p273287161.html?spid=273287162,49000,0.0,0,2,Nature's Secrets,2026-04-27 17:48:57
"[MUA 1 TẶNG 2] Nước hoa thiên nhiên Flower By Aura / Her nước hoa nữ hương thơm ngọt ngào, thanh mát cuốn hút 50ml",272415079,tiki,Làm Đẹp - Sức Khỏe,Nước hoa,Nước hoa nữ,https://tiki.vn/product-p272415079.html?spid=272415080,940000,0.0,0,0,HA VANA Nutrition Solution,2026-04-27 17:48:57
Nước hoa TenderLove 100ml,262908777,tiki,Làm Đẹp - Sức Khỏe,Nước hoa,Nước hoa nữ,https://tiki.vn/product-p262908777.html?spid=262908778,876000,0.0,0,0,Maryaj,2026-04-27 17:48:57
NƯỚC HOA CAO CẤP KAT&KEV THANH MÁT THUẦN KHIẾT LAVIE 12ML,258510124,tiki,Làm Đẹp - Sức Khỏe,Nước hoa,Nước hoa nữ,https://tiki.vn/product-p258510124.html?spid=258510125,120000,0.0,0,0,Kat&Kev,2026-04-27 17:48:57
Nước hoa cao cấp cho nữ giới Kiotis Pure Coincidence 50ml,258497460,tiki,Làm Đẹp - Sức Khỏe,Nước hoa,Nước hoa nữ,https://tiki.vn/product-p258497460.html?spid=258497461,1156110,0.0,0,0,KIOTIS PARIS,2026-04-27 17:48:57
Nước hoa LÁ House Love 3ml/10ml/30ml,253357149,tiki,Làm Đẹp - Sức Khỏe,Nước hoa,Nước hoa nữ,https://tiki.vn/product-p253357149.html?spid=253357151,285000,5.0,1,2,Lá House,2026-04-27 17:48:57
Nước hoa LES FRENCHISES 30ml,248591922,tiki,Làm Đẹp - Sức Khỏe,Nước hoa,Nước hoa nữ,https://tiki.vn/product-p248591922.html?spid=248591932,98000,0.0,0,5,LES FRENCHISES,2026-04-27 17:48:57
Nước hoa Lá House She 3ml/10ml/30ml,205707473,tiki,Làm Đẹp - Sức Khỏe,Nước hoa,Nước hoa nữ,https://tiki.vn/product-p205707473.html?spid=205707477,285000,5.0,1,9,Lá House,2026-04-27 17:48:57
Nước hoa LÁ House For Him 10ml/30ml,205692133,tiki,Làm Đẹp - Sức Khỏe,Nước hoa,Nước hoa nam,https://tiki.vn/product-p205692133.html?spid=205692137,285000,0.0,0,5,Lá House,2026-04-27 17:48:57
"Nước Hoa Nữ CHARME QUEEN 10ml/100ml Lưu Hương Lâu Quyến Rũ, Gợi Cảm_Nước Hoa Chính Hãng",203110603,tiki,Làm Đẹp - Sức Khỏe,Nước hoa,Nước hoa nữ,https://tiki.vn/product-p203110603.html?spid=195256578,935000,5.0,3,17,Charme,2026-04-27 17:48:57
Nước Hoa Nữ Charme Grand,202771721,tiki,Làm Đẹp - Sức Khỏe,Nước hoa,Nước hoa nữ,https://tiki.vn/product-p202771721.html?spid=202771723,280000,0.0,0,0,Charme,2026-04-27 17:48:57
Nước Hoa Nữ Charme Noble 50ml,202770705,tiki,Làm Đẹp - Sức Khỏe,Nước hoa,Nước hoa nữ,https://tiki.vn/product-p202770705.html?spid=202770706,550000,0.0,0,0,Charme,2026-04-27 17:48:57
