title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Tinh Dầu Bạc Hà Peace Mass Dùng Cho Máy Khuếch Tán 10ml,110571329,tiki,Làm Đẹp - Sức Khỏe,Sản phẩm thiên nhiên & Khác,Tinh dầu,https://tiki.vn/product-p110571329.html?spid=110571330,135000,4.8,4,32,PEACE MASS,2026-04-27 17:37:15
Tinh Dầu Tự Nhiên Peace Mass Ngọc Lan Tây 8ml,105153826,tiki,Làm Đẹp - Sức Khỏe,Sản phẩm thiên nhiên & Khác,Tinh dầu,https://tiki.vn/product-p105153826.html?spid=105153827,135000,0.0,0,1,PEACE MASS,2026-04-27 17:37:15
Tinh dầu Chanh Sả Peace Mass dùng cho máy xông 10ml,140717079,tiki,Làm Đẹp - Sức Khỏe,Sản phẩm thiên nhiên & Khác,Tinh dầu,https://tiki.vn/product-p140717079.html?spid=140717080,153000,4.6,7,44,PEACE MASS,2026-04-27 17:37:15
Tinh dầu Giấc ngủ ngọt ngào Peace Mass dùng cho máy xông 10ml,140713055,tiki,Làm Đẹp - Sức Khỏe,Sản phẩm thiên nhiên & Khác,Tinh dầu,https://tiki.vn/product-p140713055.html?spid=140713057,153000,3.0,2,3,Peacemass,2026-04-27 17:37:15
Tinh dầu Thanh lọc không khí Peace Mass dùng cho máy xông 10ml,146392751,tiki,Làm Đẹp - Sức Khỏe,Sản phẩm thiên nhiên & Khác,Tinh dầu,https://tiki.vn/product-p146392751.html?spid=146392752,153000,0.0,0,0,PEACE MASS,2026-04-27 17:37:15
"Dầu Hạt Chùm Ngây SAOLA, Nguyên Chất, Chống Lão Hoá, Mờ Thâm Sẹo, Da Sáng Mịn, 10ml và 30ml",277542611,tiki,Làm Đẹp - Sức Khỏe,Sản phẩm thiên nhiên & Khác,Sản phẩm thiên nhiên làm đẹp,https://tiki.vn/product-p277542611.html?spid=277542613,149000,0.0,0,0,Saola,2026-04-27 17:37:15
"Tinh Dầu Thơm Phòng Thiên Nhiên 50ML - Tinh Dầu Khuếch Tán, Tặng Kèm Que Lưu Hương - HÀNG CHÍNH HÃNG MINIIN",277514116,tiki,Làm Đẹp - Sức Khỏe,Sản phẩm thiên nhiên & Khác,Nến thơm,https://tiki.vn/product-p277514116.html?spid=277514117,29000,0.0,0,0,MINIIN,2026-04-27 17:37:15
Dung Môi PurAroma Chuyên Dụng Cho Tinh Dầu Và Nước Hoa - 500mL 1L 2L - Chính Hãng Pháp,274680829,tiki,Làm Đẹp - Sức Khỏe,Sản phẩm thiên nhiên & Khác,Tinh dầu,https://tiki.vn/product-p274680829.html?spid=274680882,129000,5.0,1,11,IMMORTEL PARIS,2026-04-27 17:37:15
Nến Ly Lục Giác Sáp Đậu Nành 284gram từ Yankee Candle - Alfresco Afternoon,273669407,tiki,Làm Đẹp - Sức Khỏe,Sản phẩm thiên nhiên & Khác,Nến thơm,https://tiki.vn/product-p273669407.html?spid=273669408,299000,0.0,0,4,Yankee Candle,2026-04-27 17:37:15
(Đậm Đặc | Chai Lớn) Tinh dầu CAM BERGAMOT nguyên chất PurAroma by IMMORTEL - Chính hãng Pháp,272913749,tiki,Làm Đẹp - Sức Khỏe,Sản phẩm thiên nhiên & Khác,Tinh dầu,https://tiki.vn/product-p272913749.html?spid=273534105,810000,0.0,0,1,PurAroma,2026-04-27 17:37:15
