title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Hot Deal 1 hộp Ngựa Thái-10 viên tặng 1 tube Kem bôi kéo dài Nhật Bản Cream VIP ( 15gam), tăng cường sinh lý nam, kéo dài thời gian",279196864,tiki,Làm Đẹp - Sức Khỏe,Thực phẩm chức năng,Sinh lý - Nội tiết tố,https://tiki.vn/product-p279196864.html?spid=279196865,275000,0.0,0,1,Vitatree,2026-04-27 20:08:34
Hot deal 1 hộp ngựa Thái 10v + 2 gói nước uống tăng lực X2 Energy Ligpro,279127556,tiki,Làm Đẹp - Sức Khỏe,Thực phẩm chức năng,Sinh lý - Nội tiết tố,https://tiki.vn/product-p279127556.html?spid=279127557,149000,1.0,1,6,Ligpro,2026-04-27 20:08:34
Kẹo Mật Ong Hữu Cơ Manuka MGO 550+ TranzAlpine,278848742,tiki,Làm Đẹp - Sức Khỏe,Thực phẩm chức năng,Thực phẩm chức năng thiên nhiên,https://tiki.vn/product-p278848742.html?spid=278851243,112000,0.0,0,0,TranzAlpine,2026-04-27 20:08:34
Tỏi đen Eco cô đơn bóc vỏ Hộp 250g,278070826,tiki,Làm Đẹp - Sức Khỏe,Thực phẩm chức năng,Thực phẩm chức năng thiên nhiên,https://tiki.vn/product-p278070826.html?spid=278070828,385000,0.0,0,1,Kochi,2026-04-27 20:08:34
"Viên uống Nhũ Ngọc Refiro hỗ trợ hạn chế sự phát triển của u sơ tử cung, u vú lành tính (30 viên) - Nutramed",277967951,tiki,Làm Đẹp - Sức Khỏe,Thực phẩm chức năng,Sinh lý - Nội tiết tố,https://tiki.vn/product-p277967951.html?spid=277967952,335000,0.0,0,5,NUTRAMED,2026-04-27 20:08:34
Lactobact Intima – Viên Uống Men Vi Sinh Cho Phụ Nữ – Hỗ Trợ Cân Bằng Hệ Vi Sinh – Hàng Công Ty Nhập Khẩu,277761393,tiki,Làm Đẹp - Sức Khỏe,Thực phẩm chức năng,Hỗ trợ tiêu hóa,https://tiki.vn/product-p277761393.html?spid=277761957,612312,5.0,1,3,Lactobact Intima,2026-04-27 20:08:34
Combo 2 sản phẩm Viên Uống Bổ Sung Canxi hỗ trợ phát triển chiều cao CALCIUM KAIRO PLUS - Hộp 120 viên,277572217,tiki,Làm Đẹp - Sức Khỏe,Thực phẩm chức năng,Cơ xương khớp,https://tiki.vn/product-p277572217.html?spid=277572218,350000,0.0,0,0,CALCIUM KAIRO PLUS,2026-04-27 20:08:34
Viên uống nghệ 3 mùa Okinawa Orihiro 420 viên,276501371,tiki,Làm Đẹp - Sức Khỏe,Thực phẩm chức năng,Thực phẩm chức năng thiên nhiên,https://tiki.vn/product-p276501371.html?spid=276501372,550000,0.0,0,1,Orihiro,2026-04-27 20:08:34
"Optibac Probiotics for women 90 viên - men vi sinh chính hãng Anh khắc phục hiệu quả viêm nhiễm, nấm ngứa phụ khoa (mẫu mới)",276483100,tiki,Làm Đẹp - Sức Khỏe,Thực phẩm chức năng,Sinh lý - Nội tiết tố,https://tiki.vn/product-p276483100.html?spid=276483103,750000,5.0,13,5,optiba,2026-04-27 20:08:34
[CHÍNH HÃNG] Cao ống Atiso không đường Ladophar Lado Actisô giải độc gan thanh lọc cơ thể - Hộp 10 ống x 10ml,276242414,tiki,Làm Đẹp - Sức Khỏe,Thực phẩm chức năng,Thải độc cơ thể,https://tiki.vn/product-p276242414.html?spid=276242415,60000,0.0,0,16,Ladophar,2026-04-27 20:08:34
DMAXX thức uống bổ sung vitamin năng lượng không đường DAMODE 1 gói dùng thử màu đỏ,276166403,tiki,Làm Đẹp - Sức Khỏe,Thực phẩm chức năng,Vitamin và Khoáng chất,https://tiki.vn/product-p276166403.html?spid=276166404,66000,5.0,1,15,Damode,2026-04-27 20:08:34
VIÊN UỐNG HỖ TRỢ GIẤC NGỦ CHIẾT XUẤT RỄ SÂM ẤN ĐỘ LAC ASHWAGANDHA ROOT 500MG (60 VIÊN),276160633,tiki,Làm Đẹp - Sức Khỏe,Thực phẩm chức năng,Thực phẩm chức năng khác,https://tiki.vn/product-p276160633.html?spid=276160634,1404740,0.0,0,0,LAC,2026-04-27 20:08:34
Viên uống bổ sung Vitamin khoáng chất NUTRIMEN Damode lọ 100 viên,276110962,tiki,Làm Đẹp - Sức Khỏe,Thực phẩm chức năng,Vitamin và Khoáng chất,https://tiki.vn/product-p276110962.html?spid=276110963,1406900,5.0,1,1,Damode,2026-04-27 20:08:34
"Viên uống Biotin ngăn rụng tóc, hỗ trợ mọc tóc DHC Biotin Nhật Bản 30 ngày - 30 viên",276009372,tiki,Làm Đẹp - Sức Khỏe,Thực phẩm chức năng,Thực phẩm chức năng làm đẹp,https://tiki.vn/product-p276009372.html?spid=276009373,185000,0.0,0,5,DHC,2026-04-27 20:08:34
"Combo Bộ 2 Hộp Collagen Uống Trẻ Hóa Sáng Da & 2 Hộp Enzyme Chiết Xuất Từ Trái Cây và Rau Củ Hỗ Trợ Tiêu Hoá, Thanh Lọc Cơ Thể Coolvita (4 Hộp)",275029894,tiki,Làm Đẹp - Sức Khỏe,Thực phẩm chức năng,Thực phẩm chức năng làm đẹp,https://tiki.vn/product-p275029894.html?spid=275029895,419900,0.0,0,0,COOL-VITA,2026-04-27 20:08:34
"Dạ Dày Tuệ Tĩnh hỗ trợ giảm trào ngược bao tử, đầy hơi, loét đau da day 1 hộp 30 viên",274716210,tiki,Làm Đẹp - Sức Khỏe,Thực phẩm chức năng,Hỗ trợ tiêu hóa,https://tiki.vn/product-p274716210.html?spid=274716211,520000,0.0,0,0,Mộc Tỳ Vị,2026-04-27 20:08:34
THỰC PHẨM BẢO VỆ SỨC KHỎE CLAM EXTRACT WITH LIVER HYDROLYSATE AND TURMERIC PREMIUM FINE JAPAN GÓI 75 VIÊN/90 VIÊN/270 VIÊN,273677938,tiki,Làm Đẹp - Sức Khỏe,Thực phẩm chức năng,Thải độc cơ thể,https://tiki.vn/product-p273677938.html?spid=273677940,365500,0.0,0,0,Fine Japan,2026-04-27 20:08:34
Viên uống chống hấp thụ Calories Burn FINE JAPAN hạn chế hấp thụ tinh bột & chất béo gói 150 viên (30 ngày),272939853,tiki,Làm Đẹp - Sức Khỏe,Thực phẩm chức năng,Thực phẩm chức năng khác,https://tiki.vn/product-p272939853.html?spid=272939854,357000,5.0,1,5,Fine Japan,2026-04-27 20:08:34
Viên uống nội tiết Đào An sắc,272135853,tiki,Làm Đẹp - Sức Khỏe,Thực phẩm chức năng,Sinh lý - Nội tiết tố,https://tiki.vn/product-p272135853.html?spid=272135854,550000,0.0,0,0,TjDin skin,2026-04-27 20:08:34
Nước hồng sâm wongi Wellbio biok hàn quốc hộp 10 chai x 100ml,272107771,tiki,Làm Đẹp - Sức Khỏe,Thực phẩm chức năng,Thực phẩm chức năng thiên nhiên,https://tiki.vn/product-p272107771.html?spid=272107772,150000,0.0,0,0,Well Bio,2026-04-27 20:08:34
"[Tặng Hộp 15v] Combo 2 Hộp 60v - Viên Uống Bổ Não OTIV Ecogreen Giảm Đau Đầu Mất Ngủ, Tăng Trí Nhớ",193263789,tiki,Làm Đẹp - Sức Khỏe,Thực phẩm chức năng,Hỗ trợ trí não,https://tiki.vn/product-p193263789.html?spid=193263790,1591040,5.0,12,129,OTiV,2026-04-27 20:08:34
"[Tặng Hộp 15v] Combo 2 Hộp 60v - Viên Uống Hỗ Trợ Sinh Lý Nam ALIPAS Ecogreen Tăng Cường Testosterone, Chứa Tinh Chất Hàu",189461061,tiki,Làm Đẹp - Sức Khỏe,Thực phẩm chức năng,Sinh lý - Nội tiết tố,https://tiki.vn/product-p189461061.html?spid=189461062,3598240,5.0,7,90,Alipas,2026-04-27 20:08:34
"Nước Nấm Đông Trùng Hạ Thảo HECTOR Sâm tăng cường đề kháng, bồi bổ cơ thể",188659789,tiki,Làm Đẹp - Sức Khỏe,Thực phẩm chức năng,Thực phẩm chức năng thiên nhiên,https://tiki.vn/product-p188659789.html?spid=188659790,490000,4.8,5,38,HECTOR,2026-04-27 20:08:34
"Nước uống collagen thảo dược giúp đẹp da, hỗ trợ ngủ ngon Blossomy Premium lốc 10 chai x 50ml",188127814,tiki,Làm Đẹp - Sức Khỏe,Thực phẩm chức năng,Thực phẩm chức năng làm đẹp,https://tiki.vn/product-p188127814.html?spid=188127817,662000,4.6,27,247,Blossomy,2026-04-27 20:08:34
COMBO 2 Hộp Chiết Xuất Nhung Hươu Và Hồng Sâm Hàn Quốc 6 Năm Tuổi Ginseng House - 60 gói x 70ml,186517279,tiki,Làm Đẹp - Sức Khỏe,Thực phẩm chức năng,Thực phẩm chức năng thiên nhiên,https://tiki.vn/product-p186517279.html?spid=186517280,1899000,0.0,0,12,Chong Kun Dang,2026-04-27 20:08:34
Siro Amidan PQA Giúp Bổ Phế Hỗ Trợ Giảm Ho Giảm Sưng Đau Do Viêm Họng Hộp 125ml,185249695,tiki,Làm Đẹp - Sức Khỏe,Thực phẩm chức năng,Tăng cường hệ miễn dịch,https://tiki.vn/product-p185249695.html?spid=185249699,292000,0.0,0,5,PQA,2026-04-27 20:08:34
"Thực phẩm bảo vệ sức khỏe Thảo mộc cải thiện cân nặng Slimaura Care X3 hộp 38 viên - dành cho người béo lâu năm, cơ địa chai lì",176048170,tiki,Làm Đẹp - Sức Khỏe,Thực phẩm chức năng,Thực phẩm chức năng làm đẹp,https://tiki.vn/product-p176048170.html?spid=278747160,550000,4.7,36,399,Slimming care,2026-04-27 20:08:34
"[Tặng Angela 15v] Combo 2 Hộp 60v - Viên Uống ANGELA GOLD Hỗ Trợ Sức Khỏe, Sắc Đẹp Và Sinh Lý Nữ",173472760,tiki,Làm Đẹp - Sức Khỏe,Thực phẩm chức năng,Sinh lý - Nội tiết tố,https://tiki.vn/product-p173472760.html?spid=173472761,1876160,4.8,57,398,Angela Gold,2026-04-27 20:08:34
Sâm Mỹ-Sâm Hoa Kỳ thương hiệu Baumann dạng viên-100% American Gingseng-1 Chai 130 viên 400 mg,165257030,tiki,Làm Đẹp - Sức Khỏe,Thực phẩm chức năng,Tăng cường hệ miễn dịch,https://tiki.vn/product-p165257030.html?spid=165257031,1617000,0.0,0,4,BAUMANN WINCOSIN GINSENG,2026-04-27 20:08:34
01 Thùng 03 hộp Nước uống đẹp da The Collagen Shiseido (Hộp 10 chai x 50mL),146643977,tiki,Làm Đẹp - Sức Khỏe,Thực phẩm chức năng,Thực phẩm chức năng làm đẹp,https://tiki.vn/product-p146643977.html?spid=159786707,1435000,4.7,44,214,Shiseido,2026-04-27 20:08:34
Combo Mật ong rừng nguyên chất Hoa Xuyến Chi Honimore 1kg - giúp tăng cường đề kháng,115828471,tiki,Làm Đẹp - Sức Khỏe,Thực phẩm chức năng,Thực phẩm chức năng thiên nhiên,https://tiki.vn/product-p115828471.html?spid=115828486,297000,5.0,11,72,HONIMORE,2026-04-27 20:08:34
Combo 3 Hộp Viên uống Marilyn Plus hỗ trợ giảm các biểu hiện do suy giảm nội tiết tố nữ,105671386,tiki,Làm Đẹp - Sức Khỏe,Thực phẩm chức năng,Sinh lý - Nội tiết tố,https://tiki.vn/product-p105671386.html?spid=105671387,660000,4.7,16,56,Dân Khang Pharma,2026-04-27 20:08:34
Phấn hoa thiên nhiên Honeyboy 250 gram,82669393,tiki,Làm Đẹp - Sức Khỏe,Thực phẩm chức năng,Tăng cường hệ miễn dịch,https://tiki.vn/product-p82669393.html?spid=82669395,140000,0.0,0,0,HONEYBOY,2026-04-27 20:08:34
Viên ngủ ngon Sleepy Nhật Bản 80 viên – Hàng nhập khẩu nội địa Nhật Bản,80484163,tiki,Làm Đẹp - Sức Khỏe,Thực phẩm chức năng,Hỗ trợ trí não,https://tiki.vn/product-p80484163.html?spid=276478885,580000,0.0,0,0,FUJINA,2026-04-27 20:08:34
Shiseido The Collagen EXR hộp 10 chai x 50ml Nhật Bản,76277346,tiki,Làm Đẹp - Sức Khỏe,Thực phẩm chức năng,Thực phẩm chức năng làm đẹp,https://tiki.vn/product-p76277346.html?spid=106760298,789000,4.8,38,284,Shiseido,2026-04-27 20:08:34
Viên tinh nghệ mật ong (MS) -250g,71200200,tiki,Làm Đẹp - Sức Khỏe,Thực phẩm chức năng,Thực phẩm chức năng thiên nhiên,https://tiki.vn/product-p71200200.html?spid=71200201,160000,4.7,127,806,MS,2026-04-27 20:08:34
Viên uống trắng da giảm nám DrNano Royal Chính hãng,47158276,tiki,Làm Đẹp - Sức Khỏe,Thực phẩm chức năng,Thực phẩm chức năng làm đẹp,https://tiki.vn/product-p47158276.html?spid=47158277,350000,5.0,5,21,Minh Lady Beauty,2026-04-27 20:08:34
"Cao tinh dầu Sao la (Saola Essential Oil Balm) 11g - Hỗ trợ giảm đau lưng, nhức mỏi, đau khớp, giúp ngủ ngon. Sản phẩm sản xuất từ các loại dược liệu thiên nhiên - Hàng Chính Hãng",20349938,tiki,Làm Đẹp - Sức Khỏe,Thực phẩm chức năng,Cơ xương khớp,https://tiki.vn/product-p20349938.html?spid=20349939,58500,5.0,11,66,Sao La,2026-04-27 20:08:34
Nước Chiết Xuất Linh Chi Và Hồng Sâm Hàn Quốc 6 Năm Tuổi Hộp 30 gói x 70ml - Ginseng House,16331229,tiki,Làm Đẹp - Sức Khỏe,Thực phẩm chức năng,Thực phẩm chức năng thiên nhiên,https://tiki.vn/product-p16331229.html?spid=16331230,969000,5.0,5,51,Chong Kun Dang,2026-04-27 20:08:34
