title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Kem trang điểm trắng da khi Make Up Treechada Thái Lan 50ml,279230449,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Trang điểm mặt,https://tiki.vn/product-p279230449.html?spid=279230450,275000,0.0,0,0,Doori,2026-04-27 17:28:16
Son dưỡng môi không màu chuyển kem mịn LipIce Creamy 3.3g,279105357,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Son & Trang điểm môi,https://tiki.vn/product-p279105357.html?spid=279105360,53000,0.0,0,840,LipIce,2026-04-27 17:28:16
Kem nền dạng lỏng Mistine Semi Matte Velvet Liquid Foundation No.FN2 - Tông màu be da,279097723,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Trang điểm mặt,https://tiki.vn/product-p279097723.html?spid=279097724,428500,0.0,0,1,Mistine,2026-04-27 17:28:16
[MỚI] Má Hồng Kem Đa Năng 3-in-1 Trang Điểm Má Mắt Môi Mịn Lì Dễ Tán Bền Màu Glamrr Q Mellow Touch Lip Cheek Pot (1.8g) màu 01,279083251,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Trang điểm mặt,https://tiki.vn/product-p279083251.html?spid=279083252,183600,5.0,1,5,Glamrr Q,2026-04-27 17:28:16
[MỚI] Kem Nền Serum Căng Bóng Glamrr Q Daily SkinTint Serum Vegan Foundation SPF50+/PA++++ (30ml) màu #0.7 trắng sáng,278949523,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Trang điểm mặt,https://tiki.vn/product-p278949523.html?spid=278949524,320000,0.0,0,2,Glamrr Q,2026-04-27 17:28:16
"Son Dưỡng Thuần Chay Có Màu 3in1 Nha Đam Cam Thảo Heebee’s AloeLica Lip Balm Ủ Dưỡng Môi, Căng Bóng, Sáng Hồng, Mờ Thâm 3.5g",278931381,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Son & Trang điểm môi,https://tiki.vn/product-p278931381.html?spid=278931383,286000,0.0,0,0,Heebee Vietnam,2026-04-27 17:28:16
Bút Chì Gel Kẻ Mí Mắt Siêu Chống Trôi Dạng Xoay Kissme Heroine Make Màu Nâu #02 0.08 G,278666489,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Trang điểm mắt,https://tiki.vn/product-p278666489.html?spid=278666490,249000,5.0,1,1,Kissme,2026-04-27 17:28:16
Kem Che Khuyết Điểm Peptide Lifting Eye Concealer Inglot (4.6ml),278503543,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Trang điểm mặt,https://tiki.vn/product-p278503543.html?spid=278503549,729000,0.0,0,0,INGLOT,2026-04-27 17:28:16
"Má Thạch Highlighter Bắt Sáng SPARKLE Mềm Mịn, Hồng Ánh Nhũ Lấp Lánh",277982904,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Trang điểm mặt,https://tiki.vn/product-p277982904.html?spid=277982905,249000,5.0,1,1,myKella,2026-04-27 17:28:16
"Dụng Cụ Bấm Mi INOX Cho Hàng Mi Cong Dài Lâu Cán Đen, Kẹp Cao Cấp Nhỏ Gọn Tiện Dụng",277907452,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Trang điểm mắt,https://tiki.vn/product-p277907452.html?spid=277907454,30000,0.0,0,1,HIDATI,2026-04-27 17:28:16
"Má Hồng Kem Đa Năng Dạng Thỏi Thuần Chay Căng Bóng Rạng Rỡ Bền Màu Cream Stick Blush Inglot (6,2 g)",277346830,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Trang điểm mặt,https://tiki.vn/product-p277346830.html?spid=277346877,939000,5.0,1,1,INGLOT,2026-04-27 17:28:16
Bảng phấn mắt PERFECT DIARY 12 màu sắc tông lì và ánh nhũ lấp lánh kèm cọ trang điểm cao cấp 14g,276113149,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Trang điểm mắt,https://tiki.vn/product-p276113149.html?spid=276113159,391000,0.0,0,2,PERFECT DIARY,2026-04-27 17:28:16
Son Dưỡng NIVEA Strawberry Shine Sắc Đỏ Dâu Tây (4.8 g) - 85083,275778860,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Son & Trang điểm môi,https://tiki.vn/product-p275778860.html?spid=275778861,58500,5.0,1,2364,Nivea,2026-04-27 17:28:16
Bộ Cọ Trang Điểm 14Cây AW01 Cao cấp  + Hộp  đựng túi da bao đẹp,275579654,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Dụng cụ trang điểm,https://tiki.vn/product-p275579654.html?spid=275579655,262000,4.0,1,5,HIDATI,2026-04-27 17:28:16
"Khay đựng son mica 24 ô trong suốt V.2, Khay đựng mỹ phẩm, son môi, dụng cụ trang điểm 24 ô GROFA",275418431,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Dụng cụ trang điểm,https://tiki.vn/product-p275418431.html?spid=275418432,39000,5.0,1,11,Gro-Fa,2026-04-27 17:28:16
Bảng phấn mắt OHUI Real Color Eye Palette (0.6g x 9 ô),275042444,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Trang điểm mắt,https://tiki.vn/product-p275042444.html?spid=275042448,487500,0.0,0,3,OHUI,2026-04-27 17:28:16
Son Mychi Lip Stick - son kem lỳ Mychi chính hãng,273931004,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Son & Trang điểm môi,https://tiki.vn/product-p273931004.html?spid=273932558,35000,4.7,3,6,Mychi,2026-04-27 17:28:16
Phấn Phủ Bột Trang Điểm myKella Kiểm Soát Dầu Và Làm Mịn Da,273727219,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Trang điểm mặt,https://tiki.vn/product-p273727219.html?spid=273727270,449000,0.0,0,1,myKella,2026-04-27 17:28:16
"Phấn Phủ Dưỡng Da, Che Phủ Lỗ Chân Lông, Kiềm Dầu Club Suppin Powder B Hương Hoa Trắng Nhật Bản Hộp Nhỏ Gọn 12g",273573329,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Trang điểm mặt,https://tiki.vn/product-p273573329.html?spid=273573330,449000,0.0,0,0,Club Suppin,2026-04-27 17:28:16
BÔNG CẮT MIẾNG QUICK-NURSE 6CMX6CM - 500GR,273455606,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Dụng cụ trang điểm,https://tiki.vn/product-p273455606.html?spid=273455607,90000,0.0,0,7,QUICK-NURSE,2026-04-27 17:28:16
Phấn nước che phủ khuyết điểm và bền màu OHUI Ultimate Fit Longwear Jean Cushion SPF35/PA++,273315299,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Trang điểm mặt,https://tiki.vn/product-p273315299.html?spid=273315303,975000,0.0,0,2,OHUI,2026-04-27 17:28:16
Gương Trang Điểm Gấp Gọn Chống Vỡ Kai HK0503,271982320,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Dụng cụ trang điểm,https://tiki.vn/product-p271982320.html?spid=271982321,132000,0.0,0,3,Kai,2026-04-27 17:28:16
Bút Chì Sáp Kẻ Lông Mày Không Lem Trôi Lõi Siêu Mịn Màu Nâu Đen Kissme Heroine Make Quick Eyeliner 0.07 G,271188953,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Trang điểm mắt,https://tiki.vn/product-p271188953.html?spid=271188954,189000,0.0,0,1,Kissme,2026-04-27 17:28:16
Phấn Phủ Trang Điểm Whoo Gongjinhyang Mi Two Way Pact SPF30/PA++ Mẫu Mới Tone 1 Da Trắng Sáng,269901764,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Trang điểm mặt,https://tiki.vn/product-p269901764.html?spid=269901765,1120000,5.0,1,6,the history of whoo,2026-04-27 17:28:16
"[MAYBELLINE NEW YORK] Phấn Nền Dạng Nén Che Phủ, Kiềm Dầu Và Chống Nắng 12H SPF28 Fit Me Compact 6g",263953907,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Trang điểm mặt,https://tiki.vn/product-p263953907.html?spid=273380486,245000,0.0,0,11,Maybelline,2026-04-27 17:28:16
Phấn Má Hồng Daisy Doll By Mary Quant PK-02 Lilac Pink Nhật Bản Siêu Mịn Hộp Kèm Cọ 8.3g,259489418,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Trang điểm mặt,https://tiki.vn/product-p259489418.html?spid=259489419,349000,0.0,0,1,Daisy Doll,2026-04-27 17:28:16
"Son Tint Dạng Kem Bóng Daisy Doll By Mary Quant Nhật Bản Cho Đôi Môi Mọng Nước, Căng Mướt P-01 Sweet Mauve 5g",259489395,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Son & Trang điểm môi,https://tiki.vn/product-p259489395.html?spid=259489396,349000,0.0,0,2,Daisy Doll,2026-04-27 17:28:16
"Kem Che Khuyết Điểm myKella Che Phủ Hoàn Hảo, Phù Hợp Với Mọi Loại Da - Magic Creamy Concealer 5ml",255455595,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Trang điểm mặt,https://tiki.vn/product-p255455595.html?spid=255455599,279000,0.0,0,0,myKella,2026-04-27 17:28:16
Kem trang điểm CC Transino Whitening Cream SPF50+/PA++++,253089919,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Trang điểm mặt,https://tiki.vn/product-p253089919.html?spid=253089920,719000,0.0,0,1,Transino,2026-04-27 17:28:16
Mascara Nâng Cao Siêu Bền Trong 24h Giúp Nâng Cong Và Làm Dài Mi Tối Đa Màu Đen Tuyền Kissme Heroine Make Long Up Mascara Super Wp #01 6 G,203183649,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Trang điểm mắt,https://tiki.vn/product-p203183649.html?spid=262862482,122000,0.0,0,5,Kissme,2026-04-27 17:28:16
Phấn Nước Che Khuyết Điểm Nâng Tone Kiềm Dầu Chống Nắng Dưỡng Da Dewytree Urban Shade Cover & Fit Sun Cushion SPF50+ PA++++(14g),197378660,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Trang điểm mặt,https://tiki.vn/product-p197378660.html?spid=197378661,457600,4.8,37,108,DEWYTREE,2026-04-27 17:28:16
Set 20 Hình Xăm Miếng Dán Lông Mày 6D Chống Thấm Nước Lâu Trôi,195980753,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Dụng cụ trang điểm,https://tiki.vn/product-p195980753.html?spid=195980763,15000,4.0,2,72,Legaxi,2026-04-27 17:28:16
Gương Trang Điểm Gương để bàn trang điểm để bàn lúa mạch 2 mặt gương xoay 360 độ hàng cao cấp,136874056,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Dụng cụ trang điểm,https://tiki.vn/product-p136874056.html?spid=276509038,25000,4.0,1,7,OEM,2026-04-27 17:28:16
Set dạo cạo mặt đa năng Kai Pretty Face - Hàng nội địa Nhật Bản,113933581,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Dụng cụ trang điểm,https://tiki.vn/product-p113933581.html?spid=113933583,72800,5.0,1,1,Kai,2026-04-27 17:28:16
Bộ trang điểm Kem phấn nước mềm mỏng tự nhiên và Son lì  It's well plus,73165144,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Trang điểm mặt,https://tiki.vn/product-p73165144.html?spid=73165150,349000,4.5,7,13,its well plus,2026-04-27 17:28:16
Phấn phủ nén WH GJH Mi Two Way Pact,57913125,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Trang điểm mặt,https://tiki.vn/product-p57913125.html?spid=57913129,1087500,5.0,4,11,the history of whoo,2026-04-27 17:28:16
Son môi WH GJH Mi Luxury Lip Rouge No.,54764748,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Son & Trang điểm môi,https://tiki.vn/product-p54764748.html?spid=55003549,735000,4.8,18,68,the history of whoo,2026-04-27 17:28:16
Son môi hữu cơ dưỡng ẩm dạng thỏi - naturaglacé ROUGE MOIST,26044606,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Son & Trang điểm môi,https://tiki.vn/product-p26044606.html?spid=26044610,888000,4.8,16,85,naturaglacé,2026-04-27 17:28:16
Máy Tỉa Lông Mũi Xiaomi HN1 - Hàng Nhập Khẩu,15830160,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Dụng cụ trang điểm,https://tiki.vn/product-p15830160.html?spid=119078493,315000,4.8,32,146,Xiaomi,2026-04-27 17:28:16
Son Dưỡng Cá Tính Lip Moisturizer Bombshell Scentuals (5g),4984377,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Son & Trang điểm môi,https://tiki.vn/product-p4984377.html?spid=5024311,190000,0.0,0,0,Scentuals,2026-04-27 17:28:16
[MỚI] Má Hồng Kem Đa Năng 3-in-1 Trang Điểm Má Mắt Môi Mịn Lì Dễ Tán Bền Màu Glamrr Q Mellow Touch Lip Cheek Pot (1.8g) màu 02,279083253,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Trang điểm mặt,https://tiki.vn/product-p279083253.html?spid=279083254,183000,0.0,0,3,Glamrr Q,2026-04-27 17:28:16
Mascara Chải Đổi Màu Lông Mày Chống Trôi Siêu Bền Kissme Heavy Rotation Coloring Eyebrow EX 8g (Màu Nâu Nhạt 13),278810835,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Trang điểm mắt,https://tiki.vn/product-p278810835.html?spid=278810836,239000,0.0,0,0,Kissme,2026-04-27 17:28:16
Mascara Chải Đổi Màu Lông Mày Chống Trôi Siêu Bền Màu Hồng Khói Kissme Heavy Rotation EX 8 G,278809833,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Trang điểm mắt,https://tiki.vn/product-p278809833.html?spid=278809834,239000,0.0,0,0,Kissme,2026-04-27 17:28:16
Bút Chì Gel Kẻ Mí Mắt Siêu Chống Trôi Dạng Xoay Kissme Heroine Make 0.08 G (2 Màu),278666452,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Trang điểm mắt,https://tiki.vn/product-p278666452.html?spid=278666485,249000,0.0,0,0,Kissme,2026-04-27 17:28:16
"Kem Nền BB Sekkisei Che Phủ Tự Nhiên, Nền Thoáng Mịn, Chống Nắng SPF50+ PA++++ Clear Wellness Kose Nhật Bản 30ML",278606086,tiki,Làm Đẹp - Sức Khỏe,Trang điểm ,Trang điểm mặt,https://tiki.vn/product-p278606086.html?spid=278606090,792000,0.0,0,0,Sekkisei,2026-04-27 17:28:16
