title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
DORADO USB 3.0 Ổ đĩa DVD ngoài Cắm và chạy Không cần trình điều khiển Ổ đĩa RW ngoài 7 trong 1 Tốc độ cao Ổ đĩa quang Văn phòng,13369413725,lazada,Phụ kiện điện tử,Linh kiện máy tính,Ổ đĩa quang,https://www.lazada.vn/products/pdp-i13369413725.html,377622,5.0,1,0,YYlingx,2026-05-03 15:28:16
USB Bên Ngoài CD-RW Đốt DVD/Đầu Đọc CD Nghe Ổ Đĩa Quang Cho Máy Tính Laptop,2404567129,lazada,Phụ kiện điện tử,Linh kiện máy tính,Ổ đĩa quang,https://www.lazada.vn/products/pdp-i2404567129.html,223400,4.9,41,128,No Brand,2026-05-03 15:28:16
Ổ DVD laptop đọc ghi rất tốt (hàng tháo máy cho ae về độ chế) chuẩn Sata -ổ đĩa quang dvd,2343676520,lazada,Phụ kiện điện tử,Linh kiện máy tính,Ổ đĩa quang,https://www.lazada.vn/products/pdp-i2343676520.html,35000,4.8,33,83,DVDO,2026-05-03 15:28:16
"Đầu đọc Blu-ray ngoài Sony, ổ đĩa quang USB 3.0, tương thích với máy tính, phát lại DVD/CD/BD độ nét cao, đầu ghi DVD ngoài.",13376114945,lazada,Phụ kiện điện tử,Linh kiện máy tính,Ổ đĩa quang,https://www.lazada.vn/products/pdp-i13376114945.html,1231629,0.0,0,0,No Brand,2026-05-03 15:28:16
Ổ đĩa Ghi và Đọc CD Quang DVD HP Writer Bóc máy chính hãng For Desktop and Laptop,2880731357,lazada,Phụ kiện điện tử,Linh kiện máy tính,Ổ đĩa quang,https://www.lazada.vn/products/pdp-i2880731357.html,123636,0.0,0,0,HP,2026-05-03 15:28:16
Ổ Ghi DVD RW Gắn Ngoài Mỏng USB 3.0 Tiện Dụng Đầu Đọc Đầu Đọc Ổ Đĩa Quang Cho Máy Tính Xách Tay PC Dvd Burner,2408079274,lazada,Phụ kiện điện tử,Linh kiện máy tính,Ổ đĩa quang,https://www.lazada.vn/products/pdp-i2408079274.html,207200,4.5,13,28,No Brand,2026-05-03 15:28:16
VERFZM SHOP 7V-12V Bộ điều khiển động cơ không chổi than DC Tốc độ có thể điều chỉnh Nhỏ gọn Bộ điều khiển động cơ ổ đĩa quang Di động Bảng điều khiển tốc độ Ứng dụng của ổ đĩa quang,13377447498,lazada,Phụ kiện điện tử,Linh kiện máy tính,Ổ đĩa quang,https://www.lazada.vn/products/pdp-i13377447498.html,95000,0.0,0,0,No Brand,2026-05-03 15:28:16
"Cáp chuyển CD DVD Laptop ra USB 2.0, biến ổ đĩa quang CD DVD RW thành ổ cứng cắm ngoài.",3225571634,lazada,Phụ kiện điện tử,Linh kiện máy tính,Ổ đĩa quang,https://www.lazada.vn/products/pdp-i3225571634.html,120750,0.0,0,0,No Brand,2026-05-03 15:28:16
R16 BABY SHOP Tốc độ có thể điều chỉnh Bộ điều khiển động cơ không chổi than DC Nhỏ gọn 7V-12V Bộ điều khiển động cơ ổ đĩa quang Di động Bảng điều khiển tốc độ Ứng dụng của ổ đĩa quang,13377431630,lazada,Phụ kiện điện tử,Linh kiện máy tính,Ổ đĩa quang,https://www.lazada.vn/products/pdp-i13377431630.html,96000,0.0,0,0,No Brand,2026-05-03 15:28:16
Động cơ khay ổ đĩa quang trục chính với thẻ Bead cho PS1 CD DVD kết hợp âm thanh băng ghi Cassette boong đĩa,13387222648,lazada,Phụ kiện điện tử,Linh kiện máy tính,Ổ đĩa quang,https://www.lazada.vn/products/pdp-i13387222648.html,37868,0.0,0,0,E-WOITD,2026-05-03 15:28:16
