title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Tay cầm gimbal AOCHUAN SMART X PRO chống rung điện thoại hàng chính hãng,2057054350,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Tay cầm chống rung,https://www.lazada.vn/products/pdp-i2057054350.html,1450000,0.0,0,0,No Brand,2026-05-03 10:05:04
"Tay Cầm Chống Rung Cho Điện Thoại | Gimbal 3-Axis & S5B, Thiết Bị Hỗ Trợ Quay Phim Chuyên Nghiệp Chống Rung 3 Trục Chuyển Cảnh Mượt Mà, Tự Động Theo Dõi Chuyển Động, Pin Dung Lượng Cao Sử Dụng 4-5 Tiếng Liên Tục",2251663038,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Tay cầm chống rung,https://www.lazada.vn/products/pdp-i2251663038.html,1525000,0.0,0,35,No Brand,2026-05-03 10:05:04
"Tay Cầm Chống Rung Cho Điện Thoại S5B | Gimbal Chống Rung 3 Trục S5B, Nhận Dạng Chuyển Động, Độ Chính Xác Cao, Quay Mượt Mà, Chống Rung Cực Tốt, Quay Video Chuyên Nghiệp, Quay Vlog, Quay Phim. Bảo Hành 1 Năm",2252983368,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Tay cầm chống rung,https://www.lazada.vn/products/pdp-i2252983368.html,1530000,0.0,0,25,No Brand,2026-05-03 10:05:04
"Tay cầm chụp ảnh chống rung, kết nối bluetooth có từ tính, gậy chụp ảnh",2372871089,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Tay cầm chống rung,https://www.lazada.vn/products/pdp-i2372871089.html,229000,0.0,0,6,No Brand,2026-05-03 10:05:04
"Tay cầm MÁY ẢNH 💝Freeship💝 chống rung, chống lắc, tạo khoảnh khắc cho bạn thăng hoa",3176226262,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Tay cầm chống rung,https://www.lazada.vn/products/pdp-i3176226262.html,218000,0.0,0,0,No Brand,2026-05-03 10:05:04
Tay cầm chơi game U-PAD 360 - hỗ trợ rung,2364860335,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Tay cầm chống rung,https://www.lazada.vn/products/pdp-i2364860335.html,189000,0.0,0,0,No Brand,2026-05-03 10:05:04
Tay Cầm Chơi Game Đơn Có Rung Cổng USB - Gamepad Cho PC Laptop Chơi FO4,2811247003,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Tay cầm chống rung,https://www.lazada.vn/products/pdp-i2811247003.html,107000,0.0,0,8,No Brand,2026-05-03 10:05:04
"Tay Cầm Chơi Mobile Game V18 - Bluetooth, Led,  Có Rung",2430491846,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Tay cầm chống rung,https://www.lazada.vn/products/pdp-i2430491846.html,159000,0.0,0,39,No Brand,2026-05-03 10:05:04
"Tay Cầm Gamepad Bluetooth P4 Không Dây – Cảm Ứng, Rung, LED – Dùng Cho PC Android iOS máy tính , laptop , smartphone",1767598685,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Tay cầm chống rung,https://www.lazada.vn/products/pdp-i1767598685.html,270000,0.0,0,43,No Brand,2026-05-03 10:05:04
"Tay Cầm Chơi Game CHO PC Đầu USB Có Rung, Joystick",869390420,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Tay cầm chống rung,https://www.lazada.vn/products/pdp-i869390420.html,104500,0.0,0,11,No Brand,2026-05-03 10:05:04
Hohem Isteady V2 - Tay Cầm Chống Rung (Gimbal) Tích Hợp Cảm Biến Tầm Nhìn AI Dành Cho Smartphone,1416428548,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Tay cầm chống rung,https://www.lazada.vn/products/pdp-i1416428548.html,2392000,0.0,0,0,No Brand,2026-05-03 10:05:04
Tay Cầm Chống Rung DJI Osmo Mobile 6,2090716805,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Tay cầm chống rung,https://www.lazada.vn/products/pdp-i2090716805.html,3690000,0.0,0,0,No Brand,2026-05-03 10:05:04
Gimbal Tay Cầm Chống Rung Xiaomi Mi Action 4K Hãng,2148058605,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Tay cầm chống rung,https://www.lazada.vn/products/pdp-i2148058605.html,2049700,0.0,0,0,No Brand,2026-05-03 10:05:04
"Tay Cầm Gamepad Bluetooth T28 / P4 Không Dây – Cảm Ứng, Rung, LED – Dùng Cho PC Android iOS máy tính , laptop , smartphone",2846059181,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Tay cầm chống rung,https://www.lazada.vn/products/pdp-i2846059181.html,270000,0.0,0,110,No Brand,2026-05-03 10:05:04
"Tay cầm chơi game 4in1- gamepad tặng kèm 2 nút di chuyển và 2 phím bấm kim loại , có giá đỡ giúp chống rung  chống mỏi , phù hợp game thủ liên quân, pubg ....",280950092,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Tay cầm chống rung,https://www.lazada.vn/products/pdp-i280950092.html,69000,0.0,0,21,No Brand,2026-05-03 10:05:04
"Tay cầm P07 LED RGB siêu rung - kết nối bluetooth hỗ trợ PC/Laptop/Smart Phone, Tay Cầm chơi game FO4 Dây",2437216151,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Tay cầm chống rung,https://www.lazada.vn/products/pdp-i2437216151.html,409400,0.0,0,0,No Brand,2026-05-03 10:05:04
Gậy Tự Sướng Bluetooth Chống Rung Có Thể Quay 360 Độ,3301744232,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Tay cầm chống rung,https://www.lazada.vn/products/pdp-i3301744232.html,167000,0.0,0,92,No Brand,2026-05-03 10:05:04
Ulanzi | Tay Cầm Chống Rung Quay Phim Bluetooth Điều Khiển Từ Xa Vlogging Tự Sướng,3280412390,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Tay cầm chống rung,https://www.lazada.vn/products/pdp-i3280412390.html,430000,0.0,0,38,No Brand,2026-05-03 10:05:04
Gậy Tự Sướng Chống Rung & Tripod Quay 360°,3221713674,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Tay cầm chống rung,https://www.lazada.vn/products/pdp-i3221713674.html,331000,0.0,0,0,No Brand,2026-05-03 10:05:04
Ulanzi | Tay Cầm Chống Rung Đa Năng Điều Chỉnh Được 3 Đoạn,13314189458,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Tay cầm chống rung,https://www.lazada.vn/products/pdp-i13314189458.html,1261000,0.0,0,0,No Brand,2026-05-03 10:05:04
"Tay Cầm Chơi Game Xbox 360 Không Dây/có Dây, Rung Kép, Tốc Độ Cao, Tương Thích Với Xbox 360/360 Slim Và PC Windows - Gamepad Dành Cho Chơi Game",3308771808,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Tay cầm chống rung,https://www.lazada.vn/products/pdp-i3308771808.html,376000,0.0,0,117,No Brand,2026-05-03 10:05:04
"Gimbal Chống Rung Cầm Tay 3 Trục AOCHUAN Dành Cho Điện Thoại Thông Minh Với Đèn Chiếu Sáng, Theo Dõi Khuôn Mặt, Quay Vlog Thông Minh XE, Tương Thích Với iPhone Và Android",3233592894,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Tay cầm chống rung,https://www.lazada.vn/products/pdp-i3233592894.html,2025000,0.0,0,0,No Brand,2026-05-03 10:05:04
"Tay Cầm Chơi Game Xbox 360 Không Dây/có Dây, Rung Kép, Tốc Độ Cao, Tương Thích Với Xbox 360/360 Slim Và PC Windows - Gamepad Dành Cho Chơi Game",3243833588,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Tay cầm chống rung,https://www.lazada.vn/products/pdp-i3243833588.html,293600,0.0,0,10,No Brand,2026-05-03 10:05:04
"Gimbal Chống Rung Cầm Tay Thông Minh AOCHUAN Smart P2 3 Trục Từ Tính Với Tính Năng Theo Dõi AI Và Cần Kéo Dài, Tương Thích Với Điện Thoại Thông Minh iPhone",3248163238,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Tay cầm chống rung,https://www.lazada.vn/products/pdp-i3248163238.html,3403000,0.0,0,19,No Brand,2026-05-03 10:05:04
