title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Thiết bị sạc nhanh 200W với bộ dây cáp USB-C cho điện thoại thông minh-Sạc nhanh được chứng nhận 3.0,3234622673,lazada,Phụ kiện điện tử,Phụ kiện di động,Bộ sạc có dây,https://www.lazada.vn/products/pdp-i3234622673.html,44000,5.0,22,45,Kstarhare,2026-05-02 22:52:57
Bộ Sạc Nhanh iPhone 20W & 30W chính hãng | Dây Sạc Type C-Lightning 1M + Củ Sạc PD USB-C | Tương Thích iPhone 8-14 Pro Max | Phụ kiện  3 ip,3198296629,lazada,Phụ kiện điện tử,Phụ kiện di động,Bộ sạc có dây,https://www.lazada.vn/products/pdp-i3198296629.html,24806,5.0,2,22,No Brand,2026-05-02 22:52:57
"( ĐIỆN MÁY XANH ) Bộ SạC Samsung 45W Kèm Dây Sạc Samsung 45W Type C Hàng Zin Chính Hãng .Sạc Nhanh Samsung 45W Gồm Củ Sạc Samsung Và Cáp Sạc Nhanh Type C .Bộ Sạc Nhanh Samsung 45W Cho Dòng Note 20, S20,S21,S22, Máy Tính Bảng Sạc Nhanh 45W Type C",3186156832,lazada,Phụ kiện điện tử,Phụ kiện di động,Bộ sạc có dây,https://www.lazada.vn/products/pdp-i3186156832.html,125000,3.4,5,27,No Brand,2026-05-02 22:52:57
"Bộ Sạc Nhanh 20W Chân Tròn Cao Cấp, Dây Cáp Sạc Nhanh PD 20W, Đảm Bảo An Toàn và Ổn Định-NIEVE",3306946041,lazada,Phụ kiện điện tử,Phụ kiện di động,Bộ sạc có dây,https://www.lazada.vn/products/pdp-i3306946041.html,48000,5.0,3,9,No Brand,2026-05-02 22:52:57
"Sạc Nhanh 80W GaN Đa Năng Có Dây Rút - 3 Cổng, Sạc Cùng Lúc Điện Thoại, Laptop, Máy Tính Bảng - Nhỏ Gọn cho Android iOS",3182933911,lazada,Phụ kiện điện tử,Phụ kiện di động,Bộ sạc có dây,https://www.lazada.vn/products/pdp-i3182933911.html,130000,4.6,45,138,No Brand,2026-05-02 22:52:57
Củ sạc cáp sạc nhanh 20W PD kèm cáp cho lPHONE6 7 8 X 11 12 13,2258037204,lazada,Phụ kiện điện tử,Phụ kiện di động,Bộ sạc có dây,https://www.lazada.vn/products/pdp-i2258037204.html,19900,3.0,2,6,Magic,2026-05-02 22:52:57
Bộ Sạc Nhanh 25W Củ Cáp Sạc và sạc nhanh 3.0,1014870760,lazada,Phụ kiện điện tử,Phụ kiện di động,Bộ sạc có dây,https://www.lazada.vn/products/pdp-i1014870760.html,34000,4.7,466,1700,No Brand,2026-05-02 22:52:57
"Combo 3 Món : Củ Sạc Nhanh 120W, Cáp Sạc 3 đầu 100W, Cáp sạc 4 đầu - 4in1. Cốc Sạc NHanh. Sạc cho nhiều thiết bị",3161931395,lazada,Phụ kiện điện tử,Phụ kiện di động,Bộ sạc có dây,https://www.lazada.vn/products/pdp-i3161931395.html,69000,3.3,3,19,No Brand,2026-05-02 22:52:57
Bộ Sạc Nhanh XIAOMI 33W + Kèm Cáp Sạc chuẩn TYPE C FULLBOX,2221341711,lazada,Phụ kiện điện tử,Phụ kiện di động,Bộ sạc có dây,https://www.lazada.vn/products/pdp-i2221341711.html,99000,4.6,97,267,Xiaomi,2026-05-02 22:52:57
Bộ Sạc Nhanh SAMSUNG S6/S7/S8/NOTE5 + Kèm Cáp Chuẩn MICRO USB Hàng FULLBOX,2332392413,lazada,Phụ kiện điện tử,Phụ kiện di động,Bộ sạc có dây,https://www.lazada.vn/products/pdp-i2332392413.html,49000,4.3,3,6,No Brand,2026-05-02 22:52:57
"( Củ Rời , Cáp Rời ) - Bộ Sạc Siêu Nhanh 25w , Củ + Cáp Adaptor 25W + Cable chuẩn C to C Dùng Cho SS - Bảo Hành 12TH",3168096165,lazada,Phụ kiện điện tử,Phụ kiện di động,Bộ sạc có dây,https://www.lazada.vn/products/pdp-i3168096165.html,65000,4.5,8,24,No Brand,2026-05-02 22:52:57
"( HCM giao hỏa tốc ) - Bộ Sạc Siêu Nhanh 25w , Củ + Cáp Adaptor 25W + Cable chuẩn C to C Dùng Cho Samsung",149119215,lazada,Phụ kiện điện tử,Phụ kiện di động,Bộ sạc có dây,https://www.lazada.vn/products/pdp-i149119215.html,104000,4.7,14,35,No Brand,2026-05-02 22:52:57
"Bộ Sạc Nhanh 20W Chân Tròn Cao Cấp, Dây Cáp Sạc Nhanh PD 20W, Đảm Bảo An Toàn và Ổn Định-HAUSE",3306806501,lazada,Phụ kiện điện tử,Phụ kiện di động,Bộ sạc có dây,https://www.lazada.vn/products/pdp-i3306806501.html,48000,5.0,1,12,No Brand,2026-05-02 22:52:57
"Bộ Củ Cáp Sạc Nhanh 80w Super Vooc Oppo 80W, Dây Cáp Sạc Vooc Type C Và Cục Củ Sạc Oppo Super VOOC 80w 65W",3073035940,lazada,Phụ kiện điện tử,Phụ kiện di động,Bộ sạc có dây,https://www.lazada.vn/products/pdp-i3073035940.html,85000,4.8,8,35,No Brand,2026-05-02 22:52:57
"Combo Củ + Dây , Bộ Sạc Siêu Nhanh 25W (Adaptor 25W + Cable chuẩn C to C)- Tương Thích: Note 7 , Note FE, Galaxy A5 2017,A7 2017, A8 2018, A8 Plus 2018 Cùng Tương Thích: Galaxy S8/S8 Plus, Galaxy S9/S9 Plus, Note8, Note9, Note10, Note10+, S10,..",2102369094,lazada,Phụ kiện điện tử,Phụ kiện di động,Bộ sạc có dây,https://www.lazada.vn/products/pdp-i2102369094.html,90000,5.0,16,21,No Brand,2026-05-02 22:52:57
"Bộ Sạc nhanh đa năng iPhone 30w 2 cổng USB và TYPE-C. Bao gồm củ sạc, 2 cáp sạc và tặng hộp đựng dây  & củ sạc. Công ty bảo hành 12 tháng, lỗi 1 đổi 1 trong 30 ngày",2966573253,lazada,Phụ kiện điện tử,Phụ kiện di động,Bộ sạc có dây,https://www.lazada.vn/products/pdp-i2966573253.html,129000,5.0,4,25,MB,2026-05-02 22:52:57
"Bộ Củ Cáp Sạc Nhanh 18W zin chính hãng Vsmart sản xuất - Sạc zin cho: Live 4, Joy 4, Active 3, Star 5, Joy 3.... Sạc Nhanh, An Toàn, Độ Bền Cao",2850220084,lazada,Phụ kiện điện tử,Phụ kiện di động,Bộ sạc có dây,https://www.lazada.vn/products/pdp-i2850220084.html,56500,5.0,10,81,vsmart,2026-05-02 22:52:57
"Bộ Sạc Nhanh Màu Đen 25W Samsung (  Có hộp , Củ Kèm Cáp C TO C, Dài 1m ) Gíup Sạc Nhanh Cho Các Dòng Máy Typec - Bảo Hành 1 Năm",2414578903,lazada,Phụ kiện điện tử,Phụ kiện di động,Bộ sạc có dây,https://www.lazada.vn/products/pdp-i2414578903.html,95000,5.0,21,72,No Brand,2026-05-02 22:52:57
Bộ sạc IPHONE + kèm cáp Lightning Chất lượng chính hãng,721006690,lazada,Phụ kiện điện tử,Phụ kiện di động,Bộ sạc có dây,https://www.lazada.vn/products/pdp-i721006690.html,49000,0.0,0,0,No Brand,2026-05-02 22:52:57
80WGaN C+C+A Bộ sạc di động có cáp thu gọn Hỗ trợ sạc nhiều loại thiết bị với cáp sạc loại C có thể thu vào 80cm,3196119220,lazada,Phụ kiện điện tử,Phụ kiện di động,Bộ sạc có dây,https://www.lazada.vn/products/pdp-i3196119220.html,132000,4.0,4,6,No Brand,2026-05-02 22:52:57
"Combo Củ + Dây , Bộ Sạc Siêu Nhanh 25W (Adaptor 25W + Cable chuẩn C to C)  Dùng Cho Samsung A90 A80 A72 A71 A70 M51 - BH 1 Năm  - Happy Shop",1990796346,lazada,Phụ kiện điện tử,Phụ kiện di động,Bộ sạc có dây,https://www.lazada.vn/products/pdp-i1990796346.html,115000,4.9,961,2600,Samsung,2026-05-02 22:52:57
"( ĐIỆN MÁY XANH ) Bộ SạC Samsung 45W Kèm Dây Sạc Samsung 45W Type C Hàng Zin Chính Hãng .Sạc Nhanh Samsung 45W Gồm Củ Sạc Samsung Và Cáp Sạc Nhanh Type C .Bộ Sạc Nhanh Samsung 45W Cho Dòng Note 20, S20,S21,S22, Máy Tính Bảng Sạc Nhanh 45W Type C",3095793216,lazada,Phụ kiện điện tử,Phụ kiện di động,Bộ sạc có dây,https://www.lazada.vn/products/pdp-i3095793216.html,250000,4.5,18,36,No Brand,2026-05-02 22:52:57
"Sạc Có Dây Samsung Chính Hãng 65W 3 Cổng Sạc Fullbox nguyên seal Sạc Siêu Nhanh ,Không Nóng Máy , Bảo Vệ Pin, Sạc Nhanh Dành Cho Các Dòng Smartphone Và Laptop",3249309711,lazada,Phụ kiện điện tử,Phụ kiện di động,Bộ sạc có dây,https://www.lazada.vn/products/pdp-i3249309711.html,249000,5.0,3,14,No Brand,2026-05-02 22:52:57
"Bộ sạc nhanh 66W, Củ sạc nhanh + Dây sạc nhanh cho Xiaomi/Huawei/Oppo/Samsung",1576301601,lazada,Phụ kiện điện tử,Phụ kiện di động,Bộ sạc có dây,https://www.lazada.vn/products/pdp-i1576301601.html,90000,4.7,294,1000,No Brand,2026-05-02 22:52:57
"Bộ sạc nhanh 66W, Củ sạc nhanh + Dây sạc nhanh cho Xiaomi/Huawei/Oppo/Samsung",2375695542,lazada,Phụ kiện điện tử,Phụ kiện di động,Bộ sạc có dây,https://www.lazada.vn/products/pdp-i2375695542.html,89000,4.8,6,28,No Brand,2026-05-02 22:52:57
"[ TẶNG KÈM DÂY SẠC ] Củ Sạc nhanh samsung 45w Galaxy Note 10 Plus Note 20 S20 Ultra Note 10 Plus, Cóc Sạc Samsung Siêu Nhanh",2377377769,lazada,Phụ kiện điện tử,Phụ kiện di động,Bộ sạc có dây,https://www.lazada.vn/products/pdp-i2377377769.html,45000,5.0,13,23,No Brand,2026-05-02 22:52:57
Bộ sạc nhanh 67w mi dây sạc type C có Mi turbo Charge 67w max dùng cho mi 13 12 12t 12s Pro Lite Redmi Note K60 K50 11..,3054412443,lazada,Phụ kiện điện tử,Phụ kiện di động,Bộ sạc có dây,https://www.lazada.vn/products/pdp-i3054412443.html,70000,0.0,0,0,No Brand,2026-05-02 22:52:57
"Bộ sạc nhanh Samsung 45W , Cáp zin 5A 2 đầu Type C , Hỗ Trợ Samsung Note 10 Note 20 A71, A70, A80, A90, S20, S20+, S20 Ultra, S21, S22 .",3007608666,lazada,Phụ kiện điện tử,Phụ kiện di động,Bộ sạc có dây,https://www.lazada.vn/products/pdp-i3007608666.html,129000,4.7,12,27,No Brand,2026-05-02 22:52:57
"LazMall Samsung BỘ SẠC NHANH SAMSUNG Củ Sạc Samsung 3 cổng 65W T6530 ( Tặng Kèm Dây Sạc ) 3 Cổng 2 Cổng USB-C,1 Cổng USB-A.65W EP-TA865 1 Cổng C,Cáp Sạc 5A 1m THÍCH HỢP MỌI IP, SAMSUNG, OPPO,...Bộ Sạc Siêu Nhanh 65W Samsung Chính Hãng",2745649922,lazada,Phụ kiện điện tử,Phụ kiện di động,Bộ sạc có dây,https://www.lazada.vn/products/pdp-i2745649922.html,199000,4.5,70,190,No Brand,2026-05-02 22:52:57
"Bộ Sạc Nhanh Samsung PD 45W . Củ Cáp Sạc Nhanh Super Fast Charging Hỗ Trợ Samsung Note 10 Note 20, A80, A90, S20, S20+, S20 Ultra, S21, S22 - BH 12T",3070860852,lazada,Phụ kiện điện tử,Phụ kiện di động,Bộ sạc có dây,https://www.lazada.vn/products/pdp-i3070860852.html,135000,5.0,5,11,No Brand,2026-05-02 22:52:57
"[ HỎA TỐC ] Bộ sạc nhanh Samsung 45W , Cáp zin 5A 2 đầu Type C , Hỗ Trợ Samsung Note 10 Note 20 A71, A70, A80, A90, S20, S20+, S20 Ultra, S21, S22 , S23",2533865357,lazada,Phụ kiện điện tử,Phụ kiện di động,Bộ sạc có dây,https://www.lazada.vn/products/pdp-i2533865357.html,169900,4.9,62,119,No Brand,2026-05-02 22:52:57
[VOUCHER 8%] bộ Sạc Nhanh PD 20W củ sạc cáp sạc nhanh 20w cáp sạc 18w  Bảo Hành 12 Tháng Lỗi 1 Đổi 1],2941803692,lazada,Phụ kiện điện tử,Phụ kiện di động,Bộ sạc có dây,https://www.lazada.vn/products/pdp-i2941803692.html,68000,5.0,44,85,No Brand,2026-05-02 22:52:57
[VOUCHER 8%] Bộ Sạc Có Dây Samsung Chính Hãng 65W 3 Cổng Sạc -sạc siêu nhanh 65w - bộ sac giá rẻ - Linh Kiện Củ sạc nhanh 65W Samsung EP-T6530N 3 cổng sạc,3180425800,lazada,Phụ kiện điện tử,Phụ kiện di động,Bộ sạc có dây,https://www.lazada.vn/products/pdp-i3180425800.html,199000,0.0,0,0,No Brand,2026-05-02 22:52:57
