title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Ốp Ipad, Bao da Ipad cao cấp IBOA logo đầu hươu cực hot( đủ dòng)",857454041,lazada,Phụ kiện điện tử,Phụ kiện di động,Ốp lưng và bao da máy tính bảng,https://www.lazada.vn/products/pdp-i857454041.html,155000,4.8,529,2000,No Brand,2026-05-02 22:20:03
Bao da Máy tính bảng Xiaomi Redmi Pad 2 nam châm từ tính trang bị tính năng Smart Cover,3155243430,lazada,Phụ kiện điện tử,Phụ kiện di động,Ốp lưng và bao da máy tính bảng,https://www.lazada.vn/products/pdp-i3155243430.html,220000,5.0,3,16,No Brand,2026-05-02 22:20:03
"Bao da gập, lưng cứng cho Samsung Galaxy Tab A7 10.4 SM-T505 hãng Kakusiga",1187546719,lazada,Phụ kiện điện tử,Phụ kiện di động,Ốp lưng và bao da máy tính bảng,https://www.lazada.vn/products/pdp-i1187546719.html,120000,4.5,27,91,Kakusiga,2026-05-02 22:20:03
"Bao da TPU cho iPad 10.2-inch Gen 7, Gen 8, Gen 9 Smart Case có khay đựng bút pencil – Hàng chính hãng",2766441031,lazada,Phụ kiện điện tử,Phụ kiện di động,Ốp lưng và bao da máy tính bảng,https://www.lazada.vn/products/pdp-i2766441031.html,165000,5.0,2,10,No Brand,2026-05-02 22:20:03
Bao Da Cover Cho Samsung Galaxy Tab A9 8.7 Inch 2023 X110 / X115 Smart Cover Máy Tính Bảng,2483711521,lazada,Phụ kiện điện tử,Phụ kiện di động,Ốp lưng và bao da máy tính bảng,https://www.lazada.vn/products/pdp-i2483711521.html,140000,5.0,27,92,No Brand,2026-05-02 22:20:03
"Bao da gập dành cho Samsung Galaxy Tab S10 Lite , Tab S10 Fe , Tab S9 Fe hãng Kakusiga",3084740235,lazada,Phụ kiện điện tử,Phụ kiện di động,Ốp lưng và bao da máy tính bảng,https://www.lazada.vn/products/pdp-i3084740235.html,135000,5.0,6,16,Kakusiga,2026-05-02 22:20:03
bao da ipad pro 12.9 2015 2016 2017 tổng hợp,2931757831,lazada,Phụ kiện điện tử,Phụ kiện di động,Ốp lưng và bao da máy tính bảng,https://www.lazada.vn/products/pdp-i2931757831.html,110000,5.0,3,17,No Brand,2026-05-02 22:20:03
Bao Da Tab Samsung Galaxy Tab A8 10.5 (2021) SM-X200 / X205 Hỗ Trợ Smart Cover Cover Cho Máy Tính Bảng,1715270854,lazada,Phụ kiện điện tử,Phụ kiện di động,Ốp lưng và bao da máy tính bảng,https://www.lazada.vn/products/pdp-i1715270854.html,150000,5.0,8,32,No Brand,2026-05-02 22:20:03
Bao da Lishen iPad Air 1/ 2/ Pro 9.7 inch & iPad 10.2/ 10.5 inch TPU Smart Case hỗ trợ smart cover,396354268,lazada,Phụ kiện điện tử,Phụ kiện di động,Ốp lưng và bao da máy tính bảng,https://www.lazada.vn/products/pdp-i396354268.html,109000,4.8,107,356,Lishen,2026-05-02 22:20:03
Bao Da Cover Cho Samsung Galaxy Tab S10+ Plus/ S9+ Plus / S9 FE+ 12.4 Inch Hỗ Trợ Smart Cover Máy Tính Bảng,2484239908,lazada,Phụ kiện điện tử,Phụ kiện di động,Ốp lưng và bao da máy tính bảng,https://www.lazada.vn/products/pdp-i2484239908.html,190000,5.0,7,19,No Brand,2026-05-02 22:20:03
