title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Sạc Siêu Nhanh 66W 20000MAh Cáp Tự Dây Điện Dung Tích Lớn, In Logo Nguồn Điện Di Động Trong Suốt Quà Tặng",3121216575,lazada,Phụ kiện điện tử,Phụ kiện di động,Pin sạc dự phòng,https://www.lazada.vn/products/pdp-i3121216575.html,98000,5.0,5,40,No Brand,2026-05-02 22:46:50
(Tặng Cáp Sạc Nhanh)Sạc dự phòng 50000mAh 80000mah sạc nhanh 120W pin dung lượng lớn có dây cắm nhiều điện thoại,3297198245,lazada,Phụ kiện điện tử,Phụ kiện di động,Pin sạc dự phòng,https://www.lazada.vn/products/pdp-i3297198245.html,185000,4.6,22,103,No Brand,2026-05-02 22:46:50
20000MAh Gạo Đen sạc dự phòng Siêu Mỏng Xách Tay Nguồn Điện Trung Tính Quà Tặng Đóng Gói Phổ đầu ra USB kép sạc nhanh Cho Android Apple,3131600464,lazada,Phụ kiện điện tử,Phụ kiện di động,Pin sạc dự phòng,https://www.lazada.vn/products/pdp-i3131600464.html,38000,5.0,2,26,KENTAI,2026-05-02 22:46:50
STAR FRUIT Mini Pin sạc dự phòng với bốn được xây dựng trong cáp 20000mAh dung tích lớn đồ sạc di động,3157797310,lazada,Phụ kiện điện tử,Phụ kiện di động,Pin sạc dự phòng,https://www.lazada.vn/products/pdp-i3157797310.html,57000,4.3,106,303,STAR FRUIT,2026-05-02 22:46:50
"Kstarhare Mini Pin sạc dự phòng với bốn được xây dựng trong cáp, 20000mAh dung tích lớn đồ sạc di động",3130809282,lazada,Phụ kiện điện tử,Phụ kiện di động,Pin sạc dự phòng,https://www.lazada.vn/products/pdp-i3130809282.html,68000,4.0,104,274,Kstarhare,2026-05-02 22:46:50
"LI-TOP Mini Pin sạc dự phòng với bốn được xây dựng trong cáp, 20000mAh dung tích lớn đồ sạc di động",3130909044,lazada,Phụ kiện điện tử,Phụ kiện di động,Pin sạc dự phòng,https://www.lazada.vn/products/pdp-i3130909044.html,69000,3.1,114,49,Li-Top,2026-05-02 22:46:50
"Pin Sạc Dự Phòng 50000MAH sạc nhanh PD22,5W/20W trong suốt tích hợp 4 dây sạc tích",13343274641,lazada,Phụ kiện điện tử,Phụ kiện di động,Pin sạc dự phòng,https://www.lazada.vn/products/pdp-i13343274641.html,270000,5.0,10,36,No Brand,2026-05-02 22:46:50
Pin sạc dự phòng năng lượng mặt trời 20000mAh với đèn LED kép và la bàn cho cắm trại ngoài trời và sạc khẩn cấp,3200869036,lazada,Phụ kiện điện tử,Phụ kiện di động,Pin sạc dự phòng,https://www.lazada.vn/products/pdp-i3200869036.html,111000,4.9,28,37,WORTHBUY,2026-05-02 22:46:50
Cartoon mini built-in corded power bank 20000 mAh large capacity fast charging mobile power gift,3047584201,lazada,Phụ kiện điện tử,Phụ kiện di động,Pin sạc dự phòng,https://www.lazada.vn/products/pdp-i3047584201.html,109000,4.5,130,345,No Brand,2026-05-02 22:46:50
Sạc dự phòng100000mAh cổng sạc nhanh 120W pd20W kèm 4 đầu cáp sạc màn hình led bảo hành 12 tháng,3183903202,lazada,Phụ kiện điện tử,Phụ kiện di động,Pin sạc dự phòng,https://www.lazada.vn/products/pdp-i3183903202.html,309000,4.6,103,315,No Brand,2026-05-02 22:46:50
(Tặng Cáp Sạc Nhanh)sạc dự phòng pin 50000mAh 80000mAh sạc nhanh pin 120W dung lượng lớn có sẵn nhiều dây sạc,13345217113,lazada,Phụ kiện điện tử,Phụ kiện di động,Pin sạc dự phòng,https://www.lazada.vn/products/pdp-i13345217113.html,258000,4.7,23,64,No Brand,2026-05-02 22:46:50
"Sạc dự phòng Power bank PD22.5W 10000MAH 30000mah 50000mAh pin dự phòng màn hình Led tích hợp tích hợp Tương thích với Type-C, Micro,iPhone",2580177268,lazada,Phụ kiện điện tử,Phụ kiện di động,Pin sạc dự phòng,https://www.lazada.vn/products/pdp-i2580177268.html,239800,4.9,305,2700,DOSEN PRO,2026-05-02 22:46:50
