title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Nắp đậy ống kính Canon - đủ kích thước,1977616893,lazada,Phụ kiện điện tử,Phụ kiện ống kính,Nắp ống kính,https://www.lazada.vn/products/pdp-i1977616893.html,30000,0.0,0,109,No Brand,2026-05-03 15:28:35
ZTOYL Nắp ống kính trước 40.5mm 49mm 52mm 55mm 58mm 62mm 67mm 72mm 77mm 82mm cho máy ảnh,3036393265,lazada,Phụ kiện điện tử,Phụ kiện ống kính,Nắp ống kính,https://www.lazada.vn/products/pdp-i3036393265.html,7051,0.0,0,52,No Brand,2026-05-03 15:28:35
"Nắp đậy ống kính Sony - 40.5, 49, 52, 55, 58, 62, 67, 72, 77, 82mm",1977614767,lazada,Phụ kiện điện tử,Phụ kiện ống kính,Nắp ống kính,https://www.lazada.vn/products/pdp-i1977614767.html,40000,0.0,0,92,No Brand,2026-05-03 15:28:35
Nắp đậy ống kính Nikon - đủ kích thước,1977630820,lazada,Phụ kiện điện tử,Phụ kiện ống kính,Nắp ống kính,https://www.lazada.vn/products/pdp-i1977630820.html,30000,0.0,0,205,No Brand,2026-05-03 15:28:35
JJC Snap-on Lens Cap Nắp đậy ống kính phía trước máy ảnh cho bất kỳ ống kính nào có ren bộ lọc đường kính khác nhau Thay thế nắp ban đầu bằng Bộ giữ nắp ống kính miễn phí,1344021443,lazada,Phụ kiện điện tử,Phụ kiện ống kính,Nắp ống kính,https://www.lazada.vn/products/pdp-i1344021443.html,60900,0.0,0,96,No Brand,2026-05-03 15:28:35
"Nắp trước cho lens Nikon/Nikkor nắp đậy ống kính, cáp trước lens Nikkor 49mm 52mm 55mm 58mm 62mm 67mm 72mm 77mm 82mm",13354782171,lazada,Phụ kiện điện tử,Phụ kiện ống kính,Nắp ống kính,https://www.lazada.vn/products/pdp-i13354782171.html,39000,0.0,0,0,No Brand,2026-05-03 15:28:35
Nắp ống kính máy ảnh canon (nắp đậy lens) các loại đường kính  từ 49mm - 77mm(không logo),2223420296,lazada,Phụ kiện điện tử,Phụ kiện ống kính,Nắp ống kính,https://www.lazada.vn/products/pdp-i2223420296.html,15000,0.0,0,16,No Brand,2026-05-03 15:28:35
"FREESHIP Cap trước cho lens, nắp đậy ống kính cho Fujifilm, Canon, Sony 49mm 52mm 55mm 58mm 62mm 67mm 72mm 77mm 82mm",2597354721,lazada,Phụ kiện điện tử,Phụ kiện ống kính,Nắp ống kính,https://www.lazada.vn/products/pdp-i2597354721.html,39000,0.0,0,28,No Brand,2026-05-03 15:28:35
Nắp Che Ống Kính Máy Ảnh Bằng Kim Loại Cong Có Lỗ Thông Hơi Màu Đen Tương Thích Với Leica M Pentax Canon Sony Olympus Có Nhiều Kích Cỡ Khác Nhau,2562486856,lazada,Phụ kiện điện tử,Phụ kiện ống kính,Nắp ống kính,https://www.lazada.vn/products/pdp-i2562486856.html,122000,0.0,0,22,No Brand,2026-05-03 15:28:35
"Nắp Ống Kính Máy Ảnh Chất Lượng Cao, Lắp Vừa Cho Đường Kính 40.5mm-82mm, Tương Thích Với Nhiều Thương Hiệu, Nắp Ống Kính Phía Trước.",3088300661,lazada,Phụ kiện điện tử,Phụ kiện ống kính,Nắp ống kính,https://www.lazada.vn/products/pdp-i3088300661.html,38400,0.0,0,28,No Brand,2026-05-03 15:28:35
"Nắp đậy ống kính Leica bằng kim loại - 36mm, 39mm, 43mm",1977667794,lazada,Phụ kiện điện tử,Phụ kiện ống kính,Nắp ống kính,https://www.lazada.vn/products/pdp-i1977667794.html,250000,0.0,0,0,No Brand,2026-05-03 15:28:35
"FREESHIP Nắp trước cho lens Canon, nắp đậy ống kính, cáp trước lens Canon 49mm 52mm 55mm 58mm 62mm 67mm 72mm 77mm 82mm",2597313703,lazada,Phụ kiện điện tử,Phụ kiện ống kính,Nắp ống kính,https://www.lazada.vn/products/pdp-i2597313703.html,39000,0.0,0,13,No Brand,2026-05-03 15:28:35
