title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Bảng Vẻ Màu Tự Xoá 8inch/ 10inch/ 12inch/ 16inch/ 20inch--(Xài Pin 2025 và 2016) Cho Bé chơi vừa học,2718415059,lazada,Phụ kiện điện tử,Thiết bị số,Bảng vẽ,https://www.lazada.vn/products/pdp-i2718415059.html,28000,5.0,17,78,No Brand,2026-05-03 21:52:56
HUION 420 4'' Máy Tính Bảng Kỹ Thuật Số Chuyên Nghiệp Với 2048 Mức Áp Lực Máy Tính Bảng Vẽ Chữ Ký Viết Tay Màu Đen 176x111mm,13368283569,lazada,Phụ kiện điện tử,Thiết bị số,Bảng vẽ,https://www.lazada.vn/products/pdp-i13368283569.html,417900,5.0,5,16,No Brand,2026-05-03 21:52:56
Bảng Vẽ Điện Tử VINSA 1060 Plus Màn hình 10x6inch - Hàng chính hãng,1840606853,lazada,Phụ kiện điện tử,Thiết bị số,Bảng vẽ,https://www.lazada.vn/products/pdp-i1840606853.html,645000,4.9,41,248,No Brand,2026-05-03 21:52:56
"Bộ Trang Điểm 24 món, bộ 18 món, Bảng phấn mắt, Kem nền, Kẻ mắt, Kẻ mày, Kẹp cong mi, Gương, Bộ khuôn vẽ mày và Bông mút",2545593978,lazada,Phụ kiện điện tử,Thiết bị số,Bảng vẽ,https://www.lazada.vn/products/pdp-i2545593978.html,205000,4.7,85,249,No Brand,2026-05-03 21:52:56
"Bảng Vẽ Sanrio + Móc Khóa Bi Thép Đa Năng - Phụ Kiện Túi Dễ Thương, Quà Tặng Sinh Nhật Cho Bé",13343544779,lazada,Phụ kiện điện tử,Thiết bị số,Bảng vẽ,https://www.lazada.vn/products/pdp-i13343544779.html,39000,0.0,0,0,No Brand,2026-05-03 21:52:56
Bảng học thông minh nhiều kích thước cho bé,1644520074,lazada,Phụ kiện điện tử,Thiết bị số,Bảng vẽ,https://www.lazada.vn/products/pdp-i1644520074.html,185000,4.6,53,244,No Brand,2026-05-03 21:52:56
"Bảng vẽ viết thông minh, điện tử tự xóa 8.5inch đến 16inch cho bé",3091548512,lazada,Phụ kiện điện tử,Thiết bị số,Bảng vẽ,https://www.lazada.vn/products/pdp-i3091548512.html,28938,5.0,4,13,No Brand,2026-05-03 21:52:56
Bảng Vẽ Tự Xóa Đồ Chơi Thông Minh Cho Bé Đa Màu Dùng Pin Cr2025,2161675592,lazada,Phụ kiện điện tử,Thiết bị số,Bảng vẽ,https://www.lazada.vn/products/pdp-i2161675592.html,59000,5.0,1324,5200,No Brand,2026-05-03 21:52:56
"Bảng mica viết bút lông kích thước 40 x 60cm tặng kèm bút, lau bảng",1466293041,lazada,Phụ kiện điện tử,Thiết bị số,Bảng vẽ,https://www.lazada.vn/products/pdp-i1466293041.html,105000,4.8,153,661,No Brand,2026-05-03 21:52:56
Bảng vẽ đèn led hắt sáng 3 cấp độ A4 trong suốt điều chỉnh độ sáng bảo vệ mắt chất lượng tốt.,2394860081,lazada,Phụ kiện điện tử,Thiết bị số,Bảng vẽ,https://www.lazada.vn/products/pdp-i2394860081.html,137068,5.0,20,71,No Brand,2026-05-03 21:52:56
[20 Inch] Bảng Vẽ Tự Xóa 20 inch 16 inch 13 inch Đa Sắc Thông Minh Sạc Pin Cho Bé Bảng Tự Xóa Màn Hình LCD Đa Sắc Đồ Họa Đẹp Bảng ĐIện Tử Tự Xóa Sạc Pin Cao Cấp- Dừa Shopkids,2657834347,lazada,Phụ kiện điện tử,Thiết bị số,Bảng vẽ,https://www.lazada.vn/products/pdp-i2657834347.html,135000,5.0,2,16,No Brand,2026-05-03 21:52:56
