title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Loa thanh Bluetooth 5 Soundbar 2.0 Âm thanh Toàn dải 3 chế độ EQ E-3511,2811436511,lazada,Thiết Bị Điện Tử,Âm Thanh,Âm Thanh Tại Nhà,https://www.lazada.vn/products/pdp-i2811436511.html,18000,0.0,0,0,No Brand,2026-04-29 14:18:46
QIUWU 1 cái loa tweeter sừng vít Miệng Bộ chuyển đổi tấm treble hifi phụ kiện xe hơi cho rạp hát tại nhà âm thanh hệ thống địa chỉ công cộng,13384313319,lazada,Thiết Bị Điện Tử,Âm Thanh,Âm Thanh Tại Nhà,https://www.lazada.vn/products/pdp-i13384313319.html,20208,0.0,0,0,QIUWU,2026-04-29 14:18:46
Loa Audax Ax61 có dây 20 cm làm loa ru nhà yến,3175498211,lazada,Thiết Bị Điện Tử,Âm Thanh,Âm Thanh Tại Nhà,https://www.lazada.vn/products/pdp-i3175498211.html,22000,0.0,0,0,No Brand,2026-04-29 14:18:46
BIGHSM Bộ thí nghiệm khoa học Máy quan sát sóng âm thanh nhìn thấy được Tự làm hình ảnh âm thanh dành cho các thí nghiệm tại nhà Đồ chơi nghệ thuật và khoa học về sóng âm,13384627150,lazada,Thiết Bị Điện Tử,Âm Thanh,Âm Thanh Tại Nhà,https://www.lazada.vn/products/pdp-i13384627150.html,22476,0.0,0,0,BIGHSM,2026-04-29 14:18:46
2 cái oofer cổng loa ống loa siêu trầm không khí-loa Subwoofer Hifi phụ kiện,13343586655,lazada,Thiết Bị Điện Tử,Âm Thanh,Âm Thanh Tại Nhà,https://www.lazada.vn/products/pdp-i13343586655.html,37853,0.0,0,0,No Brand,2026-04-29 14:18:46
E-WOITD  Stereo Loa Máy Tính Với Microphone 2.0 Kênh USB Powered Máy Tính Để Bàn PC Âm Thanh Tăng Cường Bass Cho Chơi Game Và Văn Phòng,13382936871,lazada,Thiết Bị Điện Tử,Âm Thanh,Âm Thanh Tại Nhà,https://www.lazada.vn/products/pdp-i13382936871.html,38327,0.0,0,0,E-WOITD,2026-04-29 14:18:46
2 cái oofer cổng loa ống loa siêu trầm không khí-loa Subwoofer Hifi phụ kiện,13343556679,lazada,Thiết Bị Điện Tử,Âm Thanh,Âm Thanh Tại Nhà,https://www.lazada.vn/products/pdp-i13343556679.html,39000,0.0,0,0,No Brand,2026-04-29 14:18:46
Loa treble boss 8CM nhập khẩu công suất 100w giá 1 chiếc,436926170,lazada,Thiết Bị Điện Tử,Âm Thanh,Âm Thanh Tại Nhà,https://www.lazada.vn/products/pdp-i436926170.html,40000,5.0,11,0,No Brand,2026-04-29 14:18:46
YIBAR 1PC đầy đủ âm thanh loa 40mm 4 5W Hifi Stereo Loa Bluetooth Loa,3283484691,lazada,Thiết Bị Điện Tử,Âm Thanh,Âm Thanh Tại Nhà,https://www.lazada.vn/products/pdp-i3283484691.html,40490,0.0,0,0,YIBAR,2026-04-29 14:18:46
Loa treble ji bê lờ hàng thái lan tròn 10cm cao cấp giá tri ân khách hàng giá 1 chiếc,2513813997,lazada,Thiết Bị Điện Tử,Âm Thanh,Âm Thanh Tại Nhà,https://www.lazada.vn/products/pdp-i2513813997.html,41000,0.0,0,0,No Brand,2026-04-29 14:18:46
Garosa POENVFPO Bộ mở rộng dây đàn guitar Giắc âm thanh kép nữ 6 35mm Vị trí có thể điều chỉnh cắm và chạy với tấm chắn hai đầu cho văn phòng tại nhà Giải trí video âm nhạc,13384791858,lazada,Thiết Bị Điện Tử,Âm Thanh,Âm Thanh Tại Nhà,https://www.lazada.vn/products/pdp-i13384791858.html,41000,0.0,0,0,Garosa,2026-04-29 14:18:46
Loa treble 8cm BMB - giá 1 cái - kèm tụ - công suất 40w - hàng nhập,3299769852,lazada,Thiết Bị Điện Tử,Âm Thanh,Âm Thanh Tại Nhà,https://www.lazada.vn/products/pdp-i3299769852.html,41600,0.0,0,0,BMB,2026-04-29 14:18:46
【E-WOITD】 Máy Tính Loa Stereo 2.0 Kênh Với Microphone Âm Thanh Đầu Ra USB Powered Cho Máy Tính Để Bàn PC Văn Phòng Và Phòng Nghiên Cứu Sử Dụng,13383004583,lazada,Thiết Bị Điện Tử,Âm Thanh,Âm Thanh Tại Nhà,https://www.lazada.vn/products/pdp-i13383004583.html,41832,0.0,0,0,E-WOITD,2026-04-29 14:18:46
Loa treble S/o/n/y tròn 10cm từ kép nhập khẩu công suất 150W tri ân khách hàng-giá 1chiếc,2178184423,lazada,Thiết Bị Điện Tử,Âm Thanh,Âm Thanh Tại Nhà,https://www.lazada.vn/products/pdp-i2178184423.html,42000,4.8604651162790695,129,0,No Brand,2026-04-29 14:18:46
Ditur Âm thanh cách nhiệt bọt phòng thu Tường gạch,13367676528,lazada,Thiết Bị Điện Tử,Âm Thanh,Âm Thanh Tại Nhà,https://www.lazada.vn/products/pdp-i13367676528.html,42175,0.0,0,0,No Brand,2026-04-29 14:18:46
