title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Bộ 4 Máy Bộ đàm Motorola A10 Bộ đàm UHF 400-520MHz 10W Mini Walkie Talkie 199 Channel 9800Mah Khoảng cách giao tiếp 10km,2759623557,lazada,Phụ kiện điện tử,Thiết bị số,Bộ đàm,https://www.lazada.vn/products/pdp-i2759623557.html,899000,4.8,20,71,Motorola,2026-05-03 09:58:37
COMBO 2 BỘ ĐÀM CẦM TAY CHÍNH HÃNG BAOFENG UV-16R Pro Chống Nước Có Màn Hình Led Khoảng Cách Liên Lạc 10km Chuyện Dụng Dùng Cho Nhà Hàng Khách Sạn Đi Phượt - Bảo hành 12 tháng,2235326273,lazada,Phụ kiện điện tử,Thiết bị số,Bộ đàm,https://www.lazada.vn/products/pdp-i2235326273.html,647000,5.0,14,39,BAOFENG,2026-05-03 09:58:37
Motorola T1 Bộ đàm Bộ đàm khách sạn ngoài trời siêu dài chờ công suất cao 100W,2891408564,lazada,Phụ kiện điện tử,Thiết bị số,Bộ đàm,https://www.lazada.vn/products/pdp-i2891408564.html,464422,4.0,1,0,No Brand,2026-05-03 09:58:37
"2 bộ Máy Bộ Đàm Motorola C51 , Loa To, Pin Dung Lượng Cao, Thiết Kế Nhỏ Gon, Có Chức Năng Khóa Kênh, Bảo Hành 12 Tháng",2759344020,lazada,Phụ kiện điện tử,Thiết bị số,Bộ đàm,https://www.lazada.vn/products/pdp-i2759344020.html,699000,5.0,36,115,Motorola,2026-05-03 09:58:37
"3 BỘ ĐÀM CẦM TAY MOTOROLA GP-980 (2 Chế Độ Sạc, Giá Rẻ, Độ Bền Cao, Loa to, hỗ trợ sạc Type-C)",3043308667,lazada,Phụ kiện điện tử,Thiết bị số,Bộ đàm,https://www.lazada.vn/products/pdp-i3043308667.html,772000,5.0,1,12,Motorola,2026-05-03 09:58:37
Mô hình bộ đàm AN/PRC-152 phong cách chiến thuật,2744726587,lazada,Phụ kiện điện tử,Thiết bị số,Bộ đàm,https://www.lazada.vn/products/pdp-i2744726587.html,325000,5.0,1,0,No Brand,2026-05-03 09:58:37
"Bộ 1 Bộ đàm siêu nhỏ, mini chất lượng khủng ABS AB900 (Giá rẻ, bền bỉ, Sạc USB Type C Đời Mới)",2735858104,lazada,Phụ kiện điện tử,Thiết bị số,Bộ đàm,https://www.lazada.vn/products/pdp-i2735858104.html,302500,5.0,1,8,ABS,2026-05-03 09:58:37
"Bộ 2 Máy Bộ Đàm Motorola C1【400-470MHz】Chuẩn chống nước IP54,Âm thanh rõ ràng,Pin sử dụng lâu dài",3119945205,lazada,Phụ kiện điện tử,Thiết bị số,Bộ đàm,https://www.lazada.vn/products/pdp-i3119945205.html,500000,5.0,4,10,Motorola,2026-05-03 09:58:37
"Đồ Chơi Bộ Đàm Cầm Tay Bộ Đàm Mini Cho Trẻ Em Tầm 3KM Đồ Chơi Điện Thoại Cho Trẻ Em , Đài Phát Thanh 22 Kênh Có Đèn Nền, LCD Torch , 3 ~ 5Km Phạm Vi Cho Cuộc Phiêu Lưu Ngoài Trời, Cắm Trại, Đi Bộ Đường Dài, Lứa Tuổii",1403386297,lazada,Phụ kiện điện tử,Thiết bị số,Bộ đàm,https://www.lazada.vn/products/pdp-i1403386297.html,359000,5.0,230,1100,No Brand,2026-05-03 09:58:37
"Tai Nghe Bộ Đàm Baofeng, Moto, Kenwood Loại 2 Đầu Jack 3.5li và 2.5li",1728736228,lazada,Phụ kiện điện tử,Thiết bị số,Bộ đàm,https://www.lazada.vn/products/pdp-i1728736228.html,19000,4.9,155,2100,No Brand,2026-05-03 09:58:37
