title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Xử Lý Ao Hồ Nuôi TÔM, CUA, CÁ, ỐC - CHẾ PHẨM VI SINH XỬ LÝ AO HỒ - CAN 5L. Xử lý khí H2S, cặn bã đáy ao hồ.",2583800064,lazada,Phụ kiện điện tử,Linh kiện máy tính,Bộ vi xử lý,https://www.lazada.vn/products/pdp-i2583800064.html,129000,4.6,7,22,Hoàng Kim,2026-05-06 09:05:20
Bộ vi xử lý CPU E4400 đến 5700 1 Core hỏng,356478247,lazada,Phụ kiện điện tử,Linh kiện máy tính,Bộ vi xử lý,https://www.lazada.vn/products/pdp-i356478247.html,35000,5.0,21,467,No Brand,2026-05-06 09:05:20
Men Vi Sinh Xử Lý Bể Phốt BiO 250g,3055654995,lazada,Phụ kiện điện tử,Linh kiện máy tính,Bộ vi xử lý,https://www.lazada.vn/products/pdp-i3055654995.html,100000,4.9,19,61,No Brand,2026-05-06 09:05:20
Bộ điều chỉnh thời gian lò vi sóng 4 chân - 6 chân dài 220v-AC Linh kiện lò vi sóng sharp - Linh kiện lò vi sóng,1698221580,lazada,Phụ kiện điện tử,Linh kiện máy tính,Bộ vi xử lý,https://www.lazada.vn/products/pdp-i1698221580.html,130000,4.4,12,26,No Brand,2026-05-06 09:05:20
"Sanolife Pro-W INVE men vi sinh xử lý đáy, nước, giúp nước sạch trong. An toàn cho tôm, cá, lươn, ếch",2305499451,lazada,Phụ kiện điện tử,Linh kiện máy tính,Bộ vi xử lý,https://www.lazada.vn/products/pdp-i2305499451.html,225000,0.0,0,8,No Brand,2026-05-06 09:05:20
"[VOUCHER 10%] Bộ Loa vi tính soundmax A4000 Bass mạnh Đã qua sử dụng-tặng jack 3.5 loại tốt ,khách nhớ lưu mã giảm giá và FSM trước khi chốt đơn ạ",2670943057,lazada,Phụ kiện điện tử,Linh kiện máy tính,Bộ vi xử lý,https://www.lazada.vn/products/pdp-i2670943057.html,559000,5.0,2,15,soundmax,2026-05-06 09:05:20
"Bộ vi xử lý CPU Chip G540 G550 G560 cho main H61, B75 Socket 1155",356428892,lazada,Phụ kiện điện tử,Linh kiện máy tính,Bộ vi xử lý,https://www.lazada.vn/products/pdp-i356428892.html,66000,4.7,3,30,No Brand,2026-05-06 09:05:20
"Bộ sửa khoá chìa chấm vi tính , dụng cụ thợ khoá Cao Cấp",2314977773,lazada,Phụ kiện điện tử,Linh kiện máy tính,Bộ vi xử lý,https://www.lazada.vn/products/pdp-i2314977773.html,57000,5.0,7,29,No Brand,2026-05-06 09:05:20
"Bộ vi xử lý CPU Chip G620 G630 G640 cho main H61, B75 Socket 1155",356462464,lazada,Phụ kiện điện tử,Linh kiện máy tính,Bộ vi xử lý,https://www.lazada.vn/products/pdp-i356462464.html,80000,4.0,6,50,No Brand,2026-05-06 09:05:20
Bộ 3 Loa Vi Tính FT10/Q7 Công Suất Lớn Nghe Nhạc Siêu Hay Âm Thanh Super Bass Dùng Cho Máy Tính Laptop PC,3161950581,lazada,Phụ kiện điện tử,Linh kiện máy tính,Bộ vi xử lý,https://www.lazada.vn/products/pdp-i3161950581.html,163350,5.0,9,26,No Brand,2026-05-06 09:05:20
Bộ vi xử lý CPU Core I3 4160-3.6GHZ,2502812156,lazada,Phụ kiện điện tử,Linh kiện máy tính,Bộ vi xử lý,https://www.lazada.vn/products/pdp-i2502812156.html,150000,5.0,2,5,Intel,2026-05-06 09:05:20
"Vi sinh xử lý nước đáy ao 100gr, hấp thu khí độc, ổn định màu nước. Cai Lậy men vi sinh xử lý đáy ao 100gram.",2464946314,lazada,Phụ kiện điện tử,Linh kiện máy tính,Bộ vi xử lý,https://www.lazada.vn/products/pdp-i2464946314.html,45000,4.0,8,127,No Brand,2026-05-06 09:05:20
"Bộ vi xử lý Intel Core i5 2400S 2.5 GHz( 4 lõi, 4 luồng), Bus 1066/1333MHz, Cache 3MB",2217807350,lazada,Phụ kiện điện tử,Linh kiện máy tính,Bộ vi xử lý,https://www.lazada.vn/products/pdp-i2217807350.html,250000,5.0,4,5,Intel,2026-05-06 09:05:20
Vi sinh EM dạng viên nén xử lý nước bể cá cảnh nước ngọt và nước mặn Jiebao EM,2317040526,lazada,Phụ kiện điện tử,Linh kiện máy tính,Bộ vi xử lý,https://www.lazada.vn/products/pdp-i2317040526.html,40000,4.7,62,182,No Brand,2026-05-06 09:05:20
