title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Camera IP thế hệ mới đàm thoại 2 chiều, siêu nét Camera giám sát 3 triệu bóng đèn WiFi HD Đui Bóng Đèn, Xoay 360",3062189310,lazada,Thiết Bị Điện Tử,Camera Giám Sát,Camera An Ninh Cctv,https://www.lazada.vn/products/pdp-i3062189310.html,9000,5.0,1,0,PIX - LINK,2026-04-29 14:21:01
Camera Wifi Mini Thông Minh A9 Giám Sát An Ninh Không Dây Máy Quay Từ Xa\ X5,2777104187,lazada,Thiết Bị Điện Tử,Camera Giám Sát,Camera An Ninh Cctv,https://www.lazada.vn/products/pdp-i2777104187.html,29555,4.333333333333333,12,0,No Brand,2026-04-29 14:21:01
1 cái nhôm xem video giám sát cảnh báo Đăng camera riêng surveillancewith sticker với băng,13354779149,lazada,Thiết Bị Điện Tử,Camera Giám Sát,Camera An Ninh Cctv,https://www.lazada.vn/products/pdp-i13354779149.html,41098,0.0,0,0,No Brand,2026-04-29 14:21:01
1 cái nhôm xem video giám sát cảnh báo Đăng camera riêng surveillancewith sticker với băng,13364347654,lazada,Thiết Bị Điện Tử,Camera Giám Sát,Camera An Ninh Cctv,https://www.lazada.vn/products/pdp-i13364347654.html,41098,0.0,0,0,No Brand,2026-04-29 14:21:01
TOOEARY MALL Camera  An ninh gia đình Phát hiện chuyển động 360 độ Xiaomi YI Giá đỡ camera IP thông minh Tầm nhìn ban đêm IR,13374325613,lazada,Thiết Bị Điện Tử,Camera Giám Sát,Camera An Ninh Cctv,https://www.lazada.vn/products/pdp-i13374325613.html,44000,0.0,0,0,TOOEARY,2026-04-29 14:21:01
GY 1 cái nhôm xem video giám sát cảnh báo Đăng camera riêng surveillancewith sticker với băng,13354611391,lazada,Thiết Bị Điện Tử,Camera Giám Sát,Camera An Ninh Cctv,https://www.lazada.vn/products/pdp-i13354611391.html,44662,0.0,0,0,No Brand,2026-04-29 14:21:01
BJ🔩🔧🔗 3MP CS-Mount ống kính lớn lọc chuyển witrue HD IR Cắt lọc CS ống kính gắn kết đôi lọc chuyển đổi cho HD CCTV Camera An Ninh,13347240971,lazada,Thiết Bị Điện Tử,Camera Giám Sát,Camera An Ninh Cctv,https://www.lazada.vn/products/pdp-i13347240971.html,50432,0.0,0,0,No Brand,2026-04-29 14:21:01
JIENUO HD 3.6mm Ống Kính Cố Định Iris CCTV M12 Khẩu Độ 2MP Cho Camera IP CCD Kỹ Thuật Số Giám Sát Tương Tự Định Dạng Hình Ảnh An Ninh,3263756168,lazada,Thiết Bị Điện Tử,Camera Giám Sát,Camera An Ninh Cctv,https://www.lazada.vn/products/pdp-i3263756168.html,54000,0.0,0,0,No Brand,2026-04-29 14:21:01
Camera Wifi Giám Sát An Ninh X5,3128685438,lazada,Thiết Bị Điện Tử,Camera Giám Sát,Camera An Ninh Cctv,https://www.lazada.vn/products/pdp-i3128685438.html,55333,0.0,0,0,No Brand,2026-04-29 14:21:01
Camera an Ninh Ngoài Trời Không Cần Khoan Dán Keo Hai Mặt 3m Không Cần Đinh Vít Gắn Tường Phù Hợp Với Thương Hiệu Nhỏ Chủ Nhà,3200158241,lazada,Thiết Bị Điện Tử,Camera Giám Sát,Camera An Ninh Cctv,https://www.lazada.vn/products/pdp-i3200158241.html,56000,0.0,0,0,No Brand,2026-04-29 14:21:01
Camera quan sát an ninh 3 6mm 1080P Camera giám sát góc rộng IC CUT Ống kính bảng đơn,13372859279,lazada,Thiết Bị Điện Tử,Camera Giám Sát,Camera An Ninh Cctv,https://www.lazada.vn/products/pdp-i13372859279.html,59000,0.0,0,0,No Brand,2026-04-29 14:21:01
"E-WOITD  Camera mini 4K HD WiFi IP, ứng dụng giám sát từ xa, máy quay nhỏ gọn nhẹ, camera an ninh giám sát nhà thông minh",13335331915,lazada,Thiết Bị Điện Tử,Camera Giám Sát,Camera An Ninh Cctv,https://www.lazada.vn/products/pdp-i13335331915.html,59841,0.0,0,0,E-WOITD,2026-04-29 14:21:01
