title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"5 Mét Giấy Dán Tường, Khổ 45CM Rộng Decal PVC Trang Trí ( có keo ) - TÔNG MÀU XANH LÁ PT663",282284920,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Decal dán,https://www.lazada.vn/products/pdp-i282284920.html,42000,4.8,250,1600,No Brand,2026-05-03 15:18:39
Decal dán trang trí chân tường- tổng hợp nhiều mẫu đẹp,2410403579,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Decal dán,https://www.lazada.vn/products/pdp-i2410403579.html,27000,4.9,262,2000,No Brand,2026-05-03 15:18:39
"Giấy bạc dán tường (2Mx60cm; 3Mx60cm) - Giấy bạc dán bếp - Giấy bạc tráng nhôm cách nhiệt  - Cuộn decal giấy bạc dán bếp tráng nhôm cách nhiệt ô vuông bạc, tiện lợi, dễ dàng lau chùi, sử dụng",1338702592,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Decal dán,https://www.lazada.vn/products/pdp-i1338702592.html,39000,4.8,103,853,No Brand,2026-05-03 15:18:39
Combo Cuộn 5 Mét decal Viền Dán Hoạ Tiết 5cmx5m,1365620171,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Decal dán,https://www.lazada.vn/products/pdp-i1365620171.html,55000,5.0,47,426,No Brand,2026-05-03 15:18:39
"[Cuộn 30,60cm] Decal Vinyl Nhám Mịn Nhiều Màu - Vinyl Dán Điện Thoại, Laptop, Xe, Oto",2668840378,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Decal dán,https://www.lazada.vn/products/pdp-i2668840378.html,38800,5.0,5,26,No Brand,2026-05-03 15:18:39
"Decal Chân Tường Hoa Tulip Hồng Pastel – Trang Trí Chân Tường, Kính Phòng Khách",3109732450,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Decal dán,https://www.lazada.vn/products/pdp-i3109732450.html,28000,5.0,6,41,No Brand,2026-05-03 15:18:39
"Giấy bạc dán bếp cách nhiệt Cuộn decal dán tường nhà bếp chống thấm bền đẹp (2mx40cm, 2mx60cm)-NIEVE",2902158182,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Decal dán,https://www.lazada.vn/products/pdp-i2902158182.html,23155,5.0,9,98,No Brand,2026-05-03 15:18:39
"1 mét decal giấy dán kính khổ 45cm (mua 1 là 1 mét, mua 9 là 9 mét)",1855095789,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Decal dán,https://www.lazada.vn/products/pdp-i1855095789.html,8999,4.9,441,8200,No Brand,2026-05-03 15:18:39
Decal Giấy Dán Tường PVC 45cm Rộng ( Giá 1 Mét ) Có Sẵn Keo Mặt Sau Màu Trơn Nhám Thuần Pastel  QT200,2636000170,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Decal dán,https://www.lazada.vn/products/pdp-i2636000170.html,11000,5.0,4,153,No Brand,2026-05-03 15:18:39
"Decal GIẢ VÂN GỖ có keo sẵn lột dán khổ DECAL 60cm dán che khuyết điểm cho tủ, bàn, nội thất..",2701669190,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Decal dán,https://www.lazada.vn/products/pdp-i2701669190.html,29000,4.6,39,268,No Brand,2026-05-03 15:18:39
"tem rời satria đen mẫu lửa siêu đẹp tặng kèm sét logo, tem 3 lớp không bay màu",2034287599,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Decal dán,https://www.lazada.vn/products/pdp-i2034287599.html,159000,3.0,1,0,No Brand,2026-05-03 15:18:39
Tranh Dán Tường 3D  Decal Dán Tường Có Keo Dán Mẫu Hoa Sen Kích Thước Đa Dạng,3124634298,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Decal dán,https://www.lazada.vn/products/pdp-i3124634298.html,26000,4.9,18,67,No bland,2026-05-03 15:18:39
Decal màu trơn khổ lớn 1.2m,3041565455,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Decal dán,https://www.lazada.vn/products/pdp-i3041565455.html,22000,5.0,46,331,No Brand,2026-05-03 15:18:39
Bộ Decal 2 Ngựa Dán Cửa 3D nổi Tết 2026 -Bính Ngọ DS,3290171743,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Decal dán,https://www.lazada.vn/products/pdp-i3290171743.html,49000,5.0,3,5,No Brand,2026-05-03 15:18:39
