title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
SDJZT 1 cái AK-R11 từ Dome khuếch tán thay thế cho V1 Round-Head Flash cho AD200 ad200pro cho flash loạt v1 S-R2 phụ tùng,3270484785,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Đèn flash,https://www.lazada.vn/products/pdp-i3270484785.html,48189,4.0,4,24,SDJZT,2026-05-03 10:11:59
"NEEWER Đèn Chớp Túi Ngoài Trời 120Ws 2.4G TTL, Đèn Chớp Studio Di Động 1/8000s HSS Kèm Đèn Mô Hình, Q120",13333162721,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Đèn flash,https://www.lazada.vn/products/pdp-i13333162721.html,10501000,0.0,0,0,Neewer,2026-05-03 10:11:59
Godox | Đèn Chiếu Sáng Video Di Động COB RGB Toàn Màu 100W,13328168716,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Đèn flash,https://www.lazada.vn/products/pdp-i13328168716.html,5698000,3.3,4,93,Godox,2026-05-03 10:11:59
Godox | Đèn Pin Sạc Nhanh Ngoài Trời 600W,3219330917,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Đèn flash,https://www.lazada.vn/products/pdp-i3219330917.html,15964000,4.7,3,0,Godox,2026-05-03 10:11:59
Godox | Màn Hình Cảm Ứng Màu Toàn Diện,13328810749,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Đèn flash,https://www.lazada.vn/products/pdp-i13328810749.html,4326000,0.0,0,12,Godox,2026-05-03 10:11:59
Đèn Ngoại Cảnh Flash GODOX AD600BM / AD600BM II,3173152093,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Đèn flash,https://www.lazada.vn/products/pdp-i3173152093.html,12000000,0.0,0,0,Godox,2026-05-03 10:11:59
Godox | Đèn Đầy Đủ Màu RGB Cho Ảnh Chụp,3219642766,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Đèn flash,https://www.lazada.vn/products/pdp-i3219642766.html,6428000,0.0,0,0,Godox,2026-05-03 10:11:59
kittenBaby For Makita 18V Li-ion Battery LED Work Light 3 4 Inch Flashlight Portable Emergency Flood Lamp Camping Lamp,3125074710,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Đèn flash,https://www.lazada.vn/products/pdp-i3125074710.html,91010,4.9,14,43,KITTENBABY,2026-05-03 10:11:59
"【Vận chuyển nhanh】camera360 trong nhà camera an ninh zoom，camera wifi không dây ngoài trời 360，bóng đèn FHD 1080p Rõ nét,kiểu dáng độc đáo, xoay 360 độ, hỗ trợ hồng ngoại và flash màu quay đêm Đen và trắng",2247000017,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Đèn flash,https://www.lazada.vn/products/pdp-i2247000017.html,142200,4.3,17,66,No Brand,2026-05-03 10:11:59
"Máy Ảnh Kỹ Thuật Số Cổ Điển Magecam, Móc Khóa, Camera Mini 0.96 Inch, Ghi Hình 1080P, Hỗ Trợ Đèn Flash Và Thẻ Nhớ",3265347949,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Đèn flash,https://www.lazada.vn/products/pdp-i3265347949.html,378250,4.7,33,318,No Brand,2026-05-03 10:11:59
Godox | Đèn Flash Máy Ảnh TTL Đo Tự Động Đồng Bộ Tốc Độ Cao,13328904468,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Đèn flash,https://www.lazada.vn/products/pdp-i13328904468.html,6810000,4.9,7,36,Godox,2026-05-03 10:11:59
Godox | Đèn Chụp Hình Flash Di Động Ngoài Trời,13326030934,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Đèn flash,https://www.lazada.vn/products/pdp-i13326030934.html,20881000,0.0,0,0,Godox,2026-05-03 10:11:59
Jackery ngoài trời cung cấp điện 600Plus 800W 632wh nguồn điện di động 220V pin di động dự phòng xe cắm trại pin lithium,3240592639,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Đèn flash,https://www.lazada.vn/products/pdp-i3240592639.html,10165000,0.0,0,0,No Brand,2026-05-03 10:11:59
