title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Bộ công tắc điều khiển từ xa Honest 1Km HT-6220 9220 30A 40A /220V,2890540397,lazada,Phụ kiện điện tử,Phụ kiện máy bay camera,Điều khiển từ xa,https://www.lazada.vn/products/pdp-i2890540397.html,124300,4.8,22,86,No Brand,2026-05-03 23:35:34
Bộ công tắc điều khiển từ xa 1000 mét 40A 5000W 220V INVERTECH hàng thương hiệu cao cấp độ bền cao có ăng ten,2654988838,lazada,Phụ kiện điện tử,Phụ kiện máy bay camera,Điều khiển từ xa,https://www.lazada.vn/products/pdp-i2654988838.html,150000,4.8,200,1300,No Brand,2026-05-03 23:35:34
Bộ công tắc điều khiển từ xa 1000 mét công suất lớn 40A 5000W 220V INVERTECH HÀNG CHÍNH HÃNG có ăng ten bắt sóng xa,2655011698,lazada,Phụ kiện điện tử,Phụ kiện máy bay camera,Điều khiển từ xa,https://www.lazada.vn/products/pdp-i2655011698.html,48000,5.0,3,28,No Brand,2026-05-03 23:35:34
Bộ điều khiển từ xa 100 mét công suất lớn 40A 4500W dùng cho máy bơm nước máy rửa xe thế hệ mới siêu bền bắt sóng xa,2670284445,lazada,Phụ kiện điện tử,Phụ kiện máy bay camera,Điều khiển từ xa,https://www.lazada.vn/products/pdp-i2670284445.html,85000,4.8,140,869,No Brand,2026-05-03 23:35:34
Bộ công tắc điều khiển từ xa 1000 mét 40A 5000W 220V INVERTECH hàng thương hiệu cao cấp độ bền cao có ăng ten,2655227008,lazada,Phụ kiện điện tử,Phụ kiện máy bay camera,Điều khiển từ xa,https://www.lazada.vn/products/pdp-i2655227008.html,120000,5.0,1,5,No Brand,2026-05-03 23:35:34
Công tắc điều khiển từ xa 12V DC-72VDC 30A tầm xa 100m có học lệnh lắp chống trộm xe máy,3329662024,lazada,Phụ kiện điện tử,Phụ kiện máy bay camera,Điều khiển từ xa,https://www.lazada.vn/products/pdp-i3329662024.html,78300,4.6,13,42,No Brand,2026-05-03 23:35:34
Bộ công tắc điều khiển từ xa không dây Honest 6220KG 40A khoảng cách 1KM HÀNG NHẬP KHẨU CHÍNH HÃNG bắt sóng xa độ bền cao cong tac dieu khien tu xa cong tac wifi,2134193342,lazada,Phụ kiện điện tử,Phụ kiện máy bay camera,Điều khiển từ xa,https://www.lazada.vn/products/pdp-i2134193342.html,186000,4.8,100,477,Foxsur,2026-05-03 23:35:34
"Điều khiển từ xa 1 pha công suất lớn 6000W / 220V 90A có nút học lệnh, xuyên vật cản 400-1000m không cần lắp khởi",3137703667,lazada,Phụ kiện điện tử,Phụ kiện máy bay camera,Điều khiển từ xa,https://www.lazada.vn/products/pdp-i3137703667.html,279000,5.0,1,12,No Brand,2026-05-03 23:35:34
Công tắc điều khiển từ xa 1Km HONEST 9220KG 40A/220V bật tắt máy bơm động cơ công suất lớn có chứ năng học lệnh ổ cắm điều khiển từ xa công tắc không dây công tắc điện thông minh,428104554,lazada,Phụ kiện điện tử,Phụ kiện máy bay camera,Điều khiển từ xa,https://www.lazada.vn/products/pdp-i428104554.html,185000,4.9,420,3000,No Brand,2026-05-03 23:35:34
Bộ điều khiển từ xa không dây 100 mét 220V 40A 4500W Mẫu MỚi độ bền cao bắt sóng khoẻ đã cài đặt về chỉ việc dùng ĐEN,2670284618,lazada,Phụ kiện điện tử,Phụ kiện máy bay camera,Điều khiển từ xa,https://www.lazada.vn/products/pdp-i2670284618.html,85000,4.8,33,132,No Brand,2026-05-03 23:35:34
Bộ công tắc điều khiển từ xa 4 cổng 2 điều khiển LS-Electric khoảng cách 30M sóng RF 315 xuyên tường rf 4 cổng,1293558789,lazada,Phụ kiện điện tử,Phụ kiện máy bay camera,Điều khiển từ xa,https://www.lazada.vn/products/pdp-i1293558789.html,105000,4.8,24,135,No Brand,2026-05-03 23:35:34
"Công tắc điều khiển từ xa RF 4 cổng, giá tốt và chất lượng tốt, hiệu suất cao bền bỉ",285156516,lazada,Phụ kiện điện tử,Phụ kiện máy bay camera,Điều khiển từ xa,https://www.lazada.vn/products/pdp-i285156516.html,85000,4.9,119,651,No Brand,2026-05-03 23:35:34
