title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
YONUO Giá đỡ điện thoại thông minh với loa bluetooth và sạc dự phòng để sử dụng đa phương tiện,3132440809,lazada,Phụ kiện điện tử,Phụ kiện di động,Dock sạc & Giá đỡ,https://www.lazada.vn/products/pdp-i3132440809.html,45000,4.4,47,31,YONUO,2026-05-03 00:11:25
[COD] CISWGE AUTOPARTS  Loa Bluetooth với điện thoại đứng 5 trong 1 điện thoại di động chủ 360 ° đứng cơ sở 5000mAh ngân hàng điện,13313535668,lazada,Phụ kiện điện tử,Phụ kiện di động,Dock sạc & Giá đỡ,https://www.lazada.vn/products/pdp-i13313535668.html,24113,5.0,2,0,CISWGE,2026-05-03 00:11:25
"Giá Đỡ Dán Tường Để Sạc Điện Thoại, Remote, Ổ Cắm/ Kệ Đựng Đồ Dán Tường Kèm 2 Móc Treo Đồ",2281106623,lazada,Phụ kiện điện tử,Phụ kiện di động,Dock sạc & Giá đỡ,https://www.lazada.vn/products/pdp-i2281106623.html,6900,4.8,562,8300,No Brand,2026-05-03 00:11:25
Ulanzi | Chân Đế Chụp Ảnh Di Động Có Tính Năng Từ Tính,13351671371,lazada,Phụ kiện điện tử,Phụ kiện di động,Dock sạc & Giá đỡ,https://www.lazada.vn/products/pdp-i13351671371.html,500000,4.7,17,3700,Ulanzi,2026-05-03 00:11:25
"Loa Bluetooth 3 trong 1 tích hợp kèm giá đỡ điện thoại và sạc dự phòng,để bàn chống trượt có thể điều chỉnh gập lại",3129881565,lazada,Phụ kiện điện tử,Phụ kiện di động,Dock sạc & Giá đỡ,https://www.lazada.vn/products/pdp-i3129881565.html,73000,4.8,36,106,No Brand,2026-05-03 00:11:25
👉Hot Sale YIBAR Gấp nam châm mạnh mẽ từ người giữ điện thoại 360 ° xoay bàn xe hút chân không hút kính chắn gió Bảng điều khiển điện thoại di động chủ,3307000456,lazada,Phụ kiện điện tử,Phụ kiện di động,Dock sạc & Giá đỡ,https://www.lazada.vn/products/pdp-i3307000456.html,40082,1.7,3,11,YIBAR,2026-05-03 00:11:25
Vintlook điều chỉnh giá để bàn cho điện thoại thông minh và máy tính bảng,3033859509,lazada,Phụ kiện điện tử,Phụ kiện di động,Dock sạc & Giá đỡ,https://www.lazada.vn/products/pdp-i3033859509.html,11000,4.7,141,383,VINTLOOK,2026-05-03 00:11:25
"Giá đỡ điện thoại kèm loa bluetooth, xoay 360 độ, tích hợp sạc dự phòng tiện lợi",3082110019,lazada,Phụ kiện điện tử,Phụ kiện di động,Dock sạc & Giá đỡ,https://www.lazada.vn/products/pdp-i3082110019.html,30000,4.5,31,92,Nno barn,2026-05-03 00:11:25
Giá đỡ điện thoại kèm loa bluetooth WYS-2301BT tích hơp sạc điện thoại bass căng xoay 360 độ led RGB âm thanh cực hay.,3059810249,lazada,Phụ kiện điện tử,Phụ kiện di động,Dock sạc & Giá đỡ,https://www.lazada.vn/products/pdp-i3059810249.html,125000,4.9,42,132,No Brand,2026-05-03 00:11:25
Kệ Dán Tường Để Remote Giá Đỡ Sạc Điện Thoại - Kệ Dán Tường để điện thoại Có Móc Treo,1334588527,lazada,Phụ kiện điện tử,Phụ kiện di động,Dock sạc & Giá đỡ,https://www.lazada.vn/products/pdp-i1334588527.html,12000,4.7,523,6100,No Brand,2026-05-03 00:11:25
Đế Sạc Không Dây Di Động Mini 15W Có Loa Để Bàn Đa Năng Sạc Nhanh Giá Đỡ Điện Thoại Đầu Nối Type-C,3277142305,lazada,Phụ kiện điện tử,Phụ kiện di động,Dock sạc & Giá đỡ,https://www.lazada.vn/products/pdp-i3277142305.html,138700,0.0,0,60,No Brand,2026-05-03 00:11:25
Loa bluetooth kiêm giá đỡ điện thoại sạc pin khe cắm usb thẻ nhớ LP V9[ Mẫu mới ],2284453250,lazada,Phụ kiện điện tử,Phụ kiện di động,Dock sạc & Giá đỡ,https://www.lazada.vn/products/pdp-i2284453250.html,270000,4.9,73,286,No Brand,2026-05-03 00:11:25
Giá đỡ điện thoại kèm loa bluetooth WYS-2301BT tích hơp sạc điện thoại bass căng xoay 360 độ âm thanh cực hay.,3166673725,lazada,Phụ kiện điện tử,Phụ kiện di động,Dock sạc & Giá đỡ,https://www.lazada.vn/products/pdp-i3166673725.html,120000,4.9,26,120,No Brand,2026-05-03 00:11:25
"Sạc Dự Phòng 10000mah Không Dây, Sạc 2 Thiết Bị Cùng Lúc, Có Giá Đỡ ĐT, Dùng Trường Hợp Khẩn Cấp",2412411125,lazada,Phụ kiện điện tử,Phụ kiện di động,Dock sạc & Giá đỡ,https://www.lazada.vn/products/pdp-i2412411125.html,119000,4.6,257,755,No Brand,2026-05-03 00:11:25
Giá đỡ điện thoại kèm loa bluetooth WYS-2301BT tích hơp sạc điện thoại bass căng xoay 360 độ led RGB âm thanh cực hay.,2468851284,lazada,Phụ kiện điện tử,Phụ kiện di động,Dock sạc & Giá đỡ,https://www.lazada.vn/products/pdp-i2468851284.html,140000,4.9,282,767,No Brand,2026-05-03 00:11:25
"Giá Đỡ Điện Thoại, Ipad Thông Minh Đa Năng Kẹp Bàn Đầu Giường - Chân Đỡ Điện Thoại Ipad Chắc Chắn Tiện Lợi Sử Dụng Mọi Lúc, Mọi Nơi.",3007127234,lazada,Phụ kiện điện tử,Phụ kiện di động,Dock sạc & Giá đỡ,https://www.lazada.vn/products/pdp-i3007127234.html,85000,4.9,10,32,No Brand,2026-05-03 00:11:25
"Sạc nhanh 60W 7 trong 1 đa năng du lịch di động đa năng cáp sạc cáp dữ liệu tổ chức, có giá đỡ điện thoại di động",3076805664,lazada,Phụ kiện điện tử,Phụ kiện di động,Dock sạc & Giá đỡ,https://www.lazada.vn/products/pdp-i3076805664.html,24000,4.7,6,14,No Brand,2026-05-03 00:11:25
"Đế Sạc 6 Trong 1 Tích Hợp Cáp Sạc Type-c, Iigtning, Micro usb, Trạm Sạc 15W Sạc Đồng Thời Điện Thoại, Đồng Hồ, Tai Nghe",2658134383,lazada,Phụ kiện điện tử,Phụ kiện di động,Dock sạc & Giá đỡ,https://www.lazada.vn/products/pdp-i2658134383.html,300000,5.0,21,71,No Brand,2026-05-03 00:11:25
Ulanzi | Đế Đứng Điện Thoại Di Động Từ Tính Cho Quay Phim Chụp Ảnh Hỗ Trợ Magsafe Giá Tự Sướng,3300686124,lazada,Phụ kiện điện tử,Phụ kiện di động,Dock sạc & Giá đỡ,https://www.lazada.vn/products/pdp-i3300686124.html,533000,5.0,112,19500,Ulanzi,2026-05-03 00:11:25
Giá đỡ chân không điện trên ô tô Giá đỡ từ tính có thể gập lại Giá đỡ hút mạnh cho điện thoại di động cho iphone,3096087521,lazada,Phụ kiện điện tử,Phụ kiện di động,Dock sạc & Giá đỡ,https://www.lazada.vn/products/pdp-i3096087521.html,74200,4.8,20,105,No Brand,2026-05-03 00:11:25
NOER Magsafe Trạm Sạc Từ tính 3 trong 1 Sạc không dây Di động Có thể gập lại Sạc nhanh Cho Android iPhone 16 15 iWatch AirPods,13370328056,lazada,Phụ kiện điện tử,Phụ kiện di động,Dock sạc & Giá đỡ,https://www.lazada.vn/products/pdp-i13370328056.html,229170,0.0,0,0,allcoupon,2026-05-03 00:11:25
Giá đỡ điện thoại máy tính bảng mới Loa Bluetooth 3 trong 1 Loa Bluetooth không dây chống trượt có thể gập lại và xoay 360 độ Giá đỡ máy tính bảng xoay,3063482744,lazada,Phụ kiện điện tử,Phụ kiện di động,Dock sạc & Giá đỡ,https://www.lazada.vn/products/pdp-i3063482744.html,199000,5.0,19,61,No Brand,2026-05-03 00:11:25
"Loa Bluetooth 3 trong1 Tích Hợp Sạc Dự Phòng, Giá Đỡ Điện Thoại, Để Bàn Chống Trượt Có Thể Gập Lại.",3084656081,lazada,Phụ kiện điện tử,Phụ kiện di động,Dock sạc & Giá đỡ,https://www.lazada.vn/products/pdp-i3084656081.html,159000,5.0,3,9,No Brand,2026-05-03 00:11:25
