title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
ĐỒNG HỒ thông minh SMART WATCH A1,2736553883,lazada,Phụ kiện điện tử,Thiết bị thông minh,Đồng hồ thông minh & Phụ kiện,https://www.lazada.vn/products/pdp-i2736553883.html,129000,4.2,5,19,No Brand,2026-05-03 16:48:19
Đồng hồ đeo tay thông minh KY68 đo nhịp tim huyết áp đồng hồ điện tử thể thao kết nối Bluetooth điện thoại dây đeosilicon,1044390540,lazada,Phụ kiện điện tử,Thiết bị thông minh,Đồng hồ thông minh & Phụ kiện,https://www.lazada.vn/products/pdp-i1044390540.html,148000,4.0,3,9,No Brand,2026-05-03 16:48:19
Đồng Hồ Thông Minh Huawei Watch 4 Pro GPS Gọi Bluetooth NFC Màn Hình AMOLED Theo Dõi Nhịp Tim Đường Huyết Cho Nam Nữ,2777357044,lazada,Phụ kiện điện tử,Thiết bị thông minh,Đồng hồ thông minh & Phụ kiện,https://www.lazada.vn/products/pdp-i2777357044.html,391000,3.7,3,6,No Brand,2026-05-03 16:48:19
COROS APEX 4-46mm-Đồng hồ thể thao định vị GPS,3228947571,lazada,Phụ kiện điện tử,Thiết bị thông minh,Đồng hồ thông minh & Phụ kiện,https://www.lazada.vn/products/pdp-i3228947571.html,14800000,0.0,0,0,COROS,2026-05-03 16:48:19
COROS APEX 4-42mm-Đồng hồ thể thao định vị GPS,3228712882,lazada,Phụ kiện điện tử,Thiết bị thông minh,Đồng hồ thông minh & Phụ kiện,https://www.lazada.vn/products/pdp-i3228712882.html,13200000,0.0,0,0,COROS,2026-05-03 16:48:19
"Đồng Hồ Thông Minh POSHI M6, Đồng Hồ Thông Minh 6 Dây Thông Minh Chính Hãng Chống Nước Cho Nam Nữ Trẻ Em Vòng Tay Thể Thao Theo Dõi Nhịp Tim 2021 Dành Cho Đồng Hồ Android Ios",1346596176,lazada,Phụ kiện điện tử,Thiết bị thông minh,Đồng hồ thông minh & Phụ kiện,https://www.lazada.vn/products/pdp-i1346596176.html,99000,4.5,43,154,POSHI,2026-05-03 16:48:19
"Đồng Hồ Thông Minh Nam Nữ T800 Pro Max, Smatwatch Nghe gọi Không Lắp Sim Theo Dõi Sức Khỏe",3236509134,lazada,Phụ kiện điện tử,Thiết bị thông minh,Đồng hồ thông minh & Phụ kiện,https://www.lazada.vn/products/pdp-i3236509134.html,180000,4.5,17,59,No Brand,2026-05-03 16:48:19
"Đồng Hồ Thông Minh Y68 Kết Nối Điện Thoại Thay Hình nền, Phù Hợp Cả Nam và Nữ, Lỗi 1 Đổi 1",3212778180,lazada,Phụ kiện điện tử,Thiết bị thông minh,Đồng hồ thông minh & Phụ kiện,https://www.lazada.vn/products/pdp-i3212778180.html,61250,0.0,0,0,No Brand,2026-05-03 16:48:19
"Đồng hồ thông minh Kids Care K95 lắp sim 4G nghe gọi định vị call video, chụp ảnh voice chat tiếng việt",2964941179,lazada,Phụ kiện điện tử,Thiết bị thông minh,Đồng hồ thông minh & Phụ kiện,https://www.lazada.vn/products/pdp-i2964941179.html,450000,1.0,1,5,No Brand,2026-05-03 16:48:19
"Đồng Hồ Thông Minh Y68 Kết Nối Điện Thoại,Phù Hợp Nam Nữ, Thay Được Hình Nền , Nhận Thông Báo Cuộc Gọi, Tin Nhắn",2302899317,lazada,Phụ kiện điện tử,Thiết bị thông minh,Đồng hồ thông minh & Phụ kiện,https://www.lazada.vn/products/pdp-i2302899317.html,89000,0.0,0,0,No Brand,2026-05-03 16:48:19
