title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
( BỘ LOA KÈM MIC ) Loa Bluetooth Karaoke Mini K12 Kèm 2 Micro Thiết Kế Nhỏ Gọn Tiện Dụng - Bảo hành lỗi 1 đổi 1 từ MINH KHAI STORE,2587844150,lazada,Phụ kiện điện tử,Thiết bị thông minh,Loa thông minh,https://www.lazada.vn/products/pdp-i2587844150.html,88000,0.0,0,4100,No Brand,2026-05-03 17:13:14
"Loa Karaoke di động Arirang MB2iw, Công suất 300W, Bảo hành chính hãng 2 năm",3207663727,lazada,Phụ kiện điện tử,Thiết bị thông minh,Loa thông minh,https://www.lazada.vn/products/pdp-i3207663727.html,8350000,0.0,0,0,No Brand,2026-05-03 17:13:14
Bose Smart Soundbar [CHÍNH HÃNG | MỚI],2098175402,lazada,Phụ kiện điện tử,Thiết bị thông minh,Loa thông minh,https://www.lazada.vn/products/pdp-i2098175402.html,13990000,0.0,0,25,No Brand,2026-05-03 17:13:14
"Loa Bluetooth Chữ G Âm Thanh Hay - Đèn Led Xịn, Loa Không Dây Thông Minh Tích Hợp Đèn Led Âm Thanh Chuẩn",2314780696,lazada,Phụ kiện điện tử,Thiết bị thông minh,Loa thông minh,https://www.lazada.vn/products/pdp-i2314780696.html,181000,0.0,0,5600,No Brand,2026-05-03 17:13:14
Loa BIDV bản wifi đọc thông báo chuyển khoản nhận tiền,3121718632,lazada,Phụ kiện điện tử,Thiết bị thông minh,Loa thông minh,https://www.lazada.vn/products/pdp-i3121718632.html,400000,0.0,0,27,No Brand,2026-05-03 17:13:14
Loa Bluetooth HARMAN KARDON AURA STUDIO 5 Thiết Kế 3 Đường Tiếng Kết Nối Auracast™,3253271380,lazada,Phụ kiện điện tử,Thiết bị thông minh,Loa thông minh,https://www.lazada.vn/products/pdp-i3253271380.html,10200000,0.0,0,0,No Brand,2026-05-03 17:13:14
Loa Blueteooth K1 loa 3 in1 -tích hợp sạc dự phòng+ loa phát nhạc+ giá đỡ điện thoại chống trượt -Thiết kế nhỏ gọn thông minh,3111721000,lazada,Phụ kiện điện tử,Thiết bị thông minh,Loa thông minh,https://www.lazada.vn/products/pdp-i3111721000.html,75000,0.0,0,17,No Brand,2026-05-03 17:13:14
K9 Loa Cảm Ứng Không Dây 3in1 Chân đế đa chức năng + Âm thanh cảm ứng+ Bluetooth loa+ Pin lớn,3259858585,lazada,Phụ kiện điện tử,Thiết bị thông minh,Loa thông minh,https://www.lazada.vn/products/pdp-i3259858585.html,101500,0.0,0,8,No Brand,2026-05-03 17:13:14
"Loa Bluetooth Không Dây HM 805 & BOOM S885 Sản Xuất 2026 – Kết Nối Ổn Định, Âm Thanh Sống Động , Bass Đập Căng , Chống Nước Chống Bui - Bảo Hành Lỗi 1 Đổi 1",3273622702,lazada,Phụ kiện điện tử,Thiết bị thông minh,Loa thông minh,https://www.lazada.vn/products/pdp-i3273622702.html,139000,0.0,0,0,No Brand,2026-05-03 17:13:14
"Bonnie Cathy Loa Bluetooth Di Động Với Đèn LED, Hệ Thống Âm Thanh Không Dây Mini Cho Sử Dụng Ngoài Trời",3323957247,lazada,Phụ kiện điện tử,Thiết bị thông minh,Loa thông minh,https://www.lazada.vn/products/pdp-i3323957247.html,65000,0.0,0,16,No Brand,2026-05-03 17:13:14
