title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
QINLEYI | Giá Đỡ Đa Năng,13338199723,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i13338199723.html,117000,0.0,0,0,QINLEYI,2026-04-29 14:24:22
Màn Hình Chống Nhòm Bảo Mật,3290248557,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i3290248557.html,129000,4.714285714285714,7,0,XUANWEI,2026-04-29 14:24:22
XUANWEI | Bảo Vệ Màn Hình Toàn Diện Bảo Mật,3290236776,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i3290236776.html,129000,0.0,0,0,XUANWEI,2026-04-29 14:24:22
Màn hình Máy Tính Lỗi nhẹ cho Kĩ thuật - Màn hình vi tính - Hình ảnh lỗi nhẹ - Hệ điều hành Windows - Đang hiển thị giao diện Windows - Đặt trên bàn làm việc,2170648026,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i2170648026.html,210000,5.0,2,0,No Brand,2026-04-29 14:24:22
Màn hình Máy tính  16in 17in 19in Kĩ thuật,2098586150,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i2098586150.html,250000,0.0,0,0,No Brand,2026-04-29 14:24:22
màn hình vi tính dell 17inch,2781520675,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i2781520675.html,250000,0.0,0,0,No Brand,2026-04-29 14:24:22
"Màn 17in, 19in các loại ( LG, HP, Dell ) thanh lý nám nhẹ / kẻ",984806690,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i984806690.html,269000,4.519230769230769,52,0,OEM,2026-04-29 14:24:22
Màn hình máy tính 17 in vuông dùng tốt,13358470605,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i13358470605.html,280000,0.0,0,0,Dell,2026-04-29 14:24:22
Màn Hình Máy Tính Samsung/Hp/LG/Acer/Dell 22 inch đến 17 inch,2503031287,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i2503031287.html,280000,4.666666666666667,3,0,No Brand,2026-04-29 14:24:22
"Màn 17in, 19in các loại ( LG, HP, Dell ) thanh lý nám nhẹ / kẻ",13377548384,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i13377548384.html,299000,0.0,0,0,No Brand,2026-04-29 14:24:22
"Màn hình LG, HP, Bên Q, giá  400k, màng hình đẹp 95%.",2206450138,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i2206450138.html,300000,4.857142857142857,14,0,No Brand,2026-04-29 14:24:22
"Màn hình hiển thị thông số máy tính 3,5 Inch IPS",2185502065,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i2185502065.html,350000,5.0,1,0,OEM,2026-04-29 14:24:22
Màn hình 17in vuông lổi nhẹ như hình. Còn sáng đẹp bán giá 330k full dây kết nối,2266857567,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i2266857567.html,370000,5.0,25,0,No Brand,2026-04-29 14:24:22
Màn hình máy vi tính AOC 16in wide 1366x768 kết nối dây vga nguồn trực tiếp 220v giá 380k bh 1thang,2500872296,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i2500872296.html,380000,5.0,1,0,No Brand,2026-04-29 14:24:22
Màn hình led 17in vuông HP prodisplay 1280x1024 sáng đẹp bi vài bụi nhẹ giá bán 350k bảo hành chu đáo 1thang,2308437344,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i2308437344.html,382000,4.8604651162790695,43,0,HP,2026-04-29 14:24:22
KELAJI | Màn Hình HD 7 Inch,13347034710,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i13347034710.html,383000,0.0,0,0,KELAJI,2026-04-29 14:24:22
Màn hình 16in wide aoc phân giải 1366x768 hàng đẹp ban giá 385k bao gồm dây kết nối bảo hành 1thang,1980434727,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i1980434727.html,385000,4.95,40,0,AOC,2026-04-29 14:24:22
màn hình máy vi tính 17in vuông hp 1280x1024 hàng thanh lý cty đẹp kết nối vga nguon 220v gia 396k bh 1thang,3102553264,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i3102553264.html,396000,5.0,1,0,HP,2026-04-29 14:24:22
"Màn hình 17in hiệu dell,.. thanh lý văn phòng",984826349,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i984826349.html,399000,5.0,6,0,OEM,2026-04-29 14:24:22
"Màn hình benq17in, 17in khác thanh lý văn phòng",984818494,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i984818494.html,399000,0.0,0,0,OEM,2026-04-29 14:24:22
"Màn hình vi tính 19 inch sọc /mực nhẹ  ngoại hình đẹp, sử dụng tốt",2063987852,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i2063987852.html,399000,4.642857142857143,14,0,Samsung,2026-04-29 14:24:22
Màn hình máy tính 17in thanh lý văn phòng còn dùng cực tốt,763068826,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i763068826.html,399000,4.617021276595745,46,0,No Brand,2026-04-29 14:24:22
Màn hình hp 17in / 17in hiệu khác thanh lý văn phòng sáng đẹp long lanh,984830238,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i984830238.html,399000,4.911764705882353,34,0,OEM,2026-04-29 14:24:22
"Màn hình 17in vuông sước nhẹ hiệu LG,.. thanh lý văn phòng",984798925,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i984798925.html,399000,4.2727272727272725,11,0,No Brand,2026-04-29 14:24:22
"Màn hình hp 17in, 17in khác thanh lý văn phòng",1424980406,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i1424980406.html,399000,4.5625,48,0,No Brand,2026-04-29 14:24:22
Màn Hình Vi Tính Acer or Dell Monitor Cực Tốt,2918236844,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i2918236844.html,399999,0.0,0,0,Dell,2026-04-29 14:24:22
"Màn hình led slim 11.6inch 40pin, 13.3inch 40pin  và 15.6inch 40pin nguyên rin",2399453727,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i2399453727.html,400000,0.0,0,0,Slim,2026-04-29 14:24:22
Màn hình máy vi tính Dell hp 22i 20in 19in 17in 15in wide Vuong hàng công ty đẹp giá chi 200k bảo hành chu đáo tại shop,2892712523,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i2892712523.html,400000,4.2,5,0,Dell,2026-04-29 14:24:22
"Màn hình LCD Led 8inch MONITOR Model 1208 củ sọc màn hình ảnh bo còn chạy ok bán cho a,em về thay màn hay lấy bo chế qua màn khác,thay cho máy 8in màn còn hư bo..v..Dùng cho máy tính PC,laptop,kính hiển vi,máy nội soi,máy dò đồng bộ,máy đóng tab tivi...",2102249650,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i2102249650.html,400000,0.0,0,0,No Brand,2026-04-29 14:24:22
"Màn hình Dell 20 inch, đẹp,  hình ảnh nét , hàng đã qua sử dụng",3063477044,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i3063477044.html,414625,4.533333333333333,15,0,No Brand,2026-04-29 14:24:22
MUHUASHA | Màn Hình Hiển Thị Cuối Cùng cho Thang Máy,13321059485,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i13321059485.html,419000,0.0,0,0,MUHUASHA,2026-04-29 14:24:22
Màn hình vuông 17in đen Viewsonic đẹp kết nối nguồn- dây vga giá chỉ 420k bảo hành 1thang,2495919255,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i2495919255.html,420000,5.0,4,0,No Brand,2026-04-29 14:24:22
"Màn hình Dell Vostro 2420, v2420",2383238292,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i2383238292.html,439000,0.0,0,0,No Brand,2026-04-29 14:24:22
"Màn hình phụ IPS 3.5 inch, giao diện TYPE-C cho máy tính, hiển thị thông tin CPU, GPU, RAM và ổ cứng HDD",3248519022,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i3248519022.html,439612,0.0,0,0,No Brand,2026-04-29 14:24:22
Màn hình máy vi tính Samsung SA10 wide 1366x768 full day kết nối ám Hồng nhẹ ban gia 450k bh 1thang chu đáo tại shop,3137530253,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i3137530253.html,450000,5.0,2,0,No Brand,2026-04-29 14:24:22
MÀN HÌNH 12.5 LED MỎNG HD CÓ TAI DELL,2779369091,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i2779369091.html,450000,0.0,0,0,Dell,2026-04-29 14:24:22
Màn hình máy vi tính 15inch 16inch 17inch 19inch 20inch siêu đẹp kèm đủ dây cáp vga và dây cắm nguồn,2175643140,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i2175643140.html,460000,3.0,1,0,No Brand,2026-04-29 14:24:22
Màn hình vi tính giá rẻ 20inch 19inch 17inch 16inch 15inch siêu đẹp kèm đủ dây cáp vga và dây nguồn.,1022998618,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i1022998618.html,470000,4.55,80,0,No Brand,2026-04-29 14:24:22
Màn Hình Cảm Ứng Đơn Vị GE,13378410528,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i13378410528.html,477000,0.0,0,0,No Brand,2026-04-29 14:24:22
Màn Hình LCD 17 Inch Vuông 5:4 Hiển Thị Rõ Nét Dùng Cho Văn Phòng,13340450535,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i13340450535.html,499000,0.0,0,0,No Brand,2026-04-29 14:24:22
Màn hình 19in LED hiệu HP/ 19in hiệu khác  sáng đẹp,984850052,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i984850052.html,499000,5.0,8,0,OEM,2026-04-29 14:24:36
Màn Hình Máy Tính 17 Inch Vuông 5:4 Độ Phân Giải 1280x1024 Cổng VGA,13340301251,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i13340301251.html,499000,0.0,0,0,No Brand,2026-04-29 14:24:36
Màn hình máy tính 17 inch cũ kèm cáp,2178422635,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i2178422635.html,500000,0.0,0,0,HP,2026-04-29 14:24:36
Màn hình dell E1709w wide 1366x768 hang ngân hàng đẹp sắc nét Ko lỗi gì giá 500k bảo hành 1thang chu đáo tại shop,2790313908,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i2790313908.html,500000,5.0,1,0,Dell,2026-04-29 14:24:36
Màn hình led Sámung 20in s20d300 wide 1600x900 hàng đẹp như hình lỗi soc mua nhẹ bán giá 500k full dây,2172793305,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i2172793305.html,500000,0.0,0,0,Phụ kiện SamSung,2026-04-29 14:24:36
"Màn hình máy tính acer 17in, 17in khác thanh lý văn phòng",984830229,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i984830229.html,500000,0.0,0,0,OEM,2026-04-29 14:24:36
Màn Hình LCD HP ProDisplay P17A 17inch LED Backlit Bảo hành chu đáo 3thang full dây kết nối,2163841494,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i2163841494.html,520000,5.0,6,0,No Brand,2026-04-29 14:24:36
Màn hình 7inch LCD,2418323665,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i2418323665.html,535000,5.0,1,0,No Brand,2026-04-29 14:24:36
Màn hình 17 inch vuông cho máy tính bàn cổng kết nối vga bảo hành 3 tháng,2061680762,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i2061680762.html,537000,4.0,2,0,No Brand,2026-04-29 14:24:36
Màn hình vuông 17 inch sáng đẹp không trầy xước có bảo hành 3 tháng,2061807569,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i2061807569.html,537000,4.787878787878788,66,0,No Brand,2026-04-29 14:24:36
Màn hình Laptop Acer acer 531 15 inch led,268744790,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i268744790.html,541000,0.0,0,0,Acer,2026-04-29 14:24:36
Màn hình máy tính 19in hiệu samsung,2064106215,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i2064106215.html,544570,4.923076923076923,26,0,Samsung,2026-04-29 14:24:36
Màn hình Samsung 19 inch,1119982164,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i1119982164.html,544570,4.828125,192,0,Samsung,2026-04-29 14:24:36
Màn Hình Máy Tính Gigabyte Aorus Master 18 Chống Chói,3229602746,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i3229602746.html,548000,0.0,0,0,Healing shield,2026-04-29 14:24:36
Màn hình Hp 17 inch  L1710,2249912876,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i2249912876.html,549000,0.0,0,0,HP,2026-04-29 14:24:36
Màn hình máy tính hiệu ACER 19 INCH,2191049885,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i2191049885.html,550000,5.0,2,0,Acer,2026-04-29 14:24:36
"Màn hình 22in sọc /mực nhẹ ngoại hình đẹp, sử dụng tốt",2275968957,lazada,Thiết Bị Điện Tử,Màn Hình Vi Tính,,https://www.lazada.vn/products/pdp-i2275968957.html,550000,5.0,1,0,Samsung,2026-04-29 14:24:36
