title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Máy Bay Điều Khiển Tự Cân Bằng,13336402111,lazada,Thiết Bị Điện Tử,Máy Ảnh Kỷ Thuật Số,Máy Bay Camera,https://www.lazada.vn/products/pdp-i13336402111.html,97750,0.0,0,0,No Brand,2026-04-29 14:22:47
CLARO Đơn/Đôi  mini WiFi FPV góc rộng Camera 4K HD Đồ chơi trực thăng điều khiển từ xa  E88 E99. Máy bay điều khiển từ xa,13369820632,lazada,Thiết Bị Điện Tử,Máy Ảnh Kỷ Thuật Số,Máy Bay Camera,https://www.lazada.vn/products/pdp-i13369820632.html,209571,0.0,0,0,Benytro,2026-04-29 14:22:47
LITTLEX Đơn/Đôi  mini Camera 4K HD E88 E99. Đồ chơi trực thăng điều khiển từ xa  WiFi FPV góc rộng Máy bay điều khiển từ xa,13368521227,lazada,Thiết Bị Điện Tử,Máy Ảnh Kỷ Thuật Số,Máy Bay Camera,https://www.lazada.vn/products/pdp-i13368521227.html,211571,0.0,0,0,allcoupon,2026-04-29 14:22:47
MASTERYX Đơn/Đôi  mini E88 E99. WiFi FPV góc rộng  gấp gọn giữ độ cao HD Chất lượng cao Camera 4K HD Máy bay điều khiển từ xa,13368015461,lazada,Thiết Bị Điện Tử,Máy Ảnh Kỷ Thuật Số,Máy Bay Camera,https://www.lazada.vn/products/pdp-i13368015461.html,213571,0.0,0,0,FEIYING,2026-04-29 14:22:47
NOBLEE E88 E99.  mini WiFi FPV góc rộng Camera 4K HD Đồ chơi trực thăng điều khiển từ xa Chất lượng cao Đơn/Đôi Máy bay điều khiển từ xa,13368968096,lazada,Thiết Bị Điện Tử,Máy Ảnh Kỷ Thuật Số,Máy Bay Camera,https://www.lazada.vn/products/pdp-i13368968096.html,214571,0.0,0,0,iNenk,2026-04-29 14:22:47
LUMINOU E88 E99.  mini WiFi FPV góc rộng Đơn/Đôi Đồ chơi trực thăng điều khiển từ xa Chất lượng cao Camera 4K HD Máy bay điều khiển từ xa,13369084404,lazada,Thiết Bị Điện Tử,Máy Ảnh Kỷ Thuật Số,Máy Bay Camera,https://www.lazada.vn/products/pdp-i13369084404.html,215571,0.0,0,0,YARIKE,2026-04-29 14:22:47
MACROSCOPICAL65AL9 E88 E99.  mini Camera 4K HD WiFi FPV góc rộng Đồ chơi trực thăng điều khiển từ xa  Đơn/Đôi Máy bay điều khiển từ xa,13347167335,lazada,Thiết Bị Điện Tử,Máy Ảnh Kỷ Thuật Số,Máy Bay Camera,https://www.lazada.vn/products/pdp-i13347167335.html,247000,0.0,0,0,No Brand,2026-04-29 14:22:47
TRAVERSE54SE3 Đơn/Đôi  mini E88 E99. WiFi FPV góc rộng  gấp gọn giữ độ cao HD Chất lượng cao Camera 4K HD Máy bay điều khiển từ xa,13347388908,lazada,Thiết Bị Điện Tử,Máy Ảnh Kỷ Thuật Số,Máy Bay Camera,https://www.lazada.vn/products/pdp-i13347388908.html,250800,0.0,0,0,No Brand,2026-04-29 14:22:47
AMICABLE52LE1 E88 E99.  mini Đơn/Đôi Camera 4K HD Đồ chơi trực thăng điều khiển từ xa Chất lượng cao WiFi FPV góc rộng Máy bay điều khiển từ xa,13362807335,lazada,Thiết Bị Điện Tử,Máy Ảnh Kỷ Thuật Số,Máy Bay Camera,https://www.lazada.vn/products/pdp-i13362807335.html,258100,0.0,0,0,No Brand,2026-04-29 14:22:47
TIANBEI E88 E99.  mini Đơn/Đôi Camera 4K HD Đồ chơi trực thăng điều khiển từ xa Chất lượng cao WiFi FPV góc rộng Máy bay điều khiển từ xa,13347424795,lazada,Thiết Bị Điện Tử,Máy Ảnh Kỷ Thuật Số,Máy Bay Camera,https://www.lazada.vn/products/pdp-i13347424795.html,258400,0.0,0,0,No Brand,2026-04-29 14:22:47
