title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
【E-WOITD】 Văn phòng phẩm kinh doanh Tài Chính máy tính nhỏ kế toán máy tính công cụ kế toán máy tính điện tử mini,13354777143,lazada,Thiết Bị Điện Tử,Máy Tính Để Bàn,Máy Tính Nguyên Bô,https://www.lazada.vn/products/pdp-i13354777143.html,31073,0.0,0,0,E-WOITD,2026-04-29 14:17:35
zhoutt Cá nhân mini kẹo màu trường văn phòng điện tử máy tính sáng tạo Pocket Boutique văn phòng phẩm Máy tính vuông nhỏ,13344075876,lazada,Thiết Bị Điện Tử,Máy Tính Để Bàn,Máy Tính Nguyên Bô,https://www.lazada.vn/products/pdp-i13344075876.html,38834,0.0,0,0,No Brand,2026-04-29 14:17:35
Vuông nhỏ máy tính đa chức năng mini màu trường văn phòng Điện tử nhựa máy tính,13343291495,lazada,Thiết Bị Điện Tử,Máy Tính Để Bàn,Máy Tính Nguyên Bô,https://www.lazada.vn/products/pdp-i13343291495.html,51624,0.0,0,0,No Brand,2026-04-29 14:17:35
【jianzhanqinl】 Văn phòng phẩm kinh doanh Tài Chính máy tính nhỏ kế toán máy tính công cụ kế toán máy tính điện tử mini,13345205195,lazada,Thiết Bị Điện Tử,Máy Tính Để Bàn,Máy Tính Nguyên Bô,https://www.lazada.vn/products/pdp-i13345205195.html,55718,0.0,0,0,No Brand,2026-04-29 14:17:35
AttractiveFine Văn phòng phẩm kinh doanh Tài Chính máy tính nhỏ kế toán máy tính công cụ kế toán máy tính điện tử mini,13354385822,lazada,Thiết Bị Điện Tử,Máy Tính Để Bàn,Máy Tính Nguyên Bô,https://www.lazada.vn/products/pdp-i13354385822.html,63057,0.0,0,0,No Brand,2026-04-29 14:17:35
【Ông show】 phải có máy dò thẻ từ nhẹ cho những người đam mê khoa học,13333507908,lazada,Thiết Bị Điện Tử,Máy Tính Để Bàn,Máy Tính Nguyên Bô,https://www.lazada.vn/products/pdp-i13333507908.html,77000,0.0,0,0,No Brand,2026-04-29 14:17:35
Máy Tính Phù Hợp Với Giáo Dục,3303405467,lazada,Thiết Bị Điện Tử,Máy Tính Để Bàn,Máy Tính Nguyên Bô,https://www.lazada.vn/products/pdp-i3303405467.html,84000,0.0,0,0,No Brand,2026-04-29 14:17:35
Máy Tính Bàn Phím Im Lặng Dễ Mang Đi Đơn Giản Cho Văn Phòng Học Sinh,3303407985,lazada,Thiết Bị Điện Tử,Máy Tính Để Bàn,Máy Tính Nguyên Bô,https://www.lazada.vn/products/pdp-i3303407985.html,104000,0.0,0,0,No Brand,2026-04-29 14:17:35
XUEDELE | Máy Tính Bỏ Túi Thẩm Mỹ,3218431965,lazada,Thiết Bị Điện Tử,Máy Tính Để Bàn,Máy Tính Nguyên Bô,https://www.lazada.vn/products/pdp-i3218431965.html,115000,0.0,0,0,XUEDELE,2026-04-29 14:17:35
XUEDELE | Máy Tính Cầm Tay Nhỏ Màu Đèn Bước Di Động Im Lặng,3218496017,lazada,Thiết Bị Điện Tử,Máy Tính Để Bàn,Máy Tính Nguyên Bô,https://www.lazada.vn/products/pdp-i3218496017.html,120000,4.9,11,0,XUEDELE,2026-04-29 14:17:35
zhoutt Học sinh công cụ tính toán kỹ thuật Trường Học Máy tính khoa học,13336716821,lazada,Thiết Bị Điện Tử,Máy Tính Để Bàn,Máy Tính Nguyên Bô,https://www.lazada.vn/products/pdp-i13336716821.html,120255,0.0,0,0,No Brand,2026-04-29 14:17:35
Máy Tính Học Sinh Phong Cách Mario,3301919454,lazada,Thiết Bị Điện Tử,Máy Tính Để Bàn,Máy Tính Nguyên Bô,https://www.lazada.vn/products/pdp-i3301919454.html,126000,0.0,0,0,No Brand,2026-04-29 14:17:35
XUEDELE | Máy Tính Bàn Nhỏ Xinh Đầy Phong Cách,3218448966,lazada,Thiết Bị Điện Tử,Máy Tính Để Bàn,Máy Tính Nguyên Bô,https://www.lazada.vn/products/pdp-i3218448966.html,128000,4.65,25,0,XUEDELE,2026-04-29 14:17:35
XIANXINGREN | Máy Tính Kiểm Tra Đổi Tiền Có Giọng Nói,13357615057,lazada,Thiết Bị Điện Tử,Máy Tính Để Bàn,Máy Tính Nguyên Bô,https://www.lazada.vn/products/pdp-i13357615057.html,141000,0.0,0,0,XIANXINGREN,2026-04-29 14:17:35
XUEDELE | Máy Tính Có Nút Bấm Lớn và Chức Năng Giọng Nói,3218448629,lazada,Thiết Bị Điện Tử,Máy Tính Để Bàn,Máy Tính Nguyên Bô,https://www.lazada.vn/products/pdp-i3218448629.html,153000,4.75,58,0,TrueColor,2026-04-29 14:17:35
FENGCHISHI | Máy Tính Học Sinh Dụng Cụ Giảng Dạy Toán,13351580478,lazada,Thiết Bị Điện Tử,Máy Tính Để Bàn,Máy Tính Nguyên Bô,https://www.lazada.vn/products/pdp-i13351580478.html,158000,0.0,0,0,FENGCHISHI,2026-04-29 14:17:35
Advances in Financial Machine Learning,13323745375,lazada,Thiết Bị Điện Tử,Máy Tính Để Bàn,Máy Tính Nguyên Bô,https://www.lazada.vn/products/pdp-i13323745375.html,185000,0.0,0,0,NXB Kim Đồng,2026-04-29 14:17:35
GEXINGYUE | Máy Tính Bỏ Túi cho Học Sinh Lớp 4 Học Phân Số,13335998463,lazada,Thiết Bị Điện Tử,Máy Tính Để Bàn,Máy Tính Nguyên Bô,https://www.lazada.vn/products/pdp-i13335998463.html,208000,0.0,0,0,GEXINGYUE,2026-04-29 14:17:35
【On Sale】 Digital LCD USB Music Player,13365922261,lazada,Thiết Bị Điện Tử,Máy Tính Để Bàn,Máy Tính Nguyên Bô,https://www.lazada.vn/products/pdp-i13365922261.html,215670,0.0,0,0,No Brand,2026-04-29 14:17:35
GEXINGYUE | Máy Tính Đa Năng Tiện Lợi Thời Trang,13336104026,lazada,Thiết Bị Điện Tử,Máy Tính Để Bàn,Máy Tính Nguyên Bô,https://www.lazada.vn/products/pdp-i13336104026.html,228000,0.0,0,0,GEXINGYUE,2026-04-29 14:17:35
WANBEIKANG | Máy Tính Học Sinh Giáo Dục,13352269776,lazada,Thiết Bị Điện Tử,Máy Tính Để Bàn,Máy Tính Nguyên Bô,https://www.lazada.vn/products/pdp-i13352269776.html,230000,0.0,0,0,WANBEIKANG,2026-04-29 14:17:35
Máy Tính Tiếng Mới Thời Trang cho Học Sinh Văn Phòng,3284140476,lazada,Thiết Bị Điện Tử,Máy Tính Để Bàn,Máy Tính Nguyên Bô,https://www.lazada.vn/products/pdp-i3284140476.html,249000,0.0,0,0,No Brand,2026-04-29 14:17:35
Máy Học Tiền Giáo 300 Bài Hát,13344400712,lazada,Thiết Bị Điện Tử,Máy Tính Để Bàn,Máy Tính Nguyên Bô,https://www.lazada.vn/products/pdp-i13344400712.html,251000,0.0,0,0,No Brand,2026-04-29 14:17:35
PAMPAS | Máy Tính Nhỏ Đa Năng Dopamine,13330604467,lazada,Thiết Bị Điện Tử,Máy Tính Để Bàn,Máy Tính Nguyên Bô,https://www.lazada.vn/products/pdp-i13330604467.html,264000,0.0,0,0,PAMPAS,2026-04-29 14:17:35
Máy Tính Học Sinh Học Phân Số Dễ Sử Dụng,13358561095,lazada,Thiết Bị Điện Tử,Máy Tính Để Bàn,Máy Tính Nguyên Bô,https://www.lazada.vn/products/pdp-i13358561095.html,277000,4.833333333333333,6,0,No Brand,2026-04-29 14:17:35
