title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Phần Mềm Diệt Virus BKAV Profressional Internet Security 1 PC 12 Tháng - Hàng Chính Hãng,1921096042,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Phần mềm,https://www.lazada.vn/products/pdp-i1921096042.html,181000,5.0,892,5600,Bkav,2026-05-03 15:09:17
Phần mềm diệt virus Kaspersky Premium cao cấp - VPN Không Giới Hạn - Hàng Chính Hãng,2400156856,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Phần mềm,https://www.lazada.vn/products/pdp-i2400156856.html,185000,4.7,23,244,Kaspersky,2026-05-03 15:09:17
Phần mềm diệt Virus Bkav Pro Internet Security AI Bảo vệ máy tính 1pc/năm,2148456257,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Phần mềm,https://www.lazada.vn/products/pdp-i2148456257.html,175000,5.0,100,586,Bkav Pro,2026-05-03 15:09:17
Phần mềm diệt virus Kaspersky Premium cao cấp -  VPN Không Giới Hạn -  Hàng Chính Hãng,2475773089,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Phần mềm,https://www.lazada.vn/products/pdp-i2475773089.html,185000,5.0,16,74,KASPERSKY lab,2026-05-03 15:09:17
"Key Phần Mềm Office 2019 Pro Plus Dành Cho Windows, Office 2021 Pro Plus, Office 2016 Pro Plus  | Giao Nhanh 5 Phút",2885772983,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Phần mềm,https://www.lazada.vn/products/pdp-i2885772983.html,169000,5.0,23,61,No Brand,2026-05-03 15:09:17
Phần mềm diệt Virus Bkav Pro Internet Security AI Bảo vệ máy tính 1 thiết bị/ 1 năm,2148894848,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Phần mềm,https://www.lazada.vn/products/pdp-i2148894848.html,175000,5.0,133,916,Bkav Pro,2026-05-03 15:09:17
Phần mềm Microsoft Office 365 Family/ Personal| 6 hoặc 12 tháng | Dành cho 1 người| 5 thiết bị | 1TB lưu trữ OneDrive,2474941783,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Phần mềm,https://www.lazada.vn/products/pdp-i2474941783.html,185000,4.9,20,83,Microsoft,2026-05-03 15:09:17
Phần mềm diệt Virus Bkav Pro Internet Security AI Bảo vệ 1 năm/1 máy tính,2148276324,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Phần mềm,https://www.lazada.vn/products/pdp-i2148276324.html,175000,5.0,5,36,Bkav Pro,2026-05-03 15:09:17
Phần Mềm Diệt Virus BKAV Profressional Internet Security 1 PC 12 Tháng - Hàng Chính Hãng,1921023702,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Phần mềm,https://www.lazada.vn/products/pdp-i1921023702.html,185000,5.0,935,5800,Bkav,2026-05-03 15:09:17
"Phần mềm Kaspersky AntiVirus/Standard 3PC box phân phối bởi Nam Trường Sơn, gói tiết kiệm, bảo mật thiết yếu cho 3 máy tính (Hộp mới)",2569288,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Phần mềm,https://www.lazada.vn/products/pdp-i2569288.html,349869,4.8,46,435,Kaspersky,2026-05-03 15:09:17
Phần mềm diệt virút máy tính BKAV Pro Internet Security dùng cho máy tính Windows (Gói màu đỏ kèm thẻ khách hàng),2065815358,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Phần mềm,https://www.lazada.vn/products/pdp-i2065815358.html,219000,5.0,5,39,Bkav,2026-05-03 15:09:17
Phần Mềm Diệt Virus BKAV Pro Internet Security 1 PC 12 Tháng - Hàng Chính Hãng (Hỗ trợ cài đặt qua untraview),3071237270,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Phần mềm,https://www.lazada.vn/products/pdp-i3071237270.html,190000,5.0,6,30,Bkav,2026-05-03 15:09:17
[Chính Hãng] Phần mềm diệt virus điện thoại Bkav Pro Mobile - Bản quyền 1 năm,1519313520,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Phần mềm,https://www.lazada.vn/products/pdp-i1519313520.html,74000,5.0,23,81,Bkav,2026-05-03 15:09:17
Phần mềm bản quyền Microsoft Windows 10 Pro 64 bit kèm DVD cài đặt - Hàng chính hãng nguyên seal,2351193917,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Phần mềm,https://www.lazada.vn/products/pdp-i2351193917.html,190000,5.0,3,5,Microsoft,2026-05-03 15:09:17
