title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Bộ 2 núm/nút/đệm tai nghe,2037327781,lazada,Thiết Bị Điện Tử,Âm Thanh,Phụ Kiên Tai Nghe,https://www.lazada.vn/products/pdp-i2037327781.html,2361,4.944134078212291,179,0,No Brand,2026-04-29 14:19:09
Bộ 2 núm/nút/đệm tai nghe,2037300885,lazada,Thiết Bị Điện Tử,Âm Thanh,Phụ Kiên Tai Nghe,https://www.lazada.vn/products/pdp-i2037300885.html,2700,4.944444444444445,36,0,No Brand,2026-04-29 14:19:09
"Cáp Chuyển TypeC sang 3.5mm Âm Thanh Hay, Kết Nối Ổn Định, Bảo Hành 6 Tháng Đổi Mới Nếu Lỗi NSX, Mystore247 Bh 12Tháng",973496691,lazada,Thiết Bị Điện Tử,Âm Thanh,Phụ Kiên Tai Nghe,https://www.lazada.vn/products/pdp-i973496691.html,7500,5.0,4,0,OEM,2026-04-29 14:19:09
QIUWU 6 cặp 2 x(S + M + L) Miếng đệm tai nghe bằng cao su silicon Miếng đệm tai nghe nhét tai thay thế tai nghe Miếng đệm tai nghe,13347034001,lazada,Thiết Bị Điện Tử,Âm Thanh,Phụ Kiên Tai Nghe,https://www.lazada.vn/products/pdp-i13347034001.html,7754,0.0,0,0,QIUWU,2026-04-29 14:19:09
E-WOITD 6 cặp 2 x(S + M + L) Miếng đệm tai nghe bằng cao su silicon Miếng đệm tai nghe nhét tai thay thế tai nghe Miếng đệm tai nghe,3246838944,lazada,Thiết Bị Điện Tử,Âm Thanh,Phụ Kiên Tai Nghe,https://www.lazada.vn/products/pdp-i3246838944.html,8497,0.0,0,0,E-WOITD,2026-04-29 14:19:09
3.5mm Bộ chia âm thanh Tai nghe chụp kép Adapter với bộ kết nối mạ vàng cho MP3 điện thoại thông minh máy tính bảng máy tính xách tay,13344992677,lazada,Thiết Bị Điện Tử,Âm Thanh,Phụ Kiên Tai Nghe,https://www.lazada.vn/products/pdp-i13344992677.html,9100,0.0,0,0,No Brand,2026-04-29 14:19:09
E-WOITD Nút Bịt Tai nghe nâng cấp bằng Silicon cách ly tiếng ồn với Cỡ S M- L,3181496024,lazada,Thiết Bị Điện Tử,Âm Thanh,Phụ Kiên Tai Nghe,https://www.lazada.vn/products/pdp-i3181496024.html,9270,5.0,3,0,E-WOITD,2026-04-29 14:19:09
SDJZT Type C 3.5 Jack Earphone USB C to 3.5mm AUX Headphones Adapter Audio cable,3130046557,lazada,Thiết Bị Điện Tử,Âm Thanh,Phụ Kiên Tai Nghe,https://www.lazada.vn/products/pdp-i3130046557.html,9572,5.0,1,0,SDJZT,2026-04-29 14:19:09
SD&HI 6 cặp 2 x(S + M + L) phổ quát trong tai tai nghe headphoe Earbuds Silicone cao su,3187221214,lazada,Thiết Bị Điện Tử,Âm Thanh,Phụ Kiên Tai Nghe,https://www.lazada.vn/products/pdp-i3187221214.html,9634,4.5,4,0,SD&HI,2026-04-29 14:19:09
Dây Đeo Tai Nghe Cho AirPods 3 2 1 Pro Cáp Giữ Dây Silicon Chống Mất Cho Tai Nghe Bluetooth Phụ Kiện Dây Đeo Cổ Tương Thích,1738263244,lazada,Thiết Bị Điện Tử,Âm Thanh,Phụ Kiên Tai Nghe,https://www.lazada.vn/products/pdp-i1738263244.html,9800,4.733333333333333,30,0,UEB,2026-04-29 14:19:09
