title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
E-WOITD Bộ chia âm thanh nổi màu đen 3.5mm Bộ chuyển đổi giắc cắm âm thanh sang mic tai nghe cho điện thoại,3140762548,lazada,Thiết Bị Điện Tử,Âm Thanh,Phụ Kiện Thiết Bị Âm Thanh Chuyên Nghiêp,https://www.lazada.vn/products/pdp-i3140762548.html,2064,5.0,3,0,E-WOITD,2026-04-29 14:19:55
TRẠM KẸP LOA ĐƠN LỚN (45X25MM),2195703784,lazada,Thiết Bị Điện Tử,Âm Thanh,Phụ Kiện Thiết Bị Âm Thanh Chuyên Nghiêp,https://www.lazada.vn/products/pdp-i2195703784.html,4500,5.0,8,0,No Brand,2026-04-29 14:19:55
Trạm loa thùng tròn,2336439322,lazada,Thiết Bị Điện Tử,Âm Thanh,Phụ Kiện Thiết Bị Âm Thanh Chuyên Nghiêp,https://www.lazada.vn/products/pdp-i2336439322.html,5000,4.888888888888889,54,0,No Brand,2026-04-29 14:19:55
"Ống thông hơi cho loa các loại. Chế loa siêu bass, tăng âm trầm. Làm từ nhựa chất lượng cao. giá 1 cái.",2577735144,lazada,Thiết Bị Điện Tử,Âm Thanh,Phụ Kiện Thiết Bị Âm Thanh Chuyên Nghiêp,https://www.lazada.vn/products/pdp-i2577735144.html,6000,5.0,18,0,No Brand,2026-04-29 14:19:55
Giảm thanh thau giảm ồn khí nén,1757464686,lazada,Thiết Bị Điện Tử,Âm Thanh,Phụ Kiện Thiết Bị Âm Thanh Chuyên Nghiêp,https://www.lazada.vn/products/pdp-i1757464686.html,6000,4.846153846153846,26,0,No Brand,2026-04-29 14:19:55
"Ống thông hơi các loại thẳng miệng loe làm từ nhựa ABS cứng cáp, dày dặn dùng để tăng âm bass cho loa. Giá 1 cái",2878425356,lazada,Thiết Bị Điện Tử,Âm Thanh,Phụ Kiện Thiết Bị Âm Thanh Chuyên Nghiêp,https://www.lazada.vn/products/pdp-i2878425356.html,7000,5.0,4,0,No Brand,2026-04-29 14:19:55
"Trở sứ 30W đài loan chân dẹp chuyên cho phân tần loa , cho dán âm thanh",2510399931,lazada,Thiết Bị Điện Tử,Âm Thanh,Phụ Kiện Thiết Bị Âm Thanh Chuyên Nghiêp,https://www.lazada.vn/products/pdp-i2510399931.html,7200,5.0,8,0,No Brand,2026-04-29 14:19:55
SHNGki 25x13mm hợp kim nhôm quay mã hóa chuyển đổi trục lỗ 6mm chiết Knob khuếch đại âm thanh tổng hợp điều khiển âm lượng Knob,13375359017,lazada,Thiết Bị Điện Tử,Âm Thanh,Phụ Kiện Thiết Bị Âm Thanh Chuyên Nghiêp,https://www.lazada.vn/products/pdp-i13375359017.html,8018,0.0,0,0,SHNGki,2026-04-29 14:19:55
[HCM]Ống thông hơi thùng loa  Giá 01 cái,1166836387,lazada,Thiết Bị Điện Tử,Âm Thanh,Phụ Kiện Thiết Bị Âm Thanh Chuyên Nghiêp,https://www.lazada.vn/products/pdp-i1166836387.html,12000,4.813953488372093,43,0,No Brand,2026-04-29 14:19:55
"Jack AUX Audio Cái 3.5mm PJ-392A Loại 3 Chân, 4 Chân",2415601563,lazada,Thiết Bị Điện Tử,Âm Thanh,Phụ Kiện Thiết Bị Âm Thanh Chuyên Nghiêp,https://www.lazada.vn/products/pdp-i2415601563.html,12000,0.0,0,0,No Brand,2026-04-29 14:19:55
Trạm Loa Cho âm ly loa thùng loa bass đủ các mẫu và kích thước,1246088592,lazada,Thiết Bị Điện Tử,Âm Thanh,Phụ Kiện Thiết Bị Âm Thanh Chuyên Nghiêp,https://www.lazada.vn/products/pdp-i1246088592.html,14700,5.0,11,0,No Brand,2026-04-29 14:19:55
"Cọc loa 5mm, Jăck bắp chuối cái, trạm loa ampli trạm main - LinhKien HD",2513468089,lazada,Thiết Bị Điện Tử,Âm Thanh,Phụ Kiện Thiết Bị Âm Thanh Chuyên Nghiêp,https://www.lazada.vn/products/pdp-i2513468089.html,15000,4.866666666666666,15,0,No Brand,2026-04-29 14:19:55
Bộ 26 Nút Nhựa Volume - Chụp Volume Loại Tròn - Khuyết ( Chặt góc ),1913395408,lazada,Thiết Bị Điện Tử,Âm Thanh,Phụ Kiện Thiết Bị Âm Thanh Chuyên Nghiêp,https://www.lazada.vn/products/pdp-i1913395408.html,16000,4.871794871794871,39,0,No Brand,2026-04-29 14:19:55
Chạm vặn kết nối dây loa chữ nhật 8 cm x 9 cm cọc bằng đồng giá (1 cái ) 19k,2413090713,lazada,Thiết Bị Điện Tử,Âm Thanh,Phụ Kiện Thiết Bị Âm Thanh Chuyên Nghiêp,https://www.lazada.vn/products/pdp-i2413090713.html,17803,5.0,8,0,No Brand,2026-04-29 14:19:55
Rắc loa đen vàng hàng đẹp,2397324922,lazada,Thiết Bị Điện Tử,Âm Thanh,Phụ Kiện Thiết Bị Âm Thanh Chuyên Nghiêp,https://www.lazada.vn/products/pdp-i2397324922.html,18000,5.0,10,0,No Brand,2026-04-29 14:19:55
Cáp Chia Âm Thanh Ftp Cao Cấp 4 Khấc Ra 1 Tai Nghe Và 1 Mic Mạ Vàng - Bảo Hành 1 Tháng,244522498,lazada,Thiết Bị Điện Tử,Âm Thanh,Phụ Kiện Thiết Bị Âm Thanh Chuyên Nghiêp,https://www.lazada.vn/products/pdp-i244522498.html,18700,4.611464968152866,314,0,OEM,2026-04-29 14:19:55
